sample_id,province,district,carrier_A724E,markers_failed,markers_passed,markers_single_peak,markers_multiple_peaks,passed
1012412,northwestern,zambezi,True,0,7,6,1,True
1012423,northwestern,mufumbwe,False,0,7,6,1,True
1012426,northwestern,mufumbwe,True,0,7,7,0,True
1012427,northwestern,mufumbwe,False,0,7,6,1,True
1012431,northwestern,mufumbwe,False,0,7,6,1,True
1012434,northwestern,mufumbwe,True,0,7,6,1,True
1012438,northwestern,mufumbwe,False,0,7,6,1,True
1012443,northwestern,mufumbwe,False,0,7,6,1,True
1012444,northwestern,mufumbwe,True,0,7,5,2,True
1012449,northwestern,mufumbwe,True,0,7,6,1,True
1012521,northwestern,zambezi,False,0,7,6,1,True
1012540,northwestern,zambezi,False,0,7,6,1,True
1012543,northwestern,zambezi,False,0,7,6,1,True
1012544,northwestern,zambezi,True,0,7,6,1,True
1012552,northwestern,zambezi,True,0,7,6,1,True
1012556,northwestern,zambezi,False,0,7,7,0,True
1012559,northwestern,zambezi,False,1,6,2,4,False
1040820,northwestern,manyinga,True,0,7,6,1,True
1045436,western,sesheke,False,0,7,2,5,True
1045447,western,sesheke,False,0,7,6,1,True
1046675,western,luampa,True,0,7,6,1,True
1046677,western,luampa,False,0,7,7,0,True
1046678,western,luampa,True,0,7,6,1,True
1046680,western,luampa,True,0,7,6,1,True
1046689,western,luampa,True,0,7,6,1,True
1046717,western,luampa,True,0,7,6,1,True
1046718,western,luampa,True,0,7,6,1,True
1046728,western,luampa,False,0,7,6,1,True
1046736,western,luampa,False,0,7,4,3,True
1046791,western,kalabo,True,0,7,6,1,True
1046798,western,kalabo,False,0,7,7,0,True
1046802,western,kalabo,False,0,7,6,1,True
2033430,western,sesheke,False,0,7,7,0,True
5053699,western,sikongo,True,0,7,5,2,True
5053700,western,sikongo,False,0,7,6,1,True
5053708,western,sikongo,True,4,3,1,2,False
5053711,western,sikongo,True,0,7,6,1,True
5053713,western,sikongo,False,0,7,6,1,True
5053716,western,sikongo,False,0,7,6,1,True
5053732,western,sikongo,True,0,7,6,1,True
5053742,western,sikongo,True,0,7,6,1,True
5053831,northwestern,solwezi,False,0,7,6,1,True
5053835,northwestern,solwezi,False,0,7,5,2,True
5053836,northwestern,solwezi,True,0,7,6,1,True
5053837,northwestern,solwezi,False,0,7,5,2,True
5053842,northwestern,solwezi,False,0,7,6,1,True
8010683,eastern,chipata,False,0,7,7,0,True
8010689,eastern,chipata,False,2,5,2,3,False
8010700,eastern,chipata,False,0,7,7,0,True
8010709,eastern,chipata,False,3,4,3,1,False
8010711,eastern,chipata,False,0,7,7,0,True
8010843,muchinga,shiwang'andu,False,0,7,7,0,True
8012421,eastern,vubwi,False,0,7,6,1,True
8012469,eastern,vubwi,False,0,7,6,1,True
8012489,eastern,vubwi,False,0,7,6,1,True
8013425,eastern,chipata,False,0,7,7,0,True
8013449,eastern,chipata,False,0,7,7,0,True
8013460,eastern,chipata,False,0,7,5,2,True
8013470,eastern,chipata,False,0,7,6,1,True
8013480,eastern,chipata,False,0,7,7,0,True
8013488,eastern,chipata,False,0,7,6,1,True
8013498,eastern,chipata,False,0,7,4,3,True
8013676,eastern,chipata,False,0,7,7,0,True
8013681,eastern,chipata,False,0,7,7,0,True
8013943,eastern,vubwi,False,0,7,6,1,True
8013952,eastern,vubwi,False,0,7,6,1,True
8019451,northwestern,kasempa,False,0,7,6,1,True
8019456,northwestern,kasempa,True,0,7,6,1,True
8021027,northwestern,kasempa,False,0,7,6,1,True
8021039,northwestern,kasempa,True,0,7,6,1,True
8021930,western,kaoma,True,0,7,6,1,True
8021932,western,kaoma,False,0,7,7,0,True
8021934,western,kaoma,True,0,7,6,1,True
8021935,western,kaoma,False,0,7,7,0,True
8021948,western,kaoma,False,5,2,2,0,False
8021950,western,kaoma,False,4,3,2,1,False
8022279,eastern,lumezi,False,0,7,7,0,True
8022891,eastern,chipangali,False,5,2,2,0,False
8023230,northwestern,kasempa,True,0,7,2,5,True
8023249,northwestern,solwezi,False,2,5,4,1,False
8023285,northwestern,solwezi,False,0,7,4,3,True
8023299,northwestern,mushindano,False,0,7,5,2,True
8023300,northwestern,mushindano,False,0,7,6,1,True
8023302,northwestern,mushindano,False,0,7,6,1,True
8023320,northwestern,manyinga,True,0,7,6,1,True
8023322,northwestern,manyinga,True,0,7,6,1,True
8023331,northwestern,manyinga,True,3,4,1,3,False
8023334,northwestern,manyinga,False,0,7,7,0,True
8023337,northwestern,manyinga,True,1,6,5,1,False
8023345,northwestern,manyinga,False,0,7,7,0,True
8023348,northwestern,manyinga,True,0,7,6,1,True
8023349,northwestern,manyinga,False,0,7,7,0,True
8023417,northwestern,kabompo,True,0,7,6,1,True
8023419,northwestern,kabompo,True,0,7,6,1,True
8023427,northwestern,kabompo,True,0,7,6,1,True
8023430,northwestern,kabompo,True,0,7,6,1,True
8023432,northwestern,kabompo,False,0,7,7,0,True
8023436,northwestern,kabompo,False,0,7,6,1,True
8023437,northwestern,kabompo,True,0,7,6,1,True
8023438,northwestern,kabompo,True,0,7,5,2,True
8023440,northwestern,kabompo,True,0,7,6,1,True
8023441,northwestern,kabompo,False,0,7,6,1,True
8023974,northwestern,kasempa,False,0,7,6,1,True
8031271,muchinga,isoka,False,1,6,5,1,False
8031512,muchinga,mafinga,True,0,7,6,1,True
8031765,northwestern,mushindano,False,0,7,5,2,True
8031772,northwestern,mushindano,False,0,7,7,0,True
8031773,northwestern,mushindano,False,0,7,3,4,True
8031811,northwestern,chavuma,True,4,3,3,0,False
8032013,northwestern,mushindano,False,0,7,5,2,True
8032032,northwestern,mwinilunga,False,0,7,7,0,True
8032055,northwestern,manyinga,True,1,6,5,1,False
8032265,western,senanga,False,0,7,7,0,True
8032277,western,mongu,True,3,4,2,2,False
8032294,western,kaoma,False,0,7,7,0,True
8032319,western,mitete,True,0,7,6,1,True
8032330,western,kalabo,False,0,7,7,0,True
8032335,western,nalolo,False,0,7,7,0,True
8032343,western,shangombo,True,0,7,6,1,True
8032348,western,sikongo,False,0,7,7,0,True
8032526,western,mongu,False,0,7,7,0,True
8032527,western,mongu,False,0,7,7,0,True
8032541,western,limulunga,False,0,7,7,0,True
8032558,western,luampa,True,0,7,5,2,True
8032579,western,nalolo,False,0,7,5,2,True
8032583,western,nalolo,False,0,7,7,0,True
8032589,western,shangombo,False,0,7,7,0,True
8033123,eastern,chipangali,False,0,7,5,2,True
8033127,eastern,chipangali,False,0,7,5,2,True
8033128,eastern,chipangali,False,0,7,6,1,True
8033185,eastern,chipangali,False,1,6,4,2,False
8033342,eastern,mambwe,False,0,7,7,0,True
8033344,eastern,mambwe,False,0,7,7,0,True
8033369,eastern,mambwe,False,2,5,5,0,False
8033385,eastern,mambwe,False,0,7,7,0,True
8033415,eastern,mambwe,False,0,7,7,0,True
8034000,western,sesheke,False,0,7,7,0,True
8034002,western,sesheke,False,0,7,7,0,True
8034003,western,sesheke,False,0,7,7,0,True
8034004,western,sesheke,False,0,7,7,0,True
8034006,western,sesheke,False,4,3,2,1,False
8034007,western,sesheke,False,0,7,7,0,True
8034008,western,sesheke,False,0,7,7,0,True
8034009,western,sesheke,True,0,7,6,1,True
8034013,western,sesheke,False,0,7,7,0,True
8034014,western,sesheke,False,0,7,7,0,True
8034015,western,sesheke,False,4,3,2,1,False
8034017,western,sesheke,False,0,7,6,1,True
8034018,western,sesheke,False,0,7,6,1,True
8034024,western,sesheke,False,0,7,7,0,True
8034025,western,sesheke,True,0,7,7,0,True
8034026,western,sesheke,False,0,7,7,0,True
8034028,western,sesheke,True,0,7,6,1,True
8034030,western,sesheke,True,6,1,0,1,False
8034031,western,sesheke,False,0,7,7,0,True
8034036,western,sesheke,True,0,7,6,1,True
8034039,western,sesheke,False,0,7,7,0,True
8034040,western,sesheke,False,0,7,7,0,True
8034042,western,sesheke,True,0,7,6,1,True
8034044,western,sesheke,True,0,7,7,0,True
8034045,western,sesheke,True,0,7,7,0,True
8034048,western,sesheke,True,0,7,7,0,True
8034049,western,sesheke,False,0,7,7,0,True
8034050,western,sesheke,False,0,7,7,0,True
8034052,western,sesheke,False,0,7,7,0,True
8034059,western,sesheke,True,0,7,6,1,True
