pool,microsat_kbp,fluorophore,plate,well,major_peak_size,major_peak_height,minor_peak_size,minor_peak_height,n_peaks,allele_size,sample_id,extraction_id,set_type,province,district,carrier_A724E
1,-0.15,FAM,C01,H2,216.3,5916.0,,,1,217.0,1012426,Z018,representative,northwestern,mufumbwe,True
1,-0.15,FAM,C01,D12,220.98,2934.0,223.01,898.0,2,221.0,1012521,Z144,clonal,northwestern,zambezi,False
1,-0.15,FAM,C01,B2,191.51,7849.0,,,1,191.0,1012556,Z008,clonal,northwestern,zambezi,False
1,-0.15,FAM,C01,D5,213.01,6614.0,215.03,1104.0,2,213.0,1046675,Z058,representative,western,luampa,True
1,-0.15,FAM,C01,G5,189.27,7823.0,,,1,189.0,1046677,Z061,clonal,western,luampa,False
1,-0.15,FAM,C01,C5,213.03,3870.0,215.01,829.0,2,213.0,1046678,Z057,representative,western,luampa,True
1,-0.15,FAM,C01,C2,213.24,5463.0,215.22,1022.0,2,213.0,1046680,Z011,clonal,western,luampa,True
1,-0.15,FAM,C01,A5,213.02,4362.0,215.05,761.0,2,213.0,1046689,Z048,representative,western,luampa,True
1,-0.15,FAM,C01,E5,213.09,5147.0,215.08,1103.0,2,213.0,1046718,Z059,representative,western,luampa,True
1,-0.15,FAM,C01,F5,191.33,7424.0,213.09,356.0,2,191.0,1046728,Z060,representative,western,luampa,False
1,-0.15,FAM,C01,G4,213.13,3011.0,215.09,742.0,2,213.0,5053742,Z043,representative,western,sikongo,True
1,-0.15,FAM,C01,H1,191.46,7365.0,213.23,364.0,2,191.0,5053837,Z005,representative,northwestern,solwezi,False
1,-0.15,FAM,C01,D7,191.26,8034.0,,,1,191.0,8010843,Z086,representative,muchinga,shiwang'andu,False
1,-0.15,FAM,C01,G3,213.1,3943.0,215.11,863.0,2,213.0,8019456,Z030,clonal,northwestern,kasempa,True
1,-0.15,FAM,C01,A4,213.1,3914.0,215.04,767.0,2,213.0,8021039,Z033,clonal,northwestern,kasempa,True
1,-0.15,FAM,C01,D4,213.1,3553.0,215.1,816.0,2,213.0,8021930,Z037,representative,western,kaoma,True
1,-0.15,FAM,C01,G11,205.09,6962.0,,,1,205.0,8021932,Z138,representative,western,kaoma,False
1,-0.15,FAM,C01,F11,213.07,4024.0,215.04,762.0,2,213.0,8021934,Z137,representative,western,kaoma,True
1,-0.15,FAM,C01,D3,203.19,7390.0,,,1,203.0,8021935,Z025,representative,western,kaoma,False
1,-0.15,FAM,C01,E2,201.31,4116.0,,,1,201.0,8023299,Z013,representative,northwestern,mushindano,False
1,-0.15,FAM,C01,E3,213.08,5249.0,215.07,1080.0,2,213.0,8023320,Z026,clonal,northwestern,manyinga,True
1,-0.15,FAM,C01,H11,189.34,7432.0,,,1,189.0,8023334,Z140,representative,northwestern,manyinga,False
1,-0.15,FAM,C01,C12,195.15,7443.0,,,1,195.0,8023345,Z143,clonal,northwestern,manyinga,False
1,-0.15,FAM,C01,E12,213.08,4581.0,215.1,920.0,2,213.0,8023348,Z145,representative,northwestern,manyinga,True
1,-0.15,FAM,C01,A12,191.29,7433.0,,,1,191.0,8023349,Z141,clonal,northwestern,manyinga,False
1,-0.15,FAM,C01,C3,216.97,4121.0,219.03,1014.0,2,217.0,8023430,Z024,clonal,northwestern,kabompo,True
1,-0.15,FAM,C01,F6,213.08,3664.0,215.07,809.0,2,213.0,8031512,Z077,representative,muchinga,mafinga,True
1,-0.15,FAM,C01,D6,192.29,6490.0,,,1,193.0,8031765,Z070,clonal,northwestern,mushindano,False
1,-0.15,FAM,C01,A8,195.2,7239.0,,,1,195.0,8031772,Z094,representative,northwestern,mushindano,False
1,-0.15,FAM,C01,H3,191.32,7327.0,,,1,191.0,8031773,Z032,clonal,northwestern,mushindano,False
1,-0.15,FAM,C01,C8,191.26,7673.0,,,1,191.0,8032013,Z100,clonal,northwestern,mushindano,False
1,-0.15,FAM,C01,B8,191.26,7927.0,,,1,191.0,8032032,Z098,representative,northwestern,mwinilunga,False
1,-0.15,FAM,C01,H9,189.34,6324.0,,,1,189.0,8032265,Z115,clonal,western,senanga,False
1,-0.15,FAM,C01,E9,203.03,7021.0,,,1,203.0,8032294,Z112,clonal,western,kaoma,False
1,-0.15,FAM,C01,F9,213.08,4501.0,215.05,878.0,2,213.0,8032319,Z113,representative,western,mitete,True
1,-0.15,FAM,C01,A10,199.13,5153.0,,,1,199.0,8032330,Z116,representative,western,kalabo,False
1,-0.15,FAM,C01,D9,199.13,6906.0,,,1,199.0,8032335,Z111,representative,western,nalolo,False
1,-0.15,FAM,C01,C4,213.06,4713.0,215.0,936.0,2,213.0,8032343,Z035,representative,western,shangombo,True
1,-0.15,FAM,C01,G9,191.23,7843.0,,,1,191.0,8032348,Z114,clonal,western,sikongo,False
1,-0.15,FAM,C01,B11,191.22,7817.0,,,1,191.0,8032526,Z127,representative,western,mongu,False
