pool,sample_id,major_peak_size,major_peak_height,minor_peak_size,minor_peak_height,peak_ratio,n_peaks,microsat_kbp,fluorophore,product_bp
1,3D7_10K,220.99,2733.0,222.99,769.0,0.2813757775338456,2,-0.15,FAM,225
1,3D7_1K,220.92,2326.0,222.94,765.0,0.3288907996560619,2,-0.15,FAM,225
1,Dd2_10K,191.41,7790.0,,,,1,-0.15,FAM,225
1,Dd2_1K,191.42,7569.0,,,,1,-0.15,FAM,225
1,NTC,,,,,,0,-0.15,FAM,225
1,NTC,,,,,,0,-0.15,FAM,225
1,3D7_10K,145.13,5962.0,,,,1,15.0,HEX,150
1,3D7_1K,145.18,2279.0,,,,1,15.0,HEX,150
1,Dd2_10K,135.5,7448.0,,,,1,15.0,HEX,150
1,Dd2_1K,135.44,2223.0,,,,1,15.0,HEX,150
1,NTC,,,,,,0,15.0,HEX,150
1,NTC,,,,,,0,15.0,HEX,150
2,3D7_10K,204.32,4579.0,,,,1,-31.9,FAM,209
2,3D7_1K,204.5,2483.0,,,,1,-31.9,FAM,209
2,Dd2_10K,198.37,6508.0,,,,1,-31.9,FAM,209
2,Dd2_1K,198.53,3828.0,,,,1,-31.9,FAM,209
2,NTC,,,,,,0,-31.9,FAM,209
2,NTC,,,,,,0,-31.9,FAM,209
2,3D7_10K,235.38,4254.0,,,,1,72.3,HEX,240
2,3D7_1K,235.46,3216.0,,,,1,72.3,HEX,240
2,Dd2_10K,237.32,4556.0,,,,1,72.3,HEX,240
2,Dd2_1K,237.5,3133.0,,,,1,72.3,HEX,240
2,NTC,,,,,,0,72.3,HEX,240
2,NTC,,,,,,0,72.3,HEX,240
3,3D7_10K,161.52,4536.0,,,,1,-3.7,FAM,164
3,3D7_1K,161.65,2253.0,,,,1,-3.7,FAM,164
3,Dd2_10K,144.4,7938.0,,,,1,-3.7,FAM,164
3,Dd2_1K,144.53,3447.0,,,,1,-3.7,FAM,164
3,NTC,,,,,,0,-3.7,FAM,164
3,NTC,,,,,,0,-3.7,FAM,164
3,3D7_10K,293.66,4245.0,,,,1,31.0,HEX,300
3,3D7_1K,293.77,1786.0,,,,1,31.0,HEX,300
3,Dd2_10K,302.92,4577.0,,,,1,31.0,HEX,300
3,Dd2_1K,303.09,1527.0,,,,1,31.0,HEX,300
3,NTC,,,,,,0,31.0,HEX,300
3,NTC,,,,,,0,31.0,HEX,300
4,3D7_10K,279.79,7903.0,,,,1,-6.36,FAM,286
4,3D7_1K,279.8,7784.0,,,,1,-6.36,FAM,286
4,Dd2_10K,279.89,8240.0,,,,1,-6.36,FAM,286
4,Dd2_1K,279.79,7952.0,,,,1,-6.36,FAM,286
4,NTC,,,,,,0,-6.36,FAM,286
4,NTC,,,,,,0,-6.36,FAM,286
1,3D7_10K,221.11,3052.0,,,,1,-0.15,FAM,225
1,3D7_1K,220.98,1941.0,223.03,614.0,0.31633178773827925,2,-0.15,FAM,225
1,Dd2_10K,191.44,7809.0,,,,1,-0.15,FAM,225
1,Dd2_1K,191.32,4806.0,,,,1,-0.15,FAM,225
1,NTC,,,,,,0,-0.15,FAM,225
1,NTC,,,,,,0,-0.15,FAM,225
1,3D7_10K,145.24,6344.0,,,,1,15.0,HEX,150
1,3D7_1K,145.22,1757.0,310.25,335.0,0.1906659077973819,2,15.0,HEX,150
1,Dd2_10K,135.58,7822.0,,,,1,15.0,HEX,150
1,Dd2_1K,135.43,1364.0,310.14,372.0,0.2727272727272727,2,15.0,HEX,150
1,NTC,,,,,,0,15.0,HEX,150
1,NTC,,,,,,0,15.0,HEX,150
2,3D7_10K,204.5,6598.0,,,,1,-31.9,FAM,209
2,3D7_1K,204.52,2986.0,,,,1,-31.9,FAM,209
2,Dd2_10K,198.56,7856.0,,,,1,-31.9,FAM,209
2,Dd2_1K,198.41,4252.0,,,,1,-31.9,FAM,209
2,NTC,,,,,,0,-31.9,FAM,209
2,NTC,,,,,,0,-31.9,FAM,209
2,3D7_10K,235.55,4894.0,,,,1,72.3,HEX,240
2,3D7_1K,235.53,2659.0,,,,1,72.3,HEX,240
2,Dd2_10K,237.58,5180.0,,,,1,72.3,HEX,240
2,Dd2_1K,237.43,2513.0,,,,1,72.3,HEX,240
2,NTC,,,,,,0,72.3,HEX,240
2,NTC,,,,,,0,72.3,HEX,240
3,3D7_10K,161.75,4925.0,,,,1,-3.7,FAM,164
3,3D7_1K,161.49,2101.0,,,,1,-3.7,FAM,164
3,Dd2_10K,144.66,7825.0,,,,1,-3.7,FAM,164
3,Dd2_1K,144.45,3302.0,,,,1,-3.7,FAM,164
3,NTC,,,,,,0,-3.7,FAM,164
3,NTC,,,,,,0,-3.7,FAM,164
3,3D7_10K,294.06,2881.0,,,,1,31.0,HEX,300
3,3D7_1K,293.69,1019.0,,,,1,31.0,HEX,300
3,Dd2_10K,303.33,3103.0,,,,1,31.0,HEX,300
3,Dd2_1K,302.76,1096.0,,,,1,31.0,HEX,300
3,NTC,,,,,,0,31.0,HEX,300
3,NTC,,,,,,0,31.0,HEX,300
4,3D7_10K,280.12,7977.0,,,,1,-6.36,FAM,286
4,3D7_1K,279.89,3138.0,,,,1,-6.36,FAM,286
4,Dd2_10K,280.05,8176.0,,,,1,-6.36,FAM,286
4,Dd2_1K,279.81,3298.0,,,,1,-6.36,FAM,286
4,NTC,,,,,,0,-6.36,FAM,286
4,NTC,,,,,,0,-6.36,FAM,286
