pool,sample_id,major_peak_size,major_peak_height,minor_peak_size,minor_peak_height,peak_ratio,n_peaks,microsat_kbp,fluorophore,product_bp,plate,well,extraction_id,set_type,district,province,carrier_A724E
1,1012426,216.3,5916.0,,,,1,-0.15,FAM,225,C01,H2,Z018,representative,mufumbwe,northwestern,True
1,1012521,220.98,2934.0,223.01,898.0,0.3060668029993183,2,-0.15,FAM,225,C01,D12,Z144,clonal,zambezi,northwestern,False
1,1012556,191.51,7849.0,,,,1,-0.15,FAM,225,C01,B2,Z008,clonal,zambezi,northwestern,False
1,1046675,213.01,6614.0,215.03,1104.0,0.16691865739340792,2,-0.15,FAM,225,C01,D5,Z058,representative,luampa,western,True
1,1046677,189.27,7823.0,,,,1,-0.15,FAM,225,C01,G5,Z061,clonal,luampa,western,False
1,1046678,213.03,3870.0,215.01,829.0,0.21421188630490956,2,-0.15,FAM,225,C01,C5,Z057,representative,luampa,western,True
1,1046680,213.24,5463.0,215.22,1022.0,0.18707669778509975,2,-0.15,FAM,225,C01,C2,Z011,clonal,luampa,western,True
1,1046689,213.02,4362.0,215.05,761.0,0.1744612563044475,2,-0.15,FAM,225,C01,A5,Z048,representative,luampa,western,True
1,1046718,213.09,5147.0,215.08,1103.0,0.2142995919953371,2,-0.15,FAM,225,C01,E5,Z059,representative,luampa,western,True
1,1046728,191.33,7424.0,213.09,356.0,0.047952586206896554,2,-0.15,FAM,225,C01,F5,Z060,representative,luampa,western,False
1,5053742,213.13,3011.0,215.09,742.0,0.24642975755562935,2,-0.15,FAM,225,C01,G4,Z043,representative,sikongo,western,True
1,5053837,191.46,7365.0,213.23,364.0,0.04942294636795655,2,-0.15,FAM,225,C01,H1,Z005,representative,solwezi,northwestern,False
1,8010683,191.46,7791.0,,,,1,-0.15,FAM,225,C01,D1,Z001,representative,chipata,eastern,False
1,8010843,191.26,8034.0,,,,1,-0.15,FAM,225,C01,D7,Z086,representative,shiwang'andu,muchinga,False
1,8012421,187.57,7533.0,,,,1,-0.15,FAM,225,C01,F1,Z003,representative,vubwi,eastern,False
1,8013498,201.37,5146.0,191.46,1949.0,0.37874076952973185,2,-0.15,FAM,225,C01,G2,Z016,representative,chipata,eastern,False
1,8013676,191.36,7799.0,,,,1,-0.15,FAM,225,C01,G6,Z079,representative,chipata,eastern,False
1,8013681,191.24,7818.0,,,,1,-0.15,FAM,225,C01,E7,Z087,representative,chipata,eastern,False
1,8019456,213.1,3943.0,215.11,863.0,0.21886888156226222,2,-0.15,FAM,225,C01,G3,Z030,clonal,kasempa,northwestern,True
1,8021039,213.1,3914.0,215.04,767.0,0.19596320899335717,2,-0.15,FAM,225,C01,A4,Z033,clonal,kasempa,northwestern,True
1,8021930,213.1,3553.0,215.1,816.0,0.22966507177033493,2,-0.15,FAM,225,C01,D4,Z037,representative,kaoma,western,True
1,8021932,205.09,6962.0,,,,1,-0.15,FAM,225,C01,G11,Z138,representative,kaoma,western,False
1,8021934,213.07,4024.0,215.04,762.0,0.1893638170974155,2,-0.15,FAM,225,C01,F11,Z137,representative,kaoma,western,True
1,8021935,203.19,7390.0,,,,1,-0.15,FAM,225,C01,D3,Z025,representative,kaoma,western,False
1,8022279,191.41,7927.0,,,,1,-0.15,FAM,225,C01,A2,Z007,representative,lumezi,eastern,False
