k,count_day3_a724e,risk_a724e,fishers_p,odds_ratio,logit_p
1,20 (of 74),27.0 (17.4-38.6),0.002794449448260246,12.1 (1.4-1595.2),0.018
2,19 (of 73),26.0 (16.5-37.6),0.005179576657287195,11.7 (1.3-1569.2),0.023
3,18 (of 72),25.0 (15.5-36.6),0.005160070261358914,11.2 (1.2-1506.9),0.027
4,17 (of 71),23.9 (14.6-35.5),0.00987146787380035,11.2 (1.2-1510.7),0.029
5,16 (of 70),22.9 (13.7-34.4),0.009525372943668505,10.7 (1.2-1457.1),0.034
6,15 (of 69),21.7 (12.7-33.3),0.018437226382550218,10.2 (1.0-1423.6),0.047
7,14 (of 68),20.6 (11.7-32.1),0.017451958161609125,9.5 (0.9-1324.9),0.059
8,13 (of 67),19.4 (10.8-30.9),0.033623825191191524,8.4 (0.9-1160.6),0.072
9,12 (of 66),18.2 (9.8-29.6),0.03162530470421747,8.1 (0.8-1116.1),0.08
10,11 (of 65),16.9 (8.8-28.3),0.059927916385623614,7.0 (0.7-962.7),0.102
