plate,sample1,sample2,sample3,dilution_factor,boxes
evIC50_1_plate1_07APRIL2026,8036218,8036219,8036220,3,large
evIC50_1_plate2_07APRIL2026,8036221,8036222,8036223,3,large
evIC50_2_plate1_08APRIL2026,8036227,8036228,8036229,3,large
evIC50_2_plate2_08APRIL2026,8036231,8036232,8036233,3,large
evIC50_2_plate3_08APRIL2026,8036238,8036239,8036240,3,large
evIC50_2_plate4_08APRIL2026,8036243,8036246,8036253,3,large
evIC50_3_plate1_11APRIL2026,8036261,8036263,8036264,3,large
evIC50_3_plate2_11APRIL2026,8036265,8036266,8036267,3,large
evIC50_3_plate3_11APRIL2026,8036268,8036269,8036271,3,large
evIC50_3_plate4_11APRIL2026,8036272,8036273,8036274,3,large
evIC50_3_plate5_11APRIL2026,8036275,8036279,8036280,3,large
evIC50_3_plate6_11APRIL2026,8036282,8036283,8036284,3,large
evIC50_3_plate7_11APRIL2026,8036285,8036286,8036287,3,large
evIC50_4_plate1_13APRIL2026,8036288,8036289,8036290,3,large
evIC50_4_plate2_13APRIL2026,8036291,8036292,8036294,3,large
evIC50_4_plate3_13APRIL2026,8036295,8036296,8036297,3,large
evIC50_4_plate4_13APRIL2026,8036298,8036301,8036302,3,large
evIC50_4_plate5_13APRIL2026,8036303,8036304,,3,large
evIC50_5_plate1_15APRIL2026,8036305,8036307,8036309,3,large
evIC50_5_plate2_15APRIL2026,8036310,8036312,8036313,3,large
evIC50_5_plate3_15APRIL2026,8036314,8036315,8036316,3,large
evIC50_5_plate4_15APRIL2026,8036317,8036318,8036319,3,large
evIC50_5_plate5_15APRIL2026,8036321,8036322,8036323,3,large
evIC50_5_plate6_15APRIL2026,8036324,8036325,8036327,3,large
evIC50_6_plate1_17APRIL2026,8036333,8036334,8036337,3,small
evIC50_6_plate2_17APRIL2026,8036339,8036340,8036341,3,small
evIC50_6_plate3_17APRIL2026,8036342,8036343,8036345,3,small
evIC50_6_plate4_17APRIL2026,8036346,8036347,8036349,3,small
evIC50_6_plate5_17APRIL2026,8036350,8036351,8036352,3,small
evIC50_6_plate6_17APRIL2026,8036353,8036354,8036355,3,small
evIC50_6_plate7_17APRIL2026,8036356,8036357,8036358,3,small
evIC50_6_plate8_17APRIL2026,8036359,8036360,8036361,3,small
evIC50_7_plate1_19APRIL2026,8036362,8036364,8036365,4,small
evIC50_7_plate2_19APRIL2026,8036367,8036368,8036372,4,small
evIC50_7_plate3_19APRIL2026,8036376,8036379,8036380,4,small
evIC50_7_plate4_19APRIL2026,8036381,8036382,8036383,4,small
evIC50_7_plate5_19APRIL2026,8036385,8036387,8036388,4,small
evIC50_7_plate6_19APRIL2026,8036390,,,4,small
evIC50_8_plate1_21APRIL2026,8036393,8036395,8036396,4,small
evIC50_8_plate2_21APRIL2026,8036398,8036399,8036401,4,small
evIC50_8_plate3_21APRIL2026,8036403,8036404,8036406,4,small
evIC50_8_plate4_21APRIL2026,8036407,8036409,,4,small
evIC50_8_plate5_21APRIL2026,8036411,8036412,8036413,4,small
evIC50_8_plate6_21APRIL2026,8036415,8036416,8036417,4,small
evIC50_8_plate7_21APRIL2026,8036420,8036422,8036423,4,small
evIC50_8_plate8_21APRIL2026,8036424,8036425,8036426,4,small
evIC50_9_plate1_22APRIL2026,8036408,8036427,8036428,4,small
evIC50_9_plate2_22APRIL2026,8036429,8036430,8036432,4,small
evIC50_9_plate3_22APRIL2026,8036433,8036435,,4,small
evIC50_9_plate4_22APRIL2026,8036438,8036440,8036441,4,small
evIC50_9_plate5_22APRIL2026,8036444,8036445,8036446,4,small
evIC50_9_plate6_22APRIL2026,8036449,,,4,small
evIC50_10_plate1_23APRIL2026,8036450,8036453,8036454,4,small
evIC50_10_plate2_23APRIL2026,8036462,8036464,8036466,4,small
evIC50_10_plate3_23APRIL2026,8033751,8033753,8033754,4,small
evIC50_10_plate4_23APRIL2026,8033755,8033756,8033758,4,small
evIC50_10_plate5_23APRIL2026,8033759,8033760,8033761,4,small
evIC50_10_plate6_23APRIL2026,8033762,,,4,small
evIC50_11_plate1_24APRIL2026,8033763,8033767,8033768,4,small
evIC50_11_plate2_24APRIL2026,8033770,8033772,8033773,4,small
evIC50_11_plate3_24APRIL2026,8033775,8033776,8033777,4,small
evIC50_11_plate4_24APRIL2026,8033778,8033779,8033781,4,small
evIC50_11_plate5_24APRIL2026,8033783,8033784,8033785,4,small
evIC50_11_plate6_24APRIL2026,8033786,8033787,8033788,4,small
evIC50_12_plate1_246APRIL2026,8033789,8033795,8033797,4,small
evIC50_12_plate2_246APRIL2026,8033799,8033800,8033806,4,small
evIC50_12_plate3_246APRIL2026,8033807,8033808,8033809,4,small
evIC50_12_plate4_246APRIL2026,8033811,8033812,,4,small
