Raw Data 		Experiment - evIC50_10_plate1_23APRIL2026.1 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	2	1	1	30070	37	0.38
A1	Sample 1	2	1	2	35100	37	0.38
A1	Sample 1	2	1	3	40110	36.96	0.39
A1	Sample 1	2	1	4	45120	37	0.40
A1	Sample 1	2	1	5	50100	37	0.40
A1	Sample 1	2	1	6	55100	36.96	0.41
A1	Sample 1	2	1	7	60100	37	0.41
A1	Sample 1	2	1	8	65100	37	0.41
A1	Sample 1	2	1	9	70090	37	0.41
A1	Sample 1	2	1	10	75100	37	0.40
A1	Sample 1	2	1	11	80100	37	0.41
A1	Sample 1	2	1	12	85100	37	0.41
A1	Sample 1	2	1	13	90100	37	0.41
A1	Sample 1	2	1	14	95100	37	0.40
A1	Sample 1	2	1	15	100090	36.96	0.41
A2	Sample 2	2	1	1	30070	37	0.37
A2	Sample 2	2	1	2	35100	37	0.38
A2	Sample 2	2	1	3	40110	36.96	0.39
A2	Sample 2	2	1	4	45120	37	0.39
A2	Sample 2	2	1	5	50100	37	0.39
A2	Sample 2	2	1	6	55100	36.96	0.40
A2	Sample 2	2	1	7	60100	37	0.40
A2	Sample 2	2	1	8	65100	37	0.40
A2	Sample 2	2	1	9	70090	37	0.40
A2	Sample 2	2	1	10	75100	37	0.40
A2	Sample 2	2	1	11	80100	37	0.40
A2	Sample 2	2	1	12	85100	37	0.40
A2	Sample 2	2	1	13	90100	37	0.40
A2	Sample 2	2	1	14	95100	37	0.39
A2	Sample 2	2	1	15	100090	36.96	0.40
A3	Sample 3	2	1	1	30070	37	0.41
A3	Sample 3	2	1	2	35100	37	0.42
A3	Sample 3	2	1	3	40110	36.96	0.43
A3	Sample 3	2	1	4	45120	37	0.44
A3	Sample 3	2	1	5	50100	37	0.44
A3	Sample 3	2	1	6	55100	36.96	0.44
A3	Sample 3	2	1	7	60100	37	0.44
A3	Sample 3	2	1	8	65100	37	0.44
A3	Sample 3	2	1	9	70090	37	0.45
A3	Sample 3	2	1	10	75100	37	0.44
A3	Sample 3	2	1	11	80100	37	0.44
A3	Sample 3	2	1	12	85100	37	0.44
A3	Sample 3	2	1	13	90100	37	0.44
A3	Sample 3	2	1	14	95100	37	0.44
A3	Sample 3	2	1	15	100090	36.96	0.44
A4	Sample 4	2	1	1	30070	37	0.40
A4	Sample 4	2	1	2	35100	37	0.41
A4	Sample 4	2	1	3	40110	36.96	0.42
A4	Sample 4	2	1	4	45120	37	0.42
A4	Sample 4	2	1	5	50100	37	0.42
A4	Sample 4	2	1	6	55100	36.96	0.42
A4	Sample 4	2	1	7	60100	37	0.43
A4	Sample 4	2	1	8	65100	37	0.43
A4	Sample 4	2	1	9	70090	37	0.43
A4	Sample 4	2	1	10	75100	37	0.43
A4	Sample 4	2	1	11	80100	37	0.43
A4	Sample 4	2	1	12	85100	37	0.43
A4	Sample 4	2	1	13	90100	37	0.44
A4	Sample 4	2	1	14	95100	37	0.43
A4	Sample 4	2	1	15	100090	36.96	0.43
A5	Sample 5	2	1	1	30070	37	0.42
A5	Sample 5	2	1	2	35100	37	0.44
A5	Sample 5	2	1	3	40110	36.96	0.45
A5	Sample 5	2	1	4	45120	37	0.46
A5	Sample 5	2	1	5	50100	37	0.46
A5	Sample 5	2	1	6	55100	36.96	0.47
A5	Sample 5	2	1	7	60100	37	0.47
A5	Sample 5	2	1	8	65100	37	0.47
A5	Sample 5	2	1	9	70090	37	0.47
A5	Sample 5	2	1	10	75100	37	0.47
A5	Sample 5	2	1	11	80100	37	0.47
A5	Sample 5	2	1	12	85100	37	0.47
A5	Sample 5	2	1	13	90100	37	0.47
A5	Sample 5	2	1	14	95100	37	0.47
A5	Sample 5	2	1	15	100090	36.96	0.47
A6	Sample 6	2	1	1	30070	37	0.46
A6	Sample 6	2	1	2	35100	37	0.47
A6	Sample 6	2	1	3	40110	36.96	0.49
A6	Sample 6	2	1	4	45120	37	0.49
A6	Sample 6	2	1	5	50100	37	0.50
A6	Sample 6	2	1	6	55100	36.96	0.50
A6	Sample 6	2	1	7	60100	37	0.51
A6	Sample 6	2	1	8	65100	37	0.51
A6	Sample 6	2	1	9	70090	37	0.51
A6	Sample 6	2	1	10	75100	37	0.50
A6	Sample 6	2	1	11	80100	37	0.51
A6	Sample 6	2	1	12	85100	37	0.51
A6	Sample 6	2	1	13	90100	37	0.51
A6	Sample 6	2	1	14	95100	37	0.51
A6	Sample 6	2	1	15	100090	36.96	0.51
A7	Sample 7	2	1	1	30070	37	0.44
A7	Sample 7	2	1	2	35100	37	0.45
A7	Sample 7	2	1	3	40110	36.96	0.46
A7	Sample 7	2	1	4	45120	37	0.46
A7	Sample 7	2	1	5	50100	37	0.46
A7	Sample 7	2	1	6	55100	36.96	0.47
A7	Sample 7	2	1	7	60100	37	0.47
A7	Sample 7	2	1	8	65100	37	0.48
A7	Sample 7	2	1	9	70090	37	0.47
A7	Sample 7	2	1	10	75100	37	0.47
A7	Sample 7	2	1	11	80100	37	0.48
A7	Sample 7	2	1	12	85100	37	0.48
A7	Sample 7	2	1	13	90100	37	0.48
A7	Sample 7	2	1	14	95100	37	0.48
A7	Sample 7	2	1	15	100090	36.96	0.48
A8	Sample 8	2	1	1	30070	37	0.43
A8	Sample 8	2	1	2	35100	37	0.45
A8	Sample 8	2	1	3	40110	36.96	0.45
A8	Sample 8	2	1	4	45120	37	0.46
A8	Sample 8	2	1	5	50100	37	0.46
A8	Sample 8	2	1	6	55100	36.96	0.47
A8	Sample 8	2	1	7	60100	37	0.47
A8	Sample 8	2	1	8	65100	37	0.48
A8	Sample 8	2	1	9	70090	37	0.47
A8	Sample 8	2	1	10	75100	37	0.47
A8	Sample 8	2	1	11	80100	37	0.47
A8	Sample 8	2	1	12	85100	37	0.47
A8	Sample 8	2	1	13	90100	37	0.47
A8	Sample 8	2	1	14	95100	37	0.48
A8	Sample 8	2	1	15	100090	36.96	0.47
A9	Sample 9	2	1	1	30070	37	0.36
A9	Sample 9	2	1	2	35100	37	0.38
A9	Sample 9	2	1	3	40110	36.96	0.38
A9	Sample 9	2	1	4	45120	37	0.39
A9	Sample 9	2	1	5	50100	37	0.38
A9	Sample 9	2	1	6	55100	36.96	0.39
A9	Sample 9	2	1	7	60100	37	0.40
A9	Sample 9	2	1	8	65100	37	0.40
A9	Sample 9	2	1	9	70090	37	0.40
A9	Sample 9	2	1	10	75100	37	0.40
A9	Sample 9	2	1	11	80100	37	0.40
A9	Sample 9	2	1	12	85100	37	0.40
A9	Sample 9	2	1	13	90100	37	0.40
A9	Sample 9	2	1	14	95100	37	0.40
A9	Sample 9	2	1	15	100090	36.96	0.40
A10	Sample 10	2	1	1	30070	37	0.36
A10	Sample 10	2	1	2	35100	37	0.37
A10	Sample 10	2	1	3	40110	36.96	0.38
A10	Sample 10	2	1	4	45120	37	0.38
A10	Sample 10	2	1	5	50100	37	0.38
A10	Sample 10	2	1	6	55100	36.96	0.39
A10	Sample 10	2	1	7	60100	37	0.39
A10	Sample 10	2	1	8	65100	37	0.40
A10	Sample 10	2	1	9	70090	37	0.40
A10	Sample 10	2	1	10	75100	37	0.39
A10	Sample 10	2	1	11	80100	37	0.40
A10	Sample 10	2	1	12	85100	37	0.40
A10	Sample 10	2	1	13	90100	37	0.40
A10	Sample 10	2	1	14	95100	37	0.40
A10	Sample 10	2	1	15	100090	36.96	0.40
