Raw Data 		Experiment - evIC50_plate2_07APRIL2026 (Run on LCS480 1.5.1.62)					
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510
A1	Sample 1	2	1	1	39350	36.96	0.54
A1	Sample 1	2	1	2	52350	37	0.55
A1	Sample 1	2	1	3	65340	36.96	0.55
A1	Sample 1	2	1	4	78340	36.96	0.56
A1	Sample 1	2	1	5	91340	36.96	0.55
A1	Sample 1	2	1	6	104340	37	0.54
A1	Sample 1	2	1	7	117340	37	0.55
A1	Sample 1	2	1	8	130350	37	0.56
A1	Sample 1	2	1	9	143340	37	0.55
A1	Sample 1	2	1	10	156350	36.96	0.55
A1	Sample 1	2	1	11	169340	36.91	0.55
A1	Sample 1	2	1	12	182340	37	0.55
A1	Sample 1	2	1	13	195340	37	0.55
A1	Sample 1	2	1	14	208340	36.96	0.55
A1	Sample 1	2	1	15	221360	36.96	0.55
A2	Sample 2	2	1	1	39350	36.96	0.67
A2	Sample 2	2	1	2	52350	37	0.67
A2	Sample 2	2	1	3	65340	36.96	0.68
A2	Sample 2	2	1	4	78340	36.96	0.68
A2	Sample 2	2	1	5	91340	36.96	0.68
A2	Sample 2	2	1	6	104340	37	0.67
A2	Sample 2	2	1	7	117340	37	0.68
A2	Sample 2	2	1	8	130350	37	0.68
A2	Sample 2	2	1	9	143340	37	0.68
A2	Sample 2	2	1	10	156350	36.96	0.68
A2	Sample 2	2	1	11	169340	36.91	0.68
A2	Sample 2	2	1	12	182340	37	0.68
A2	Sample 2	2	1	13	195340	37	0.68
A2	Sample 2	2	1	14	208340	36.96	0.68
A2	Sample 2	2	1	15	221360	36.96	0.68
A3	Sample 3	2	1	1	39350	36.96	0.68
A3	Sample 3	2	1	2	52350	37	0.68
A3	Sample 3	2	1	3	65340	36.96	0.68
A3	Sample 3	2	1	4	78340	36.96	0.68
A3	Sample 3	2	1	5	91340	36.96	0.68
A3	Sample 3	2	1	6	104340	37	0.68
A3	Sample 3	2	1	7	117340	37	0.67
A3	Sample 3	2	1	8	130350	37	0.68
A3	Sample 3	2	1	9	143340	37	0.68
A3	Sample 3	2	1	10	156350	36.96	0.68
A3	Sample 3	2	1	11	169340	36.91	0.68
A3	Sample 3	2	1	12	182340	37	0.67
A3	Sample 3	2	1	13	195340	37	0.68
A3	Sample 3	2	1	14	208340	36.96	0.68
A3	Sample 3	2	1	15	221360	36.96	0.68
A4	Sample 4	2	1	1	39350	36.96	0.61
A4	Sample 4	2	1	2	52350	37	0.62
A4	Sample 4	2	1	3	65340	36.96	0.62
A4	Sample 4	2	1	4	78340	36.96	0.62
A4	Sample 4	2	1	5	91340	36.96	0.61
A4	Sample 4	2	1	6	104340	37	0.62
A4	Sample 4	2	1	7	117340	37	0.61
A4	Sample 4	2	1	8	130350	37	0.62
A4	Sample 4	2	1	9	143340	37	0.62
A4	Sample 4	2	1	10	156350	36.96	0.62
A4	Sample 4	2	1	11	169340	36.91	0.62
A4	Sample 4	2	1	12	182340	37	0.61
A4	Sample 4	2	1	13	195340	37	0.61
A4	Sample 4	2	1	14	208340	36.96	0.62
A4	Sample 4	2	1	15	221360	36.96	0.61
A5	Sample 5	2	1	1	39350	36.96	0.72
A5	Sample 5	2	1	2	52350	37	0.72
A5	Sample 5	2	1	3	65340	36.96	0.72
A5	Sample 5	2	1	4	78340	36.96	0.73
A5	Sample 5	2	1	5	91340	36.96	0.72
A5	Sample 5	2	1	6	104340	37	0.72
A5	Sample 5	2	1	7	117340	37	0.72
A5	Sample 5	2	1	8	130350	37	0.72
A5	Sample 5	2	1	9	143340	37	0.73
A5	Sample 5	2	1	10	156350	36.96	0.72
A5	Sample 5	2	1	11	169340	36.91	0.72
A5	Sample 5	2	1	12	182340	37	0.72
A5	Sample 5	2	1	13	195340	37	0.72
A5	Sample 5	2	1	14	208340	36.96	0.72
A5	Sample 5	2	1	15	221360	36.96	0.72
A6	Sample 6	2	1	1	39350	36.96	0.7
A6	Sample 6	2	1	2	52350	37	0.7
A6	Sample 6	2	1	3	65340	36.96	0.7
A6	Sample 6	2	1	4	78340	36.96	0.7
A6	Sample 6	2	1	5	91340	36.96	0.7
A6	Sample 6	2	1	6	104340	37	0.7
A6	Sample 6	2	1	7	117340	37	0.7
A6	Sample 6	2	1	8	130350	37	0.71
A6	Sample 6	2	1	9	143340	37	0.7
A6	Sample 6	2	1	10	156350	36.96	0.7
A6	Sample 6	2	1	11	169340	36.91	0.7
A6	Sample 6	2	1	12	182340	37	0.7
A6	Sample 6	2	1	13	195340	37	0.7
A6	Sample 6	2	1	14	208340	36.96	0.7
A6	Sample 6	2	1	15	221360	36.96	0.7
A7	Sample 7	2	1	1	39350	36.96	0.72
A7	Sample 7	2	1	2	52350	37	0.72
A7	Sample 7	2	1	3	65340	36.96	0.72
A7	Sample 7	2	1	4	78340	36.96	0.72
A7	Sample 7	2	1	5	91340	36.96	0.72
A7	Sample 7	2	1	6	104340	37	0.72
A7	Sample 7	2	1	7	117340	37	0.72
A7	Sample 7	2	1	8	130350	37	0.72
A7	Sample 7	2	1	9	143340	37	0.73
A7	Sample 7	2	1	10	156350	36.96	0.72
A7	Sample 7	2	1	11	169340	36.91	0.72
A7	Sample 7	2	1	12	182340	37	0.72
A7	Sample 7	2	1	13	195340	37	0.72
A7	Sample 7	2	1	14	208340	36.96	0.72
A7	Sample 7	2	1	15	221360	36.96	0.72
A8	Sample 8	2	1	1	39350	36.96	0.7
A8	Sample 8	2	1	2	52350	37	0.7
A8	Sample 8	2	1	3	65340	36.96	0.7
A8	Sample 8	2	1	4	78340	36.96	0.7
A8	Sample 8	2	1	5	91340	36.96	0.7
A8	Sample 8	2	1	6	104340	37	0.69
A8	Sample 8	2	1	7	117340	37	0.69
A8	Sample 8	2	1	8	130350	37	0.7
A8	Sample 8	2	1	9	143340	37	0.7
A8	Sample 8	2	1	10	156350	36.96	0.69
A8	Sample 8	2	1	11	169340	36.91	0.69
A8	Sample 8	2	1	12	182340	37	0.7
A8	Sample 8	2	1	13	195340	37	0.7
A8	Sample 8	2	1	14	208340	36.96	0.7
A8	Sample 8	2	1	15	221360	36.96	0.7
A9	Sample 9	2	1	1	39350	36.96	0.65
A9	Sample 9	2	1	2	52350	37	0.65
A9	Sample 9	2	1	3	65340	36.96	0.65
A9	Sample 9	2	1	4	78340	36.96	0.65
A9	Sample 9	2	1	5	91340	36.96	0.65
A9	Sample 9	2	1	6	104340	37	0.64
A9	Sample 9	2	1	7	117340	37	0.65
A9	Sample 9	2	1	8	130350	37	0.65
A9	Sample 9	2	1	9	143340	37	0.66
A9	Sample 9	2	1	10	156350	36.96	0.65
A9	Sample 9	2	1	11	169340	36.91	0.65
A9	Sample 9	2	1	12	182340	37	0.65
A9	Sample 9	2	1	13	195340	37	0.65
A9	Sample 9	2	1	14	208340	36.96	0.66
A9	Sample 9	2	1	15	221360	36.96	0.66
A10	Sample 10	2	1	1	39350	36.96	0.69
A10	Sample 10	2	1	2	52350	37	0.69
A10	Sample 10	2	1	3	65340	36.96	0.69
A10	Sample 10	2	1	4	78340	36.96	0.68
A10	Sample 10	2	1	5	91340	36.96	0.68
A10	Sample 10	2	1	6	104340	37	0.68
A10	Sample 10	2	1	7	117340	37	0.68
A10	Sample 10	2	1	8	130350	37	0.69
A10	Sample 10	2	1	9	143340	37	0.69
A10	Sample 10	2	1	10	156350	36.96	0.68
A10	Sample 10	2	1	11	169340	36.91	0.69
A10	Sample 10	2	1	12	182340	37	0.69
A10	Sample 10	2	1	13	195340	37	0.69
A10	Sample 10	2	1	14	208340	36.96	0.69
A10	Sample 10	2	1	15	221360	36.96	0.69
A11	Sample 11	2	1	1	39350	36.96	0.68
A11	Sample 11	2	1	2	52350	37	0.67
A11	Sample 11	2	1	3	65340	36.96	0.68
A11	Sample 11	2	1	4	78340	36.96	0.68
A11	Sample 11	2	1	5	91340	36.96	0.68
A11	Sample 11	2	1	6	104340	37	0.68
A11	Sample 11	2	1	7	117340	37	0.68
A11	Sample 11	2	1	8	130350	37	0.68
A11	Sample 11	2	1	9	143340	37	0.69
A11	Sample 11	2	1	10	156350	36.96	0.69
A11	Sample 11	2	1	11	169340	36.91	0.69
A11	Sample 11	2	1	12	182340	37	0.68
A11	Sample 11	2	1	13	195340	37	0.68
A11	Sample 11	2	1	14	208340	36.96	0.69
A11	Sample 11	2	1	15	221360	36.96	0.68
A12	Sample 12	2	1	1	39350	36.96	0.56
A12	Sample 12	2	1	2	52350	37	0.56
A12	Sample 12	2	1	3	65340	36.96	0.56
A12	Sample 12	2	1	4	78340	36.96	0.56
A12	Sample 12	2	1	5	91340	36.96	0.56
A12	Sample 12	2	1	6	104340	37	0.55
A12	Sample 12	2	1	7	117340	37	0.56
A12	Sample 12	2	1	8	130350	37	0.57
A12	Sample 12	2	1	9	143340	37	0.56
A12	Sample 12	2	1	10	156350	36.96	0.56
A12	Sample 12	2	1	11	169340	36.91	0.56
A12	Sample 12	2	1	12	182340	37	0.56
A12	Sample 12	2	1	13	195340	37	0.56
A12	Sample 12	2	1	14	208340	36.96	0.57
A12	Sample 12	2	1	15	221360	36.96	0.56
B1	Sample 13	2	1	1	39350	36.96	0.53
B1	Sample 13	2	1	2	52350	37	0.53
B1	Sample 13	2	1	3	65340	36.96	0.53
B1	Sample 13	2	1	4	78340	36.96	0.54
B1	Sample 13	2	1	5	91340	36.96	0.54
B1	Sample 13	2	1	6	104340	37	0.54
B1	Sample 13	2	1	7	117340	37	0.54
B1	Sample 13	2	1	8	130350	37	0.54
B1	Sample 13	2	1	9	143340	37	0.54
B1	Sample 13	2	1	10	156350	36.96	0.53
B1	Sample 13	2	1	11	169340	36.91	0.53
B1	Sample 13	2	1	12	182340	37	0.54
B1	Sample 13	2	1	13	195340	37	0.53
B1	Sample 13	2	1	14	208340	36.96	0.54
B1	Sample 13	2	1	15	221360	36.96	0.53
B2	Sample 14	2	1	1	39350	36.96	0.55
B2	Sample 14	2	1	2	52350	37	0.54
B2	Sample 14	2	1	3	65340	36.96	0.55
B2	Sample 14	2	1	4	78340	36.96	0.54
B2	Sample 14	2	1	5	91340	36.96	0.54
B2	Sample 14	2	1	6	104340	37	0.54
B2	Sample 14	2	1	7	117340	37	0.54
B2	Sample 14	2	1	8	130350	37	0.55
B2	Sample 14	2	1	9	143340	37	0.54
B2	Sample 14	2	1	10	156350	36.96	0.54
B2	Sample 14	2	1	11	169340	36.91	0.54
B2	Sample 14	2	1	12	182340	37	0.54
B2	Sample 14	2	1	13	195340	37	0.54
B2	Sample 14	2	1	14	208340	36.96	0.55
B2	Sample 14	2	1	15	221360	36.96	0.54
B3	Sample 15	2	1	1	39350	36.96	0.59
B3	Sample 15	2	1	2	52350	37	0.58
B3	Sample 15	2	1	3	65340	36.96	0.59
B3	Sample 15	2	1	4	78340	36.96	0.59
B3	Sample 15	2	1	5	91340	36.96	0.58
B3	Sample 15	2	1	6	104340	37	0.58
B3	Sample 15	2	1	7	117340	37	0.59
B3	Sample 15	2	1	8	130350	37	0.59
B3	Sample 15	2	1	9	143340	37	0.58
B3	Sample 15	2	1	10	156350	36.96	0.58
B3	Sample 15	2	1	11	169340	36.91	0.58
B3	Sample 15	2	1	12	182340	37	0.58
B3	Sample 15	2	1	13	195340	37	0.58
B3	Sample 15	2	1	14	208340	36.96	0.59
B3	Sample 15	2	1	15	221360	36.96	0.58
B4	Sample 16	2	1	1	39350	36.96	0.58
B4	Sample 16	2	1	2	52350	37	0.58
B4	Sample 16	2	1	3	65340	36.96	0.58
B4	Sample 16	2	1	4	78340	36.96	0.58
B4	Sample 16	2	1	5	91340	36.96	0.58
B4	Sample 16	2	1	6	104340	37	0.58
B4	Sample 16	2	1	7	117340	37	0.59
B4	Sample 16	2	1	8	130350	37	0.59
B4	Sample 16	2	1	9	143340	37	0.58
B4	Sample 16	2	1	10	156350	36.96	0.58
B4	Sample 16	2	1	11	169340	36.91	0.59
B4	Sample 16	2	1	12	182340	37	0.58
B4	Sample 16	2	1	13	195340	37	0.58
B4	Sample 16	2	1	14	208340	36.96	0.59
B4	Sample 16	2	1	15	221360	36.96	0.58
B5	Sample 17	2	1	1	39350	36.96	0.62
B5	Sample 17	2	1	2	52350	37	0.62
B5	Sample 17	2	1	3	65340	36.96	0.62
B5	Sample 17	2	1	4	78340	36.96	0.62
B5	Sample 17	2	1	5	91340	36.96	0.62
B5	Sample 17	2	1	6	104340	37	0.62
B5	Sample 17	2	1	7	117340	37	0.63
B5	Sample 17	2	1	8	130350	37	0.63
B5	Sample 17	2	1	9	143340	37	0.62
B5	Sample 17	2	1	10	156350	36.96	0.63
B5	Sample 17	2	1	11	169340	36.91	0.62
B5	Sample 17	2	1	12	182340	37	0.62
B5	Sample 17	2	1	13	195340	37	0.62
B5	Sample 17	2	1	14	208340	36.96	0.63
B5	Sample 17	2	1	15	221360	36.96	0.63
B6	Sample 18	2	1	1	39350	36.96	0.71
B6	Sample 18	2	1	2	52350	37	0.71
B6	Sample 18	2	1	3	65340	36.96	0.71
B6	Sample 18	2	1	4	78340	36.96	0.71
B6	Sample 18	2	1	5	91340	36.96	0.71
