Raw Data 		Experiment - evIC50_2_plate4_08APRIL2026 (Run on LCS480 1.5.1.62)					
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510
A1	Sample 1	2	1	1	32170	36.96	1.06
A1	Sample 1	2	1	2	37170	36.96	1.06
A1	Sample 1	2	1	3	42170	36.96	1.06
A1	Sample 1	2	1	4	47170	37	1.06
A1	Sample 1	2	1	5	52170	36.96	1.06
A1	Sample 1	2	1	6	57170	36.96	1.06
A1	Sample 1	2	1	7	62170	37	1.06
A1	Sample 1	2	1	8	67170	37	1.06
A1	Sample 1	2	1	9	72170	37	1.06
A1	Sample 1	2	1	10	77170	36.96	1.06
A1	Sample 1	2	1	11	82170	37	1.05
A1	Sample 1	2	1	12	87180	37	1.05
A1	Sample 1	2	1	13	92170	37	1.05
A1	Sample 1	2	1	14	97170	37	1.05
A1	Sample 1	2	1	15	102180	37	1.06
A2	Sample 2	2	1	1	32170	36.96	0.99
A2	Sample 2	2	1	2	37170	36.96	0.99
A2	Sample 2	2	1	3	42170	36.96	0.98
A2	Sample 2	2	1	4	47170	37	0.99
A2	Sample 2	2	1	5	52170	36.96	0.99
A2	Sample 2	2	1	6	57170	36.96	0.98
A2	Sample 2	2	1	7	62170	37	0.98
A2	Sample 2	2	1	8	67170	37	0.99
A2	Sample 2	2	1	9	72170	37	0.99
A2	Sample 2	2	1	10	77170	36.96	0.99
A2	Sample 2	2	1	11	82170	37	0.99
A2	Sample 2	2	1	12	87180	37	0.98
A2	Sample 2	2	1	13	92170	37	0.98
A2	Sample 2	2	1	14	97170	37	0.98
A2	Sample 2	2	1	15	102180	37	0.99
A3	Sample 3	2	1	1	32170	36.96	1.08
A3	Sample 3	2	1	2	37170	36.96	1.08
A3	Sample 3	2	1	3	42170	36.96	1.09
A3	Sample 3	2	1	4	47170	37	1.08
A3	Sample 3	2	1	5	52170	36.96	1.08
A3	Sample 3	2	1	6	57170	36.96	1.08
A3	Sample 3	2	1	7	62170	37	1.08
A3	Sample 3	2	1	8	67170	37	1.08
A3	Sample 3	2	1	9	72170	37	1.08
A3	Sample 3	2	1	10	77170	36.96	1.07
A3	Sample 3	2	1	11	82170	37	1.07
A3	Sample 3	2	1	12	87180	37	1.07
A3	Sample 3	2	1	13	92170	37	1.08
A3	Sample 3	2	1	14	97170	37	1.08
A3	Sample 3	2	1	15	102180	37	1.08
A4	Sample 4	2	1	1	32170	36.96	1.12
A4	Sample 4	2	1	2	37170	36.96	1.12
A4	Sample 4	2	1	3	42170	36.96	1.14
A4	Sample 4	2	1	4	47170	37	1.14
A4	Sample 4	2	1	5	52170	36.96	1.14
A4	Sample 4	2	1	6	57170	36.96	1.14
A4	Sample 4	2	1	7	62170	37	1.14
A4	Sample 4	2	1	8	67170	37	1.15
A4	Sample 4	2	1	9	72170	37	1.14
A4	Sample 4	2	1	10	77170	36.96	1.12
A4	Sample 4	2	1	11	82170	37	1.13
A4	Sample 4	2	1	12	87180	37	1.13
A4	Sample 4	2	1	13	92170	37	1.13
A4	Sample 4	2	1	14	97170	37	1.13
A4	Sample 4	2	1	15	102180	37	1.13
A5	Sample 5	2	1	1	32170	36.96	1.11
A5	Sample 5	2	1	2	37170	36.96	1.12
A5	Sample 5	2	1	3	42170	36.96	1.11
A5	Sample 5	2	1	4	47170	37	1.12
A5	Sample 5	2	1	5	52170	36.96	1.11
A5	Sample 5	2	1	6	57170	36.96	1.11
A5	Sample 5	2	1	7	62170	37	1.11
