Raw Data 		Experiment - evIC50_3_plate1_11APRIL2026 (Run on LCS480 1.5.1.62)																							
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510																		
A1	Sample 1	2	1	1	32930	36.91	1.2																		
A1	Sample 1	2	1	2	37970	36.96	1.2																		
A1	Sample 1	2	1	3	42980	36.96	1.19																		
A1	Sample 1	2	1	4	47980	37	1.18																		
A1	Sample 1	2	1	5	52970	37	1.19																		
A1	Sample 1	2	1	6	57960	37	1.18																		
A1	Sample 1	2	1	7	62970	36.96	1.19																		
A1	Sample 1	2	1	8	67980	36.96	1.2																		
A1	Sample 1	2	1	9	72970	37	1.2																		
A1	Sample 1	2	1	10	77970	37	1.2																		
A1	Sample 1	2	1	11	82970	37	1.2																		
A1	Sample 1	2	1	12	87960	36.96	1.19																		
A1	Sample 1	2	1	13	92970	37	1.2																		
A1	Sample 1	2	1	14	97970	36.96	1.19																		
A1	Sample 1	2	1	15	102970	36.96	1.19																		
A2	Sample 2	2	1	1	32930	36.91	1.27																		
A2	Sample 2	2	1	2	37970	36.96	1.26																		
A2	Sample 2	2	1	3	42980	36.96	1.25																		
A2	Sample 2	2	1	4	47980	37	1.26																		
A2	Sample 2	2	1	5	52970	37	1.26																		
A2	Sample 2	2	1	6	57960	37	1.26																		
A2	Sample 2	2	1	7	62970	36.96	1.25																		
A2	Sample 2	2	1	8	67980	36.96	1.26																		
A2	Sample 2	2	1	9	72970	37	1.26																		
A2	Sample 2	2	1	10	77970	37	1.26																		
A2	Sample 2	2	1	11	82970	37	1.26																		
A2	Sample 2	2	1	12	87960	36.96	1.26																		
A2	Sample 2	2	1	13	92970	37	1.25																		
A2	Sample 2	2	1	14	97970	36.96	1.26																		
A2	Sample 2	2	1	15	102970	36.96	1.25																		
A3	Sample 3	2	1	1	32930	36.91	1.36																		
A3	Sample 3	2	1	2	37970	36.96	1.37																		
A3	Sample 3	2	1	3	42980	36.96	1.35																		
A3	Sample 3	2	1	4	47980	37	1.37																		
A3	Sample 3	2	1	5	52970	37	1.36																		
A3	Sample 3	2	1	6	57960	37	1.36																		
A3	Sample 3	2	1	7	62970	36.96	1.36																		
A3	Sample 3	2	1	8	67980	36.96	1.36																		
A3	Sample 3	2	1	9	72970	37	1.35																		
A3	Sample 3	2	1	10	77970	37	1.36																		
A3	Sample 3	2	1	11	82970	37	1.35																		
A3	Sample 3	2	1	12	87960	36.96	1.36																		
A3	Sample 3	2	1	13	92970	37	1.36																		
A3	Sample 3	2	1	14	97970	36.96	1.36																		
A3	Sample 3	2	1	15	102970	36.96	1.35																		
A4	Sample 4	2	1	1	32930	36.91	1.33																		
