Raw Data 		Experiment - evIC50_3_plate4_11APRIL2026 (Run on LCS480 1.5.1.62)																				
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510															
A1	Sample 1	2	1	1	31610	36.91	1.4															
A1	Sample 1	2	1	2	36240	36.96	1.4															
A1	Sample 1	2	1	3	40830	37	1.42															
A1	Sample 1	2	1	4	45430	36.96	1.44															
A1	Sample 1	2	1	5	50130	37	1.45															
A1	Sample 1	2	1	6	54730	36.96	1.45															
A1	Sample 1	2	1	7	59330	36.96	1.45															
A1	Sample 1	2	1	8	63940	37	1.45															
A1	Sample 1	2	1	9	68630	37	1.46															
A1	Sample 1	2	1	10	73230	37	1.47															
A1	Sample 1	2	1	11	77830	37	1.47															
A1	Sample 1	2	1	12	82430	37	1.46															
A1	Sample 1	2	1	13	87040	37	1.47															
A1	Sample 1	2	1	14	91640	37	1.46															
A1	Sample 1	2	1	15	96240	37	1.47															
A2	Sample 2	2	1	1	31610	36.91	1.43															
A2	Sample 2	2	1	2	36240	36.96	1.43															
A2	Sample 2	2	1	3	40830	37	1.45															
A2	Sample 2	2	1	4	45430	36.96	1.45															
A2	Sample 2	2	1	5	50130	37	1.46															
A2	Sample 2	2	1	6	54730	36.96	1.46															
A2	Sample 2	2	1	7	59330	36.96	1.45															
A2	Sample 2	2	1	8	63940	37	1.48															
A2	Sample 2	2	1	9	68630	37	1.48															
A2	Sample 2	2	1	10	73230	37	1.48															
A2	Sample 2	2	1	11	77830	37	1.5															
A2	Sample 2	2	1	12	82430	37	1.48															
A2	Sample 2	2	1	13	87040	37	1.48															
A2	Sample 2	2	1	14	91640	37	1.48															
A2	Sample 2	2	1	15	96240	37	1.48															
A3	Sample 3	2	1	1	31610	36.91	1.62															
A3	Sample 3	2	1	2	36240	36.96	1.63															
A3	Sample 3	2	1	3	40830	37	1.63															
A3	Sample 3	2	1	4	45430	36.96	1.62															
A3	Sample 3	2	1	5	50130	37	1.65															
A3	Sample 3	2	1	6	54730	36.96	1.63															
A3	Sample 3	2	1	7	59330	36.96	1.62															
A3	Sample 3	2	1	8	63940	37	1.65															
A3	Sample 3	2	1	9	68630	37	1.64															
A3	Sample 3	2	1	10	73230	37	1.64															
A3	Sample 3	2	1	11	77830	37	1.64															
A3	Sample 3	2	1	12	82430	37	1.64															
A3	Sample 3	2	1	13	87040	37	1.64															
A3	Sample 3	2	1	14	91640	37	1.64															
A3	Sample 3	2	1	15	96240	37	1.63				1.47	1.48	1.63	1.65	2.61	2.69	2.65	2.54	2.74	2.89	3.45	3.12
A4	Sample 4	2	1	1	31610	36.91	1.64															
A4	Sample 4	2	1	2	36240	36.96	1.65															
A4	Sample 4	2	1	3	40830	37	1.65															
A4	Sample 4	2	1	4	45430	36.96	1.64															
A4	Sample 4	2	1	5	50130	37	1.65															
A4	Sample 4	2	1	6	54730	36.96	1.65															
A4	Sample 4	2	1	7	59330	36.96	1.65															
A4	Sample 4	2	1	8	63940	37	1.66															
A4	Sample 4	2	1	9	68630	37	1.65															
A4	Sample 4	2	1	10	73230	37	1.65															
A4	Sample 4	2	1	11	77830	37	1.66															
A4	Sample 4	2	1	12	82430	37	1.65															
A4	Sample 4	2	1	13	87040	37	1.66															
A4	Sample 4	2	1	14	91640	37	1.65															
A4	Sample 4	2	1	15	96240	37	1.65				1.43	1.45	1.59	1.61	2.62	2.61	2.59	2.52	2.81	2.87	2.65	2.48
A5	Sample 5	2	1	1	31610	36.91	2.62															
A5	Sample 5	2	1	2	36240	36.96	2.62															
A5	Sample 5	2	1	3	40830	37	2.62															
A5	Sample 5	2	1	4	45430	36.96	2.63															
A5	Sample 5	2	1	5	50130	37	2.63															
A5	Sample 5	2	1	6	54730	36.96	2.61															
A5	Sample 5	2	1	7	59330	36.96	2.6															
A5	Sample 5	2	1	8	63940	37	2.62															
A5	Sample 5	2	1	9	68630	37	2.62															
A5	Sample 5	2	1	10	73230	37	2.62															
A5	Sample 5	2	1	11	77830	37	2.63															
A5	Sample 5	2	1	12	82430	37	2.61															
A5	Sample 5	2	1	13	87040	37	2.62															
A5	Sample 5	2	1	14	91640	37	2.62															
A5	Sample 5	2	1	15	96240	37	2.61				1.75	1.63	1.56	1.62	2.48	2.55	2.6	2.52	3	2.9	2.75	4.56
A6	Sample 6	2	1	1	31610	36.91	2.69															
A6	Sample 6	2	1	2	36240	36.96	2.7															
A6	Sample 6	2	1	3	40830	37	2.7															
A6	Sample 6	2	1	4	45430	36.96	2.68															
A6	Sample 6	2	1	5	50130	37	2.69															
A6	Sample 6	2	1	6	54730	36.96	2.69															
A6	Sample 6	2	1	7	59330	36.96	2.69															
A6	Sample 6	2	1	8	63940	37	2.69															
A6	Sample 6	2	1	9	68630	37	2.7															
A6	Sample 6	2	1	10	73230	37	2.7															
A6	Sample 6	2	1	11	77830	37	2.69															
A6	Sample 6	2	1	12	82430	37	2.69															
A6	Sample 6	2	1	13	87040	37	2.69															
A6	Sample 6	2	1	14	91640	37	2.68															
A6	Sample 6	2	1	15	96240	37	2.69				3.11	3.27	1.87	1.66	2.49	2.85	2.66	2.6	3	3.71	2.88	2.8
A7	Sample 7	2	1	1	31610	36.91	2.65															
A7	Sample 7	2	1	2	36240	36.96	2.64															
A7	Sample 7	2	1	3	40830	37	2.65															
A7	Sample 7	2	1	4	45430	36.96	2.64															
A7	Sample 7	2	1	5	50130	37	2.64															
A7	Sample 7	2	1	6	54730	36.96	2.65															
A7	Sample 7	2	1	7	59330	36.96	2.64															
A7	Sample 7	2	1	8	63940	37	2.66															
A7	Sample 7	2	1	9	68630	37	2.64															
A7	Sample 7	2	1	10	73230	37	2.66															
A7	Sample 7	2	1	11	77830	37	2.66															
A7	Sample 7	2	1	12	82430	37	2.65															
A7	Sample 7	2	1	13	87040	37	2.63															
A7	Sample 7	2	1	14	91640	37	2.64															
A7	Sample 7	2	1	15	96240	37	2.65				3.69	3.76	3.48	3.44	3.06	3.19	2.62	2.51	5.31	3.05	3.03	2.56
A8	Sample 8	2	1	1	31610	36.91	2.53															
A8	Sample 8	2	1	2	36240	36.96	2.53															
A8	Sample 8	2	1	3	40830	37	2.54															
A8	Sample 8	2	1	4	45430	36.96	2.52															
A8	Sample 8	2	1	5	50130	37	2.54															
A8	Sample 8	2	1	6	54730	36.96	2.53															
A8	Sample 8	2	1	7	59330	36.96	2.52															
A8	Sample 8	2	1	8	63940	37	2.53															
A8	Sample 8	2	1	9	68630	37	2.54															
A8	Sample 8	2	1	10	73230	37	2.53															
A8	Sample 8	2	1	11	77830	37	2.54															
A8	Sample 8	2	1	12	82430	37	2.54															
A8	Sample 8	2	1	13	87040	37	2.53															
A8	Sample 8	2	1	14	91640	37	2.53															
A8	Sample 8	2	1	15	96240	37	2.54				3.84	3.87	4.03	4.02	3.3	3.25	3.2	3.18	2.95	3.01	2.79	2.56
A9	Sample 9	2	1	1	31610	36.91	3.07															
A9	Sample 9	2	1	2	36240	36.96	3.36															
A9	Sample 9	2	1	3	40830	37	3.7															
A9	Sample 9	2	1	4	45430	36.96	3.42															
A9	Sample 9	2	1	5	50130	37	2.84															
A9	Sample 9	2	1	6	54730	36.96	3.07															
A9	Sample 9	2	1	7	59330	36.96	3.91															
A9	Sample 9	2	1	8	63940	37	3.66															
A9	Sample 9	2	1	9	68630	37	3.28															
A9	Sample 9	2	1	10	73230	37	2.99															
A9	Sample 9	2	1	11	77830	37	2.84															
A9	Sample 9	2	1	12	82430	37	2.75															
A9	Sample 9	2	1	13	87040	37	2.73															
A9	Sample 9	2	1	14	91640	37	2.69															
A9	Sample 9	2	1	15	96240	37	2.74				3.72	3.84	4.06	4.19	3.29	3.25	3.21	3.14	2.71	2.65	2.92	2.6
A10	Sample 10	2	1	1	31610	36.91	3.22															
A10	Sample 10	2	1	2	36240	36.96	3.36															
A10	Sample 10	2	1	3	40830	37	3.5															
A10	Sample 10	2	1	4	45430	36.96	3.27															
A10	Sample 10	2	1	5	50130	37	2.84															
A10	Sample 10	2	1	6	54730	36.96	2.84															
A10	Sample 10	2	1	7	59330	36.96	4.53															
A10	Sample 10	2	1	8	63940	37	6.81															
