Raw Data 		Experiment - evIC50_3_plate6_11APRIL2026 (Run on LCS480 1.5.1.62)																			
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510														
A1	Sample 1	2	1	1	34290	36.96	1.71														
A1	Sample 1	2	1	2	39250	37	1.7														
A1	Sample 1	2	1	3	44250	36.96	1.71														
A1	Sample 1	2	1	4	49270	37	1.7														
A1	Sample 1	2	1	5	54260	37	1.7														
A1	Sample 1	2	1	6	59250	37	1.7														
A1	Sample 1	2	1	7	64260	37	1.7														
A1	Sample 1	2	1	8	69260	37	1.71														
A1	Sample 1	2	1	9	74250	37	1.7														
A1	Sample 1	2	1	10	79260	37	1.71														
A1	Sample 1	2	1	11	84250	36.96	1.69														
A1	Sample 1	2	1	12	89260	36.91	1.71														
A1	Sample 1	2	1	13	94270	37	1.7														
A1	Sample 1	2	1	14	99250	36.96	1.7														
A1	Sample 1	2	1	15	104260	36.96	1.7														
A2	Sample 2	2	1	1	34290	36.96	2.04														
A2	Sample 2	2	1	2	39250	37	2.04														
A2	Sample 2	2	1	3	44250	36.96	2.03														
A2	Sample 2	2	1	4	49270	37	2.04														
A2	Sample 2	2	1	5	54260	37	2.03														
A2	Sample 2	2	1	6	59250	37	2.03														
A2	Sample 2	2	1	7	64260	37	2.03														
A2	Sample 2	2	1	8	69260	37	2.03														
A2	Sample 2	2	1	9	74250	37	2.02														
A2	Sample 2	2	1	10	79260	37	2.03														
A2	Sample 2	2	1	11	84250	36.96	2.03														
A2	Sample 2	2	1	12	89260	36.91	2.03														
A2	Sample 2	2	1	13	94270	37	2.02														
A2	Sample 2	2	1	14	99250	36.96	2.03														
A2	Sample 2	2	1	15	104260	36.96	2.02														
A3	Sample 3	2	1	1	34290	36.96	1.89														
A3	Sample 3	2	1	2	39250	37	1.88														
A3	Sample 3	2	1	3	44250	36.96	1.88														
A3	Sample 3	2	1	4	49270	37	1.88														
A3	Sample 3	2	1	5	54260	37	1.88														
A3	Sample 3	2	1	6	59250	37	1.88														
A3	Sample 3	2	1	7	64260	37	1.88														
A3	Sample 3	2	1	8	69260	37	1.88														
A3	Sample 3	2	1	9	74250	37	1.88														
A3	Sample 3	2	1	10	79260	37	1.87														
A3	Sample 3	2	1	11	84250	36.96	1.88														
A3	Sample 3	2	1	12	89260	36.91	1.87														
A3	Sample 3	2	1	13	94270	37	1.87														
A3	Sample 3	2	1	14	99250	36.96	1.88														
A3	Sample 3	2	1	15	104260	36.96	1.88														
A4	Sample 4	2	1	1	34290	36.96	2.02														
A4	Sample 4	2	1	2	39250	37	2.01														
A4	Sample 4	2	1	3	44250	36.96	2.02														
A4	Sample 4	2	1	4	49270	37	2.01														
A4	Sample 4	2	1	5	54260	37	2.01														
A4	Sample 4	2	1	6	59250	37	2.01														
A4	Sample 4	2	1	7	64260	37	2.02														
A4	Sample 4	2	1	8	69260	37	2.02														
A4	Sample 4	2	1	9	74250	37	2.01														
A4	Sample 4	2	1	10	79260	37	2.01														
A4	Sample 4	2	1	11	84250	36.96	2.01														
A4	Sample 4	2	1	12	89260	36.91	2.01														
A4	Sample 4	2	1	13	94270	37	2.01														
A4	Sample 4	2	1	14	99250	36.96	2.02														
A4	Sample 4	2	1	15	104260	36.96	2.01														
A5	Sample 5	2	1	1	34290	36.96	1.62														
A5	Sample 5	2	1	2	39250	37	1.6														
A5	Sample 5	2	1	3	44250	36.96	1.61														
A5	Sample 5	2	1	4	49270	37	1.6														
A5	Sample 5	2	1	5	54260	37	1.61														
A5	Sample 5	2	1	6	59250	37	1.61														
A5	Sample 5	2	1	7	64260	37	1.6														
A5	Sample 5	2	1	8	69260	37	1.61														
A5	Sample 5	2	1	9	74250	37	1.61														
A5	Sample 5	2	1	10	79260	37	1.6														
A5	Sample 5	2	1	11	84250	36.96	1.61														
A5	Sample 5	2	1	12	89260	36.91	1.6														
