Raw Data 		Experiment - evIC50_4_plate4.1_13APRIL2026 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	2	1	1	34740	36.96	0.96
A1	Sample 1	2	1	2	39780	37	0.96
A1	Sample 1	2	1	3	44770	36.96	0.96
A1	Sample 1	2	1	4	49780	37	0.97
A1	Sample 1	2	1	5	54770	37	0.97
A1	Sample 1	2	1	6	59770	36.96	0.97
A1	Sample 1	2	1	7	64760	37	0.97
A1	Sample 1	2	1	8	69770	36.96	0.97
A1	Sample 1	2	1	9	74790	36.96	0.96
A1	Sample 1	2	1	10	79780	36.96	0.97
A1	Sample 1	2	1	11	84770	36.96	0.97
A1	Sample 1	2	1	12	89770	36.96	0.96
A1	Sample 1	2	1	13	94780	37	0.97
A1	Sample 1	2	1	14	99770	37	0.97
A1	Sample 1	2	1	15	104770	37	0.96
A2	Sample 2	2	1	1	34740	36.96	0.95
A2	Sample 2	2	1	2	39780	37	0.96
A2	Sample 2	2	1	3	44770	36.96	0.96
A2	Sample 2	2	1	4	49780	37	0.96
A2	Sample 2	2	1	5	54770	37	0.96
A2	Sample 2	2	1	6	59770	36.96	0.96
A2	Sample 2	2	1	7	64760	37	0.96
A2	Sample 2	2	1	8	69770	36.96	0.96
A2	Sample 2	2	1	9	74790	36.96	0.96
A2	Sample 2	2	1	10	79780	36.96	0.97
A2	Sample 2	2	1	11	84770	36.96	0.96
A2	Sample 2	2	1	12	89770	36.96	0.96
A2	Sample 2	2	1	13	94780	37	0.97
A2	Sample 2	2	1	14	99770	37	0.97
A2	Sample 2	2	1	15	104770	37	0.96
A3	Sample 3	2	1	1	34740	36.96	1.05
A3	Sample 3	2	1	2	39780	37	1.06
A3	Sample 3	2	1	3	44770	36.96	1.05
A3	Sample 3	2	1	4	49780	37	1.06
A3	Sample 3	2	1	5	54770	37	1.06
A3	Sample 3	2	1	6	59770	36.96	1.05
A3	Sample 3	2	1	7	64760	37	1.06
A3	Sample 3	2	1	8	69770	36.96	1.07
A3	Sample 3	2	1	9	74790	36.96	1.05
A3	Sample 3	2	1	10	79780	36.96	1.05
A3	Sample 3	2	1	11	84770	36.96	1.06
A3	Sample 3	2	1	12	89770	36.96	1.05
A3	Sample 3	2	1	13	94780	37	1.05
A3	Sample 3	2	1	14	99770	37	1.05
A3	Sample 3	2	1	15	104770	37	1.05
A4	Sample 4	2	1	1	34740	36.96	1.04
A4	Sample 4	2	1	2	39780	37	1.04
A4	Sample 4	2	1	3	44770	36.96	1.04
A4	Sample 4	2	1	4	49780	37	1.04
A4	Sample 4	2	1	5	54770	37	1.05
A4	Sample 4	2	1	6	59770	36.96	1.04
A4	Sample 4	2	1	7	64760	37	1.05
A4	Sample 4	2	1	8	69770	36.96	1.05
A4	Sample 4	2	1	9	74790	36.96	1.04
A4	Sample 4	2	1	10	79780	36.96	1.05
A4	Sample 4	2	1	11	84770	36.96	1.05
A4	Sample 4	2	1	12	89770	36.96	1.04
A4	Sample 4	2	1	13	94780	37	1.05
A4	Sample 4	2	1	14	99770	37	1.04
A4	Sample 4	2	1	15	104770	37	1.04
A5	Sample 5	2	1	1	34740	36.96	2.70
A5	Sample 5	2	1	2	39780	37	2.71
A5	Sample 5	2	1	3	44770	36.96	2.72
A5	Sample 5	2	1	4	49780	37	2.72
A5	Sample 5	2	1	5	54770	37	2.72
A5	Sample 5	2	1	6	59770	36.96	2.72
A5	Sample 5	2	1	7	64760	37	2.72
A5	Sample 5	2	1	8	69770	36.96	2.72
A5	Sample 5	2	1	9	74790	36.96	2.71
A5	Sample 5	2	1	10	79780	36.96	2.72
A5	Sample 5	2	1	11	84770	36.96	2.72
A5	Sample 5	2	1	12	89770	36.96	2.72
A5	Sample 5	2	1	13	94780	37	2.71
A5	Sample 5	2	1	14	99770	37	2.71
A5	Sample 5	2	1	15	104770	37	2.71
A6	Sample 6	2	1	1	34740	36.96	2.67
A6	Sample 6	2	1	2	39780	37	2.69
A6	Sample 6	2	1	3	44770	36.96	2.69
A6	Sample 6	2	1	4	49780	37	2.70
A6	Sample 6	2	1	5	54770	37	2.69
A6	Sample 6	2	1	6	59770	36.96	2.70
A6	Sample 6	2	1	7	64760	37	2.70
A6	Sample 6	2	1	8	69770	36.96	2.70
A6	Sample 6	2	1	9	74790	36.96	2.70
A6	Sample 6	2	1	10	79780	36.96	2.69
A6	Sample 6	2	1	11	84770	36.96	2.70
A6	Sample 6	2	1	12	89770	36.96	2.70
A6	Sample 6	2	1	13	94780	37	2.69
A6	Sample 6	2	1	14	99770	37	2.69
A6	Sample 6	2	1	15	104770	37	2.70
A7	Sample 7	2	1	1	34740	36.96	2.80
A7	Sample 7	2	1	2	39780	37	2.82
A7	Sample 7	2	1	3	44770	36.96	2.83
A7	Sample 7	2	1	4	49780	37	2.83
A7	Sample 7	2	1	5	54770	37	2.84
A7	Sample 7	2	1	6	59770	36.96	2.83
A7	Sample 7	2	1	7	64760	37	2.85
A7	Sample 7	2	1	8	69770	36.96	2.84
A7	Sample 7	2	1	9	74790	36.96	2.84
A7	Sample 7	2	1	10	79780	36.96	2.84
A7	Sample 7	2	1	11	84770	36.96	2.84
A7	Sample 7	2	1	12	89770	36.96	2.84
A7	Sample 7	2	1	13	94780	37	2.84
A7	Sample 7	2	1	14	99770	37	2.84
A7	Sample 7	2	1	15	104770	37	2.83
A8	Sample 8	2	1	1	34740	36.96	2.45
A8	Sample 8	2	1	2	39780	37	2.46
A8	Sample 8	2	1	3	44770	36.96	2.47
A8	Sample 8	2	1	4	49780	37	2.47
A8	Sample 8	2	1	5	54770	37	2.48
A8	Sample 8	2	1	6	59770	36.96	2.47
A8	Sample 8	2	1	7	64760	37	2.49
A8	Sample 8	2	1	8	69770	36.96	2.47
A8	Sample 8	2	1	9	74790	36.96	2.48
A8	Sample 8	2	1	10	79780	36.96	2.48
A8	Sample 8	2	1	11	84770	36.96	2.49
A8	Sample 8	2	1	12	89770	36.96	2.47
A8	Sample 8	2	1	13	94780	37	2.48
A8	Sample 8	2	1	14	99770	37	2.47
A8	Sample 8	2	1	15	104770	37	2.48
A9	Sample 9	2	1	1	34740	36.96	1.24
A9	Sample 9	2	1	2	39780	37	1.25
A9	Sample 9	2	1	3	44770	36.96	1.25
A9	Sample 9	2	1	4	49780	37	1.25
A9	Sample 9	2	1	5	54770	37	1.25
A9	Sample 9	2	1	6	59770	36.96	1.26
A9	Sample 9	2	1	7	64760	37	1.26
A9	Sample 9	2	1	8	69770	36.96	1.25
A9	Sample 9	2	1	9	74790	36.96	1.25
A9	Sample 9	2	1	10	79780	36.96	1.25
A9	Sample 9	2	1	11	84770	36.96	1.26
A9	Sample 9	2	1	12	89770	36.96	1.25
A9	Sample 9	2	1	13	94780	37	1.25
A9	Sample 9	2	1	14	99770	37	1.25
A9	Sample 9	2	1	15	104770	37	1.25
A10	Sample 10	2	1	1	34740	36.96	1.29
A10	Sample 10	2	1	2	39780	37	1.30
A10	Sample 10	2	1	3	44770	36.96	1.30
A10	Sample 10	2	1	4	49780	37	1.29
A10	Sample 10	2	1	5	54770	37	1.29
A10	Sample 10	2	1	6	59770	36.96	1.30
A10	Sample 10	2	1	7	64760	37	1.30
A10	Sample 10	2	1	8	69770	36.96	1.30
A10	Sample 10	2	1	9	74790	36.96	1.29
A10	Sample 10	2	1	10	79780	36.96	1.30
A10	Sample 10	2	1	11	84770	36.96	1.31
A10	Sample 10	2	1	12	89770	36.96	1.30
A10	Sample 10	2	1	13	94780	37	1.29
A10	Sample 10	2	1	14	99770	37	1.29
A10	Sample 10	2	1	15	104770	37	1.29
A11	Sample 11	2	1	1	34740	36.96	1.28
A11	Sample 11	2	1	2	39780	37	1.28
A11	Sample 11	2	1	3	44770	36.96	1.28
A11	Sample 11	2	1	4	49780	37	1.28
A11	Sample 11	2	1	5	54770	37	1.28
A11	Sample 11	2	1	6	59770	36.96	1.28
A11	Sample 11	2	1	7	64760	37	1.29
A11	Sample 11	2	1	8	69770	36.96	1.29
A11	Sample 11	2	1	9	74790	36.96	1.29
A11	Sample 11	2	1	10	79780	36.96	1.29
A11	Sample 11	2	1	11	84770	36.96	1.29
A11	Sample 11	2	1	12	89770	36.96	1.29
A11	Sample 11	2	1	13	94780	37	1.29
A11	Sample 11	2	1	14	99770	37	1.28
A11	Sample 11	2	1	15	104770	37	1.29
A12	Sample 12	2	1	1	34740	36.96	1.16
A12	Sample 12	2	1	2	39780	37	1.17
A12	Sample 12	2	1	3	44770	36.96	1.16
A12	Sample 12	2	1	4	49780	37	1.16
A12	Sample 12	2	1	5	54770	37	1.15
A12	Sample 12	2	1	6	59770	36.96	1.16
A12	Sample 12	2	1	7	64760	37	1.16
A12	Sample 12	2	1	8	69770	36.96	1.16
A12	Sample 12	2	1	9	74790	36.96	1.16
A12	Sample 12	2	1	10	79780	36.96	1.16
A12	Sample 12	2	1	11	84770	36.96	1.17
A12	Sample 12	2	1	12	89770	36.96	1.16
A12	Sample 12	2	1	13	94780	37	1.16
A12	Sample 12	2	1	14	99770	37	1.16
A12	Sample 12	2	1	15	104770	37	1.16
B1	Sample 13	2	1	1	34740	36.96	0.89
B1	Sample 13	2	1	2	39780	37	0.90
B1	Sample 13	2	1	3	44770	36.96	0.90
B1	Sample 13	2	1	4	49780	37	0.90
B1	Sample 13	2	1	5	54770	37	0.90
B1	Sample 13	2	1	6	59770	36.96	0.90
B1	Sample 13	2	1	7	64760	37	0.91
B1	Sample 13	2	1	8	69770	36.96	0.90
B1	Sample 13	2	1	9	74790	36.96	0.90
B1	Sample 13	2	1	10	79780	36.96	0.90
B1	Sample 13	2	1	11	84770	36.96	0.90
B1	Sample 13	2	1	12	89770	36.96	0.90
B1	Sample 13	2	1	13	94780	37	0.90
B1	Sample 13	2	1	14	99770	37	0.90
B1	Sample 13	2	1	15	104770	37	0.90
B2	Sample 14	2	1	1	34740	36.96	0.93
B2	Sample 14	2	1	2	39780	37	0.94
