Raw Data 		Experiment - evIC50_9_plate5_22APRIL2026 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	2	1	1	32720	36.91	1.44
A1	Sample 1	2	1	2	37740	36.96	1.44
A1	Sample 1	2	1	3	42740	36.96	1.43
A1	Sample 1	2	1	4	47740	36.96	1.42
A1	Sample 1	2	1	5	52740	37	1.41
A1	Sample 1	2	1	6	57740	37	1.41
A1	Sample 1	2	1	7	62740	36.96	1.41
A1	Sample 1	2	1	8	67740	36.96	1.39
A1	Sample 1	2	1	9	72760	36.96	1.40
A1	Sample 1	2	1	10	77740	37	1.39
A1	Sample 1	2	1	11	82740	36.96	1.39
A1	Sample 1	2	1	12	87750	36.96	1.39
A1	Sample 1	2	1	13	92740	37	1.39
A1	Sample 1	2	1	14	97750	37	1.39
A1	Sample 1	2	1	15	102740	36.96	1.39
A2	Sample 2	2	1	1	32720	36.91	1.44
A2	Sample 2	2	1	2	37740	36.96	1.43
A2	Sample 2	2	1	3	42740	36.96	1.42
A2	Sample 2	2	1	4	47740	36.96	1.41
A2	Sample 2	2	1	5	52740	37	1.40
A2	Sample 2	2	1	6	57740	37	1.40
A2	Sample 2	2	1	7	62740	36.96	1.40
A2	Sample 2	2	1	8	67740	36.96	1.39
A2	Sample 2	2	1	9	72760	36.96	1.39
A2	Sample 2	2	1	10	77740	37	1.39
A2	Sample 2	2	1	11	82740	36.96	1.39
A2	Sample 2	2	1	12	87750	36.96	1.39
A2	Sample 2	2	1	13	92740	37	1.39
A2	Sample 2	2	1	14	97750	37	1.39
A2	Sample 2	2	1	15	102740	36.96	1.38
A3	Sample 3	2	1	1	32720	36.91	1.66
A3	Sample 3	2	1	2	37740	36.96	1.64
A3	Sample 3	2	1	3	42740	36.96	1.63
A3	Sample 3	2	1	4	47740	36.96	1.62
A3	Sample 3	2	1	5	52740	37	1.62
A3	Sample 3	2	1	6	57740	37	1.61
A3	Sample 3	2	1	7	62740	36.96	1.61
A3	Sample 3	2	1	8	67740	36.96	1.60
A3	Sample 3	2	1	9	72760	36.96	1.61
A3	Sample 3	2	1	10	77740	37	1.60
A3	Sample 3	2	1	11	82740	36.96	1.60
A3	Sample 3	2	1	12	87750	36.96	1.60
A3	Sample 3	2	1	13	92740	37	1.60
A3	Sample 3	2	1	14	97750	37	1.60
A3	Sample 3	2	1	15	102740	36.96	1.60
A4	Sample 4	2	1	1	32720	36.91	1.68
A4	Sample 4	2	1	2	37740	36.96	1.67
A4	Sample 4	2	1	3	42740	36.96	1.66
A4	Sample 4	2	1	4	47740	36.96	1.65
A4	Sample 4	2	1	5	52740	37	1.64
A4	Sample 4	2	1	6	57740	37	1.65
A4	Sample 4	2	1	7	62740	36.96	1.64
A4	Sample 4	2	1	8	67740	36.96	1.63
A4	Sample 4	2	1	9	72760	36.96	1.63
A4	Sample 4	2	1	10	77740	37	1.64
A4	Sample 4	2	1	11	82740	36.96	1.63
A4	Sample 4	2	1	12	87750	36.96	1.63
A4	Sample 4	2	1	13	92740	37	1.63
A4	Sample 4	2	1	14	97750	37	1.63
A4	Sample 4	2	1	15	102740	36.96	1.63
A5	Sample 5	2	1	1	32720	36.91	1.62
A5	Sample 5	2	1	2	37740	36.96	1.61
A5	Sample 5	2	1	3	42740	36.96	1.60
A5	Sample 5	2	1	4	47740	36.96	1.59
A5	Sample 5	2	1	5	52740	37	1.58
A5	Sample 5	2	1	6	57740	37	1.57
A5	Sample 5	2	1	7	62740	36.96	1.57
A5	Sample 5	2	1	8	67740	36.96	1.56
A5	Sample 5	2	1	9	72760	36.96	1.56
A5	Sample 5	2	1	10	77740	37	1.56
A5	Sample 5	2	1	11	82740	36.96	1.56
A5	Sample 5	2	1	12	87750	36.96	1.56
A5	Sample 5	2	1	13	92740	37	1.56
A5	Sample 5	2	1	14	97750	37	1.56
A5	Sample 5	2	1	15	102740	36.96	1.55
A6	Sample 6	2	1	1	32720	36.91	1.54
A6	Sample 6	2	1	2	37740	36.96	1.56
A6	Sample 6	2	1	3	42740	36.96	1.58
A6	Sample 6	2	1	4	47740	36.96	1.59
A6	Sample 6	2	1	5	52740	37	1.61
A6	Sample 6	2	1	6	57740	37	1.62
A6	Sample 6	2	1	7	62740	36.96	1.63
A6	Sample 6	2	1	8	67740	36.96	1.63
A6	Sample 6	2	1	9	72760	36.96	1.63
A6	Sample 6	2	1	10	77740	37	1.63
A6	Sample 6	2	1	11	82740	36.96	1.63
A6	Sample 6	2	1	12	87750	36.96	1.62
A6	Sample 6	2	1	13	92740	37	1.62
A6	Sample 6	2	1	14	97750	37	1.63
A6	Sample 6	2	1	15	102740	36.96	1.63
A7	Sample 7	2	1	1	32720	36.91	1.58
A7	Sample 7	2	1	2	37740	36.96	1.59
A7	Sample 7	2	1	3	42740	36.96	1.59
A7	Sample 7	2	1	4	47740	36.96	1.58
A7	Sample 7	2	1	5	52740	37	1.58
A7	Sample 7	2	1	6	57740	37	1.57
A7	Sample 7	2	1	7	62740	36.96	1.57
A7	Sample 7	2	1	8	67740	36.96	1.56
A7	Sample 7	2	1	9	72760	36.96	1.57
A7	Sample 7	2	1	10	77740	37	1.56
A7	Sample 7	2	1	11	82740	36.96	1.57
A7	Sample 7	2	1	12	87750	36.96	1.56
A7	Sample 7	2	1	13	92740	37	1.57
A7	Sample 7	2	1	14	97750	37	1.57
A7	Sample 7	2	1	15	102740	36.96	1.56
A8	Sample 8	2	1	1	32720	36.91	1.60
A8	Sample 8	2	1	2	37740	36.96	1.60
A8	Sample 8	2	1	3	42740	36.96	1.59
A8	Sample 8	2	1	4	47740	36.96	1.58
A8	Sample 8	2	1	5	52740	37	1.56
A8	Sample 8	2	1	6	57740	37	1.57
A8	Sample 8	2	1	7	62740	36.96	1.56
A8	Sample 8	2	1	8	67740	36.96	1.55
A8	Sample 8	2	1	9	72760	36.96	1.55
A8	Sample 8	2	1	10	77740	37	1.55
A8	Sample 8	2	1	11	82740	36.96	1.55
A8	Sample 8	2	1	12	87750	36.96	1.55
A8	Sample 8	2	1	13	92740	37	1.55
A8	Sample 8	2	1	14	97750	37	1.55
A8	Sample 8	2	1	15	102740	36.96	1.55
A9	Sample 9	2	1	1	32720	36.91	0.58
A9	Sample 9	2	1	2	37740	36.96	0.58
A9	Sample 9	2	1	3	42740	36.96	0.58
A9	Sample 9	2	1	4	47740	36.96	0.58
A9	Sample 9	2	1	5	52740	37	0.57
A9	Sample 9	2	1	6	57740	37	0.57
A9	Sample 9	2	1	7	62740	36.96	0.56
A9	Sample 9	2	1	8	67740	36.96	0.56
A9	Sample 9	2	1	9	72760	36.96	0.57
A9	Sample 9	2	1	10	77740	37	0.57
A9	Sample 9	2	1	11	82740	36.96	0.56
