well,sample_id,drug,conc_nm,replicate,au
A1,8036444,dha,250.0,1,1.39
A2,8036444,dha,250.0,2,1.38
A3,8036444,lum,1000.0,1,1.6
A4,8036444,lum,1000.0,2,1.63
A5,8036445,dha,250.0,1,1.55
A6,8036445,dha,250.0,2,1.63
A7,8036445,lum,1000.0,1,1.56
A8,8036445,lum,1000.0,2,1.55
A9,8036446,dha,250.0,1,0.57
A10,8036446,dha,250.0,2,0.59
A11,8036446,lum,1000.0,1,0.57
A12,8036446,lum,1000.0,2,0.52
B1,8036444,dha,62.5,1,1.34
B2,8036444,dha,62.5,2,1.33
B3,8036444,lum,250.0,1,1.52
B4,8036444,lum,250.0,2,1.47
B5,8036445,dha,62.5,1,1.53
B6,8036445,dha,62.5,2,1.52
B7,8036445,lum,250.0,1,1.5
B8,8036445,lum,250.0,2,1.43
B9,8036446,dha,62.5,1,0.53
B10,8036446,dha,62.5,2,0.55
B11,8036446,lum,250.0,1,0.56
B12,8036446,lum,250.0,2,0.5
C1,8036444,dha,15.625,1,1.37
C2,8036444,dha,15.625,2,1.37
C3,8036444,lum,62.5,1,1.49
C4,8036444,lum,62.5,2,1.48
C5,8036445,dha,15.625,1,1.5
C6,8036445,dha,15.625,2,1.55
C7,8036445,lum,62.5,1,1.6
C8,8036445,lum,62.5,2,1.51
C9,8036446,dha,15.625,1,0.53
C10,8036446,dha,15.625,2,0.53
C11,8036446,lum,62.5,1,0.54
C12,8036446,lum,62.5,2,0.55
D1,8036444,dha,3.90625,1,1.4
D2,8036444,dha,3.90625,2,1.38
D3,8036444,lum,15.625,1,1.5
D4,8036444,lum,15.625,2,1.5
D5,8036445,dha,3.90625,1,1.48
D6,8036445,dha,3.90625,2,1.49
D7,8036445,lum,15.625,1,1.58
D8,8036445,lum,15.625,2,1.5
D9,8036446,dha,3.90625,1,0.54
D10,8036446,dha,3.90625,2,0.53
D11,8036446,lum,15.625,1,0.6
D12,8036446,lum,15.625,2,0.6
E1,8036444,dha,0.9765625,1,1.46
E2,8036444,dha,0.9765625,2,1.46
E3,8036444,lum,3.90625,1,1.9
E4,8036444,lum,3.90625,2,2.01
E5,8036445,dha,0.9765625,1,1.62
E6,8036445,dha,0.9765625,2,1.59
E7,8036445,lum,3.90625,1,1.56
E8,8036445,lum,3.90625,2,1.45
E9,8036446,dha,0.9765625,1,0.54
E10,8036446,dha,0.9765625,2,0.56
E11,8036446,lum,3.90625,1,0.76
E12,8036446,lum,3.90625,2,0.74
F1,8036444,dha,0.244140625,1,1.81
F2,8036444,dha,0.244140625,2,1.86
F3,8036444,lum,0.9765625,1,2.14
F4,8036444,lum,0.9765625,2,2.17
F5,8036445,dha,0.244140625,1,1.53
F6,8036445,dha,0.244140625,2,1.53
F7,8036445,lum,0.9765625,1,1.58
F8,8036445,lum,0.9765625,2,1.52
F9,8036446,dha,0.244140625,1,0.63
F10,8036446,dha,0.244140625,2,0.72
F11,8036446,lum,0.9765625,1,0.85
F12,8036446,lum,0.9765625,2,0.79
G1,8036444,dha,0.06103515625,1,1.93
G2,8036444,dha,0.06103515625,2,2.0
G3,8036444,lum,0.244140625,1,2.23
G4,8036444,lum,0.244140625,2,2.18
G5,8036445,dha,0.06103515625,1,1.52
G6,8036445,dha,0.06103515625,2,1.5
G7,8036445,lum,0.244140625,1,1.53
G8,8036445,lum,0.244140625,2,1.44
G9,8036446,dha,0.06103515625,1,0.7
G10,8036446,dha,0.06103515625,2,0.8
G11,8036446,lum,0.244140625,1,0.88
G12,8036446,lum,0.244140625,2,0.79
H1,8036444,dha,0.0,1,1.92
H2,8036444,dha,0.0,2,1.95
H3,8036444,lum,0.0,1,2.18
H4,8036444,lum,0.0,2,2.14
H5,8036445,dha,0.0,1,1.59
H6,8036445,dha,0.0,2,1.6
H7,8036445,lum,0.0,1,1.52
H8,8036445,lum,0.0,2,1.49
H9,8036446,dha,0.0,1,0.87
H10,8036446,dha,0.0,2,0.83
H11,8036446,lum,0.0,1,0.81
H12,8036446,lum,0.0,2,0.81
