plate,sample_id,drug,ic50,r2,status,note
evIC50_11_plate4_24APRIL2026,8033778,dha,0.7843871009740532,0.9225419741298452,pass,
evIC50_11_plate4_24APRIL2026,8033778,lum,4.098578145160552,0.857825561605124,pass,
evIC50_11_plate4_24APRIL2026,8033779,dha,0.3136977844985898,0.45963766278239926,pass,
evIC50_11_plate4_24APRIL2026,8033779,lum,54.39879930205243,0.2431570882593972,pass,
evIC50_11_plate4_24APRIL2026,8033781,dha,0.049320264252756325,0.17883217570841448,fail,Bottom parameter estimate higher than top.
evIC50_11_plate4_24APRIL2026,8033781,lum,0.1910061557667314,0.046566384404239214,fail,Bottom parameter estimate higher than top.
evIC50_6_plate1_17APRIL2026,8036333,dha,5.9498027205981145,0.9275708214145325,pass,
evIC50_6_plate1_17APRIL2026,8036333,lum,4.295342829514278,0.9078569119693742,pass,
evIC50_6_plate1_17APRIL2026,8036334,dha,,,fail,Unable to fit the hill equation.
evIC50_6_plate1_17APRIL2026,8036334,lum,112.52041152188615,0.17422155650602678,fail,Bottom parameter estimate higher than top.
evIC50_6_plate1_17APRIL2026,8036337,dha,249.99999999999687,0.7188348541122511,fail,Bottom parameter estimate higher than top.
evIC50_6_plate1_17APRIL2026,8036337,lum,,,fail,Unable to fit the hill equation.
evIC50_7_plate3_19APRIL2026,8036376,dha,1.0567684007771163,0.8221172306885824,pass,
evIC50_7_plate3_19APRIL2026,8036376,lum,4.507936423244819,0.9483277339475451,pass,
evIC50_7_plate3_19APRIL2026,8036379,dha,249.99858012127928,0.24316534526674316,fail,Bottom parameter estimate higher than top.
evIC50_7_plate3_19APRIL2026,8036379,lum,999.999999999999,0.3692307463368063,fail,Bottom parameter estimate higher than top.
evIC50_7_plate3_19APRIL2026,8036380,dha,0.46383735456062397,0.998184149093612,pass,
evIC50_7_plate3_19APRIL2026,8036380,lum,9.7197685657351,0.9826955076243542,pass,
evIC50_8_plate6_21APRIL2026,8036415,dha,0.2872029410580358,0.36530042806465446,fail,Highest concentration has more fluorescence than untreated.
evIC50_8_plate6_21APRIL2026,8036415,lum,319.03176592410796,0.5624562516473979,fail,Bottom parameter estimate higher than top.
evIC50_8_plate6_21APRIL2026,8036416,dha,0.9814050960252618,0.641539536907519,pass,
evIC50_8_plate6_21APRIL2026,8036416,lum,2.682717326969354,0.14850754102588315,fail,Highest concentration has more fluorescence than untreated.
evIC50_8_plate6_21APRIL2026,8036417,dha,249.99990488915068,0.41752290062934716,fail,Bottom parameter estimate higher than top.
evIC50_8_plate6_21APRIL2026,8036417,lum,0.949422254473857,0.22714314849724415,fail,Bottom parameter estimate higher than top.
evIC50_5_plate3_15APRIL2026,8036314,dha,0.01831012991982935,0.9818428735288666,pass,
evIC50_5_plate3_15APRIL2026,8036314,lum,4.689644725431478,0.9860682304691469,pass,
evIC50_5_plate3_15APRIL2026,8036315,dha,175.50605925305516,0.4606709287003926,fail,Bottom parameter estimate higher than top.
evIC50_5_plate3_15APRIL2026,8036315,lum,999.999999999999,0.7379021231986851,fail,Bottom parameter estimate higher than top.
evIC50_5_plate3_15APRIL2026,8036316,dha,55.89726987637383,0.26695332364918156,fail,Bottom parameter estimate higher than top.
evIC50_5_plate3_15APRIL2026,8036316,lum,30.623398319610956,0.8049938993518546,pass,
evIC50_9_plate5_22APRIL2026,8036444,dha,0.4329991237538981,0.9915861455305522,pass,
evIC50_9_plate5_22APRIL2026,8036444,lum,4.119532225688555,0.9678432921334278,pass,
evIC50_9_plate5_22APRIL2026,8036445,dha,249.99674555949383,0.22672495137254556,fail,Bottom parameter estimate higher than top.
evIC50_9_plate5_22APRIL2026,8036445,lum,0.1870022052348836,0.12486527250239599,fail,Bottom parameter estimate higher than top.
evIC50_9_plate5_22APRIL2026,8036446,dha,0.28675954509661095,0.7841326264792803,pass,
