plate,well,sample_id,extraction_id,set_type,district,province,carrier_A724E
C02,A1,3D7_10K,,,,,False
C02,B1,Dd2_10K,,,,,False
C02,C1,NTC,,,,,False
C02,D1,8022891,Z146,representative,chipangali,eastern,False
C02,E1,8010711,Z149,representative,chipata,eastern,False
C02,F1,8010709,Z150,representative,chipata,eastern,False
C02,G1,8010700,Z151,representative,chipata,eastern,False
C02,H1,8010689,Z152,representative,chipata,eastern,False
C02,A2,8023300,Z153,representative,mushindano,northwestern,False
C02,B2,8023230,Z156,representative,kasempa,northwestern,True
C02,C2,1045447,Z157,clonal,sesheke,western,False
C02,D2,2033430,Z159,representative,sesheke,western,False
C02,E2,8013460,Z162,representative,chipata,eastern,False
C02,F2,8013480,Z163,representative,chipata,eastern,False
C02,G2,8013425,Z165,representative,chipata,eastern,False
C02,H2,8013449,Z167,representative,chipata,eastern,False
C02,A3,8013470,Z168,representative,chipata,eastern,False
C02,B3,8013488,Z170,representative,chipata,eastern,False
C02,C3,8023285,Z171,representative,solwezi,northwestern,False
C02,D3,8023249,Z172,representative,solwezi,northwestern,False
C02,E3,8023302,Z177,representative,mushindano,northwestern,False
C02,F3,8023427,Z180,representative,kabompo,northwestern,True
C02,G3,8023438,Z182,representative,kabompo,northwestern,True
C02,H3,8023437,Z184,representative,kabompo,northwestern,True
C02,A4,8023432,Z185,clonal,kabompo,northwestern,False
C02,B4,8021950,Z186,clonal,kaoma,western,False
C02,C4,8023436,Z187,clonal,kabompo,northwestern,False
C02,D4,8023441,Z188,representative,kabompo,northwestern,False
C02,E4,8021948,Z190,representative,kaoma,western,False
C02,F4,5053836,Z196,representative,solwezi,northwestern,True
C02,G4,8012469,Z199,representative,vubwi,eastern,False
C02,H4,8012489,Z200,representative,vubwi,eastern,False
C02,A5,8013943,Z201,representative,vubwi,eastern,False
C02,B5,8013952,Z204,representative,vubwi,eastern,False
C02,C5,8033123,Z205,representative,chipangali,eastern,False
C02,D5,8033128,Z206,representative,chipangali,eastern,False
C02,E5,8033127,Z207,representative,chipangali,eastern,False
C02,F5,8033185,Z208,representative,chipangali,eastern,False
C02,G5,1045436,Z212,clonal,sesheke,western,False
C02,H5,8023440,Z218,representative,kabompo,northwestern,True
C02,A6,8023419,Z220,representative,kabompo,northwestern,True
C02,B6,8023322,Z223,representative,manyinga,northwestern,True
C02,C6,1040820,Z227,representative,manyinga,northwestern,True
C02,D6,8023331,Z228,representative,manyinga,northwestern,True
C02,E6,1012423,Z229,clonal,mufumbwe,northwestern,False
C02,F6,8034018,Z230,clonal,sesheke,western,False
C02,G6,8034013,Z231,representative,sesheke,western,False
C02,H6,1046717,Z234,clonal,luampa,western,True
C02,A7,5053700,Z235,representative,sikongo,western,False
C02,B7,1046736,Z238,representative,luampa,western,False
C02,C7,1012543,Z239,clonal,zambezi,northwestern,False
C02,D7,1012552,Z240,clonal,zambezi,northwestern,True
C02,E7,1012559,Z241,clonal,zambezi,northwestern,False
C02,F7,1012540,Z242,representative,zambezi,northwestern,False
C02,G7,1012449,Z243,representative,mufumbwe,northwestern,True
C02,H7,1012431,Z244,representative,mufumbwe,northwestern,False
C02,A8,1012434,Z246,representative,mufumbwe,northwestern,True
C02,B8,1012438,Z249,representative,mufumbwe,northwestern,False
C02,C8,1012443,Z250,clonal,mufumbwe,northwestern,False
C02,D8,1012444,Z251,clonal,mufumbwe,northwestern,True
C02,E8,1012427,Z253,representative,mufumbwe,northwestern,False
C02,F8,1046798,Z255,clonal,kalabo,western,False
C02,G8,1046791,Z257,clonal,kalabo,western,True
C02,H8,1046802,Z259,clonal,kalabo,western,False
C02,A9,5053716,Z260,clonal,sikongo,western,False
C02,B9,5053711,Z262,clonal,sikongo,western,True
C02,C9,5053713,Z263,representative,sikongo,western,False
C02,D9,5053708,Z264,representative,sikongo,western,True
C02,E9,5053699,Z265,representative,sikongo,western,True
C02,F9,5053732,Z267,representative,sikongo,western,True
C02,G9,8023417,Z270,representative,kabompo,northwestern,True
C02,H9,5053842,Z272,representative,solwezi,northwestern,False
C02,A10,5053831,Z274,clonal,solwezi,northwestern,False
C02,B10,8019451,Z276,clonal,kasempa,northwestern,False
C02,C10,8023974,Z279,representative,kasempa,northwestern,False
C02,D10,8021027,Z280,representative,kasempa,northwestern,False
C02,E10,1012412,Z281,clonal,zambezi,northwestern,True
C02,F10,1012544,Z283,representative,zambezi,northwestern,True
C02,G10,5053835,Z284,clonal,solwezi,northwestern,False
C02,H10,3D7_10K,,,,,False
C02,A11,Dd2_10K,,,,,False
C02,B11,NTC,,,,,False
