location,lat,long
chibwelelo,-14.1023883333333,28.6492866666667
kashitu,-13.6841708333334,28.8621708333333
chibefwe,-13.6055975,29.3988625
nkumbi,-13.7545316666667,29.0010366666666
kalwa,-13.8465791666667,29.8773325
mubofwe,-14.3867083333333,28.87762
katukutu,-14.2926958333334,29.2064516666667
nangoma,-15.0476916666667,27.4212841666667
chisalu,-15.1666783333333,27.4215025
mpusu,-14.4676833333333,27.0527316666667
chunga,-15.2989683333333,28.27697
musangashi,-13.1150212115608,29.8755382653326
lulimala,-12.2047695145011,30.1347166666667
sokontwe,-12.2335750768557,29.4997702384183
luwo,-11.8066925,28.743355376646
lukangaba,-11.2950442847796,28.8647897075862
katangishi,-11.3602773472667,29.4962858183465
chifunabuli,-11.16379,29.6100845234469
katanshya,-11.457735,29.8241233333333
intandashi,-11.071527394516,29.405448990874
masaninga,-13.5808826048676,29.9476883333333
mansa,-11.1719925,28.8761216666666
chachacha,-10.2919766666666,28.6775241666667
ifuna,-8.813775,29.1107591666667
munkombwe,-9.14869666666667,29.1696608333334
kabuta,-9.11844583333334,28.9021016666667
nchelenge,-9.3367425,28.7474675
filenge,-10.1141541666667,29.2755808333333
kanshimba,-10.6835141666667,29.1197941666667
musakanya,-11.82931,31.450205
chondwe,-13.1486216666666,28.767705
miengwe,-13.4688941666667,28.6721808333333
muswishi,-14.4923835480586,28.7220610591614
kawama,-14.4034632894981,28.4334644721821
lukanga,-14.4249680056237,28.4595290987135
chibombo,-14.6260716666667,28.096495
keembe,-14.9454123806208,27.7795045310631
chamuka,-14.932038676925,28.5763016666667
chilochabalenje,-15.13183,27.879695
chishibesonde,-11.8944102052676,31.5053516666666
buteko,-13.1314825,28.4333891666667
bupe,-12.8334666666667,28.2451966666667
pamodzi,-12.9272208333334,28.6340658333333
kantolomba,-13.0086916666667,28.60292
nkwazi,-12.94074,28.6479141666667
mishikishi,-13.4164275,28.642115
mpongwe central,-13.517415,28.1649983333334
kashiba,-13.4069075,27.9514633333334
ipumbu,-13.66571,28.0146933333333
munkumpu,-13.5181975,27.72808
luansobe,-13.5967158333334,28.5705433333333
kafue,-12.5981183333333,28.1624633333333
chibanga,-12.8977866666667,28.0125925
luswishi,-12.9928483333333,27.2698916666667
mpindi,-13.112265,27.3894191666667
ipafu,-12.5240783333333,27.707195
kalilo,-12.4956208333333,27.7732941666667
kansanta,-12.57603,27.47288
mutenda,-12.4510791666667,27.4353891666667
river side,-12.7847316666666,28.2295666666667
lubanga,-12.87369,27.9684666666667
lulamba,-12.664005,28.0762716666667
singozi,-13.9783645614596,31.2694441666667
lutwazi,-14.1218533333333,31.2614889679335
mbande,-13.9642366666667,32.8486029244959
mkowe,-13.4983097985359,32.392132687124
chanjowe,-13.9750666666667,32.45879
ngala,-14.0838383333333,32.67041
yowoyani,-14.2300466666666,32.2236325
dole,-14.2167391511611,32.0249131721218
kazakaluba,-13.9805782958865,32.20475
kasangazi,-14.0635568394023,31.7051565181464
nchembwe,-14.4166479818523,31.7451616666667
kapata,-13.63601,32.6649174559861
dilika,-13.6467366666666,32.6636891666667
msanga,-13.5977991666667,32.6224025
nsingo,-13.7726541666667,32.72959
khova,-13.8352783333333,32.5265358333334
kakumbi,-13.1334491666667,31.8497758333334
nsefu,-13.1162525,31.884895
madziatuba,-13.1849833333333,32.6679416666666
nthope,-13.1931875,32.454955
kwenje,-13.8804966666667,32.1649766666666
kaozi,-11.1347792996094,33.1348513718694
magodi,-11.9620330142789,33.1662572314962
