expt_name,barcode,sample_id,sample_type,status,sample_id_no_leading_zeros,,study
2025-07-03_SLMM079_HRP22024_Batch13,barcode26,8019640,field,known,8019640,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode27,8021624,field,known,8021624,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode28,8020645,field,known,8020645,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode29,8020727,field,known,8020727,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode30,8020943,field,known,8020943,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode31,8021628,field,known,8021628,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode32,8019209,field,known,8019209,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode33,8019265,field,known,8019265,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode34,8019423,field,known,8019423,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode35,3031684,field,known,3031684,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode36,8019298,field,known,8019298,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode37,8019366,field,known,8019366,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode38,8018917,field,known,8018917,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode39,8018869,field,known,8018869,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode40,8021475,field,known,8021475,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode41,8018864,field,known,8018864,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode42,8021482,field,known,8021482,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode43,8018863,field,known,8018863,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode44,8021544,field,known,8021544,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode45,8018865,field,known,8018865,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode46,8021477,field,known,8021477,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode47,8018862,field,known,8018862,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode48,8018911,field,known,8018911,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode49,8018868,field,known,8018868,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode50,8021411,field,known,8021411,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode51,8018873,field,known,8018873,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode52,8018914,field,known,8018914,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode53,8018872,field,known,8018872,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode54,8018867,field,known,8018867,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode55,1053913,field,known,1053913,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode56,8018912,field,known,8018912,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode57,8018866,field,known,8018866,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode58,8019973,field,known,8019973,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode59,1053912,field,known,1053912,,tes2023 treatment failures
2025-07-03_SLMM079_HRP22024_Batch13,barcode60,8019861,field,known,8019861,,tes2023 treatment failures
