index,expt_name,barcode,sample_id,sample_type,status,sample_id_no_leading_zeros
93,2025-06-12_SLMM076_HRP2-32024_Batch8,barcode94,8036014,field,known,8036014
94,2025-06-12_SLMM076_HRP2-32024_Batch8,barcode95,8036015,field,known,8036015
95,2025-06-12_SLMM076_HRP2-32024_Batch8,barcode96,8036016,field,known,8036016
17,2024-10-16_SLMM056_MIS2024_Batch1,barcode66,8032010,field,known,8032010
32,2024-10-16_SLMM056_MIS2024_Batch1,barcode81,8032040,field,known,8032040
21,2025-04-04_SLMM072_HRP22024_Batch5,barcode22,1012574,field,known,1012574
18,2024-10-30_SLMM060_MIS2024Batch2,barcode19,8032052,field,known,8032052
23,2024-10-30_SLMM060_MIS2024Batch2,barcode24,8032043,field,known,8032043
36,2024-10-30_SLMM060_MIS2024Batch2,barcode37,8010529,field,known,8010529
63,2024-10-30_SLMM060_MIS2024Batch2,barcode64,8032041,field,known,8032041
65,2024-10-30_SLMM060_MIS2024Batch2,barcode66,8032503,field,known,8032503
38,2025-07-03_SLBM008_HRP22024_Batch12,barcode39,4043679,field,known,4043679
44,2025-07-03_SLBM008_HRP22024_Batch12,barcode45,4043677,field,known,4043677
45,2025-07-03_SLBM008_HRP22024_Batch12,barcode46,4043673,field,known,4043673
58,2025-08-06_SLMM082_HRP2_2024_Batch15,barcode59,8032688,field,known,8032688
27,2025-04-03_SLMM070_HRP2 2024_Batch3,barcode28,5053676,field,known,5053676
8,2024-10-31_SLMM061_MIS2024_Batch1,barcode09,8010756,field,known,8010756
77,2026-02-04_SeqLib_SLCC002_HRP224_Batch27,barcode78,8011064,field,known,8011064
12,2024-11-06_SLMM064_MIS2024_Batch7,barcode13,8030817,field,known,8030817
19,2024-11-06_SLMM064_MIS2024_Batch7,barcode20,8030826,field,known,8030826
20,2024-11-06_SLMM064_MIS2024_Batch7,barcode21,8030827,field,known,8030827
24,2024-11-06_SLMM064_MIS2024_Batch7,barcode25,8031002,field,known,8031002
25,2024-11-06_SLMM064_MIS2024_Batch7,barcode26,8031011,field,known,8031011
26,2024-11-06_SLMM064_MIS2024_Batch7,barcode27,8031015,field,known,8031015
27,2024-11-06_SLMM064_MIS2024_Batch7,barcode28,8031016,field,known,8031016
28,2024-11-06_SLMM064_MIS2024_Batch7,barcode29,8031019,field,known,8031019
29,2024-11-06_SLMM064_MIS2024_Batch7,barcode30,8031020,field,known,8031020
30,2024-11-06_SLMM064_MIS2024_Batch7,barcode31,8031023,field,known,8031023
31,2024-11-06_SLMM064_MIS2024_Batch7,barcode32,8031024,field,known,8031024
13,2025-05-08_SLMM075_HRP22024_Batch7,barcode14,4043679,field,known,4043679
22,2025-05-08_SLMM075_HRP22024_Batch7,barcode23,4043677,field,known,4043677
23,2025-05-08_SLMM075_HRP22024_Batch7,barcode24,4043673,field,known,4043673
74,2025-07-02_SLMM077_HRP2-32024_Batch10,barcode75,1012574,field,known,1012574
35,2025-05-08_SLMM074_MIS2024_Batch6,barcode36,8022297,field,known,8022297
80,2025-05-08_SLMM074_MIS2024_Batch6,barcode81,8030753,field,known,8030753
81,2025-05-08_SLMM074_MIS2024_Batch6,barcode82,8030758,field,known,8030758
82,2025-05-08_SLMM074_MIS2024_Batch6,barcode83,8030765,field,known,8030765
83,2025-05-08_SLMM074_MIS2024_Batch6,barcode84,8030769,field,known,8030769
84,2025-05-08_SLMM074_MIS2024_Batch6,barcode85,8030771,field,known,8030771
85,2025-05-08_SLMM074_MIS2024_Batch6,barcode86,8030772,field,known,8030772
