sample_id,province,district,year
1021361,Western,Kaoma,2018
1021362,Western,Kaoma,2018
1021364,Western,Kaoma,2018
1021365,Western,Kaoma,2018
1021367,Western,Kaoma,2018
1021372,Western,Kaoma,2018
1021374,Western,Kaoma,2018
1021377,Western,Kaoma,2018
1021430,Western,Kaoma,2018
1021432,Western,Kaoma,2018
1021436,Western,Kaoma,2018
1021437,Western,Kaoma,2018
1021441,Western,Kaoma,2018
1021444,Western,Kaoma,2018
1021445,Western,Kaoma,2018
1021446,Western,Kaoma,2018
1023543,Western,Kaoma,2018
1023544,Western,Kaoma,2018
1023545,Western,Kaoma,2018
1023547,Western,Kaoma,2018
1023548,Western,Kaoma,2018
1023549,Western,Kaoma,2018
1023550,Western,Kaoma,2018
1023595,Western,Kaoma,2018
1023597,Western,Kaoma,2018
1023598,Western,Kaoma,2018
1023599,Western,Kaoma,2018
1025556,Western,Kaoma,2018
2023596,Western,Kaoma,2018
1039399,Western,Kaoma,2021
1041440,Western,Kaoma,2021
1041441,Western,Kaoma,2021
1041438,Western,Kaoma,2021
1039398,Western,Kaoma,2021
1041449,Western,Kaoma,2021
1041452,Western,Kaoma,2021
1041453,Western,Kaoma,2021
1041454,Western,Kaoma,2021
1041455,Western,Kaoma,2021
1041457,Western,Kaoma,2021
1041459,Western,Kaoma,2021
1041462,Western,Kaoma,2021
1041471,Western,Kaoma,2021
1041469,Western,Kaoma,2021
1041475,Western,Kaoma,2021
1041476,Western,Kaoma,2021
1041470,Western,Kaoma,2021
1041472,Western,Kaoma,2021
1041473,Western,Kaoma,2021
1041576,Western,Kaoma,2021
1041578,Western,Kaoma,2021
1041575,Western,Kaoma,2021
1041627,Western,Kaoma,2021
1041622,Western,Kaoma,2021
1041623,Western,Kaoma,2021
1041630,Western,Kaoma,2021
1041437,Western,Kaoma,2021
1041443,Western,Kaoma,2021
1041447,Western,Kaoma,2021
1041448,Western,Kaoma,2021
1041464,Western,Kaoma,2021
1041465,Western,Kaoma,2021
1041477,Western,Kaoma,2021
1041478,Western,Kaoma,2021
1041479,Western,Kaoma,2021
1041481,Western,Kaoma,2021
1041483,Western,Kaoma,2021
1041484,Western,Kaoma,2021
1041487,Western,Kaoma,2021
1041491,Western,Kaoma,2021
1041494,Western,Kaoma,2021
1041496,Western,Kaoma,2021
1041497,Western,Kaoma,2021
1041499,Western,Kaoma,2021
1041500,Western,Kaoma,2021
1041503,Western,Kaoma,2021
1041505,Western,Kaoma,2021
1041507,Western,Kaoma,2021
1041506,Western,Kaoma,2021
1041509,Western,Kaoma,2021
1041515,Western,Kaoma,2021
1041517,Western,Kaoma,2021
1041521,Western,Kaoma,2021
1041527,Western,Kaoma,2021
1041528,Western,Kaoma,2021
1041529,Western,Kaoma,2021
1041533,Western,Kaoma,2021
1041540,Western,Kaoma,2021
1041541,Western,Kaoma,2021
1041543,Western,Kaoma,2021
1041544,Western,Kaoma,2021
1041545,Western,Kaoma,2021
1041546,Western,Kaoma,2021
1041555,Western,Kaoma,2021
1041554,Western,Kaoma,2021
1041547,Western,Kaoma,2021
1041557,Western,Kaoma,2021
1039395,Western,Kaoma,2021
1041560,Western,Kaoma,2021
1041561,Western,Kaoma,2021
1041564,Western,Kaoma,2021
1041568,Western,Kaoma,2021
1041562,Western,Kaoma,2021
1041569,Western,Kaoma,2021
1041570,Western,Kaoma,2021
1041571,Western,Kaoma,2021
1041572,Western,Kaoma,2021
1041573,Western,Kaoma,2021
1041574,Western,Kaoma,2021
1041579,Western,Kaoma,2021
1041580,Western,Kaoma,2021
1041581,Western,Kaoma,2021
1041582,Western,Kaoma,2021
1041583,Western,Kaoma,2021
1041584,Western,Kaoma,2021
1041585,Western,Kaoma,2021
1041586,Western,Kaoma,2021
1041587,Western,Kaoma,2021
1041588,Western,Kaoma,2021
01045795,Western,Kaoma,2023
01045803,Western,Kaoma,2023
01045804,Western,Kaoma,2023
01045811,Western,Kaoma,2023
01045816,Western,Kaoma,2023
01045817,Western,Kaoma,2023
01045819,Western,Kaoma,2023
8021370,Western,Kaoma,2023
8021373,Western,Kaoma,2023
8021375,Western,Kaoma,2023
8021377,Western,Kaoma,2023
8021378,Western,Kaoma,2023
8021381,Western,Kaoma,2023
8021387,Western,Kaoma,2023
8021390,Western,Kaoma,2023
8021393,Western,Kaoma,2023
8021396,Western,Kaoma,2023
8021397,Western,Kaoma,2023
8021399,Western,Kaoma,2023
8021401,Western,Kaoma,2023
8021402,Western,Kaoma,2023
8021403,Western,Kaoma,2023
8021404,Western,Kaoma,2023
8021405,Western,Kaoma,2023
8021406,Western,Kaoma,2023
8021408,Western,Kaoma,2023
8021409,Western,Kaoma,2023
8021410,Western,Kaoma,2023
8021412,Western,Kaoma,2023
8021413,Western,Kaoma,2023
8021455,Western,Kaoma,2023
8021456,Western,Kaoma,2023
8021460,Western,Kaoma,2023
8021461,Western,Kaoma,2023
8021462,Western,Kaoma,2023
8021465,Western,Kaoma,2023
8021466,Western,Kaoma,2023
8021468,Western,Kaoma,2023
8021469,Western,Kaoma,2023
8021472,Western,Kaoma,2023
8021434,Western,Kaoma,2023
8021433,Western,Kaoma,2023
8021431,Western,Kaoma,2023
8021430,Western,Kaoma,2023
8021427,Western,Kaoma,2023
8021424,Western,Kaoma,2023
8021422,Western,Kaoma,2023
8021421,Western,Kaoma,2023
8021420,Western,Kaoma,2023
8021414,Western,Kaoma,2023
8021435,Western,Kaoma,2023
8021436,Western,Kaoma,2023
8021439,Western,Kaoma,2023
8021442,Western,Kaoma,2023
8021443,Western,Kaoma,2023
8021445,Western,Kaoma,2023
8021446,Western,Kaoma,2023
8021448,Western,Kaoma,2023
8021449,Western,Kaoma,2023
8021450,Western,Kaoma,2023
8021473,Western,Kaoma,2023
8021474,Western,Kaoma,2023
8021478,Western,Kaoma,2023
8021480,Western,Kaoma,2023
8021488,Western,Kaoma,2023
8021492,Western,Kaoma,2023
8021496,Western,Kaoma,2023
8021503,Western,Kaoma,2023
8021506,Western,Kaoma,2023
8021510,Western,Kaoma,2023
8021511,Western,Kaoma,2023
8021512,Western,Kaoma,2023
8021513,Western,Kaoma,2023
8021514,Western,Kaoma,2023
8021515,Western,Kaoma,2023
8021521,Western,Kaoma,2023
8021520,Western,Kaoma,2023
8021522,Western,Kaoma,2023
8021526,Western,Kaoma,2023
8021531,Western,Kaoma,2023
8021536,Western,Kaoma,2023
8021540,Western,Kaoma,2023
8021541,Western,Kaoma,2023
8021547,Western,Kaoma,2023
8021549,Western,Kaoma,2023
8021550,Western,Kaoma,2023
8021557,Western,Kaoma,2023
8021558,Western,Kaoma,2023
8021560,Western,Kaoma,2023
8021563,Western,Kaoma,2023
8032294,western,kaoma,2024
8032295,western,kaoma,2024
8032297,western,kaoma,2024
8032298,western,kaoma,2024
8032300,western,kaoma,2024
8032543,western,kaoma,2024
8032544,western,kaoma,2024
8032545,western,kaoma,2024
8032546,western,kaoma,2024
8032547,western,kaoma,2024
8032548,western,kaoma,2024
8021957,western,kaoma,2024
8021912,western,kaoma,2024
8021958,western,kaoma,2024
8021913,western,kaoma,2024
8021959,western,kaoma,2024
8021960,western,kaoma,2024
8021914,western,kaoma,2024
8021915,western,kaoma,2024
8021961,western,kaoma,2024
8021962,western,kaoma,2024
8021963,western,kaoma,2024
8021964,western,kaoma,2024
8021965,western,kaoma,2024
8021917,western,kaoma,2024
8021918,western,kaoma,2024
