use_case,sample_id,province,district
sanger_seq,1012420,northwestern,mufumbwe
sanger_seq,1012542,northwestern,zambezi
sanger_seq,5053837,northwestern,solwezi
sanger_seq,8023430,northwestern,kabompo
sanger_seq,8034059,western,sesheke
sanger_seq,1036154,western,sesheke
sanger_seq,1036151,western,sesheke
sanger_seq,8022279,eastern,lumezi
sanger_seq,8034025,western,sesheke
sanger_seq,8013476,eastern,chipata
sanger_seq,8021942,western,kaoma
sanger_seq,8031527,muchinga,nakonde
sanger_seq,5053742,western,sikongo
sanger_seq,8034050,western,sesheke
sanger_seq,8021930,western,kaoma
sanger_seq,8034002,western,sesheke
sanger_seq,8031773,northwestern,mushindano
sanger_seq,5053740,western,sikongo
sanger_seq,8023299,northwestern,mushindano
sanger_seq,8034053,western,sesheke
sanger_seq,1012426,northwestern,mufumbwe
sanger_seq,8034017,western,sesheke
sanger_seq,8013498,eastern,chipata
sanger_seq,8010683,eastern,chipata
sanger_seq,8034028,western,sesheke
sanger_seq,5053836,northwestern,solwezi
sanger_seq,8034031,western,sesheke
sanger_seq,8022819,eastern,chipangali
sanger_seq,8019456,northwestern,kasempa
sanger_seq,8032347,western,sikongo
sanger_seq,8021039,northwestern,kasempa
sanger_seq,8012421,eastern,vubwi
sanger_seq,8023320,northwestern,manyinga
sanger_seq,8021935,western,kaoma
sanger_seq,1046680,western,luampa
sanger_seq,8032343,western,shangombo
sanger_seq,8023351,northwestern,kabompo
sanger_seq,1012424,northwestern,mufumbwe
sanger_seq,1046674,western,luampa
sanger_seq,1012556,northwestern,zambezi
sanger_seq,8034030,western,sesheke
sanger_seq,8023679,eastern,katete
sanger_seq,8034036,western,sesheke
sanger_seq,8033412,eastern,mambwe
