use_case,sample_id,extraction_id,province,district
sanger_seq,1012420,DR674,northwestern,mufumbwe
sanger_seq,1012542,DR537,northwestern,zambezi
sanger_seq,5053837,DR512,northwestern,solwezi
sanger_seq,8023430,DR625,northwestern,kabompo
sanger_seq,8034059,,western,sesheke
sanger_seq,1036154,DR396,western,sesheke
sanger_seq,1036151,DR393,western,sesheke
sanger_seq,8022279,DV715,eastern,lumezi
sanger_seq,8034025,,western,sesheke
sanger_seq,8013476,,eastern,chipata
sanger_seq,8021942,DR189,western,kaoma
sanger_seq,8031527,DV974,muchinga,nakonde
sanger_seq,5053742,DR392,western,sikongo
sanger_seq,8034050,,western,sesheke
sanger_seq,8021930,DR165,western,kaoma
sanger_seq,8034002,,western,sesheke
sanger_seq,8031773,DV087,northwestern,mushindano
sanger_seq,5053740,DR385,western,sikongo
sanger_seq,8023299,DR478,northwestern,mushindano
sanger_seq,8034053,,western,sesheke
sanger_seq,1012426,DR668,northwestern,mufumbwe
sanger_seq,8034017,,western,sesheke
sanger_seq,8013498,,eastern,chipata
sanger_seq,8010683,,eastern,chipata
sanger_seq,8034028,,western,sesheke
sanger_seq,5053836,DR527,northwestern,solwezi
sanger_seq,8034031,,western,sesheke
sanger_seq,8022819,,eastern,chipangali
sanger_seq,8019456,DR472,northwestern,kasempa
sanger_seq,8032347,DV036,western,sikongo
sanger_seq,8021039,DR463,northwestern,kasempa
sanger_seq,8012421,,eastern,vubwi
sanger_seq,8023320,DR578,northwestern,manyinga
sanger_seq,8021935,DR171,western,kaoma
sanger_seq,1046680,,western,luampa
sanger_seq,8032343,DV034,western,shangombo
sanger_seq,8023351,DR637,northwestern,kabompo
sanger_seq,1012424,DR659,northwestern,mufumbwe
sanger_seq,1046674,,western,luampa
sanger_seq,1012556,DR541,northwestern,zambezi
sanger_seq,8034030,,western,sesheke
sanger_seq,8023679,,eastern,katete
sanger_seq,8034036,,western,sesheke
sanger_seq,8033412,,eastern,mambwe
