n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
47013,44534,43648,534,352,2479,barcode49,3D7
61328,55097,54177,520,400,6231,barcode50,Dd2
55039,49707,48910,455,342,5332,barcode51,HB3
19964,116,101,14,1,19848,barcode52,humanDNA
827,98,96,1,1,729,barcode53,NTC
33780,33103,32364,444,295,677,barcode54,8031800
118162,115765,112669,2120,976,2397,barcode55,8010577
101581,99997,97211,1976,810,1584,barcode56,8031768
79255,77822,75513,1710,599,1433,barcode57,8032348
40320,39649,38325,999,325,671,barcode58,8010570
69776,68544,66673,1304,567,1232,barcode59,8032032
49744,48786,47012,1388,386,958,barcode60,8010525
65145,63964,62287,1164,513,1181,barcode61,8031785
34463,33064,32101,733,230,1399,barcode62,8032301
91745,88289,85019,2657,613,3456,barcode63,8032592
87626,85165,82620,1874,671,2461,barcode64,8010576
93888,91628,88867,2031,730,2260,barcode65,8010516
49552,48923,47631,889,403,629,barcode66,8032010
64677,62751,61208,1024,519,1926,barcode67,8010526
78370,77005,74876,1527,602,1365,barcode68,8032027
63957,62146,60253,1376,517,1811,barcode69,8010573
64726,63424,61435,1516,473,1302,barcode70,8010578
79942,78098,74107,3167,824,1844,barcode71,8032555
70347,68763,66138,2061,564,1584,barcode72,8032037
77005,75822,73926,1246,650,1183,barcode73,8032543
66579,65514,63533,1502,479,1065,barcode74,8031769
56752,54966,53425,1095,446,1786,barcode75,8031774
61344,59454,57573,1402,479,1890,barcode76,8031770
62192,60693,58843,1390,460,1499,barcode77,8032035
53252,52147,50706,1066,375,1105,barcode78,8032013
61483,60026,57955,1652,419,1457,barcode79,8031781
41135,39702,38110,1293,299,1433,barcode80,8032544
58748,57369,55831,1172,366,1379,barcode81,8032040
60408,58832,57273,1068,491,1576,barcode82,8031771
46308,43890,42766,849,275,2418,barcode83,8032330
39989,38985,38129,561,295,1004,barcode84,8032000
57947,54555,53120,1056,379,3392,barcode85,8031790
53895,51870,50597,870,403,2025,barcode86,8010559
90633,87616,84835,2102,679,3017,barcode87,8032028
59092,57540,56032,1087,421,1552,barcode88,8032343
38476,35661,33996,1511,154,2815,barcode89,8010552
54200,51508,50111,1081,316,2692,barcode90,8032595
61233,59022,57406,1159,457,2211,barcode91,8010521
81821,79967,78140,1352,475,1854,barcode92,8010507
60515,58429,55966,2053,410,2086,barcode93,8031761
1170,46,46,0,0,1124,barcode94,NTC_a
1069,44,43,0,1,1025,barcode95,NTC_b
78563,77228,75643,971,614,1335,barcode96,3D7_nmcc
321991,312153,305035,4248,2870,9838,unclassified,unclassified
