expt_id;expt_date;expt_user;expt_type;expt_sub-type;expt_version;expt_notes;expt_summary;expt_rxns;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;sample_id;extraction_id;swga_identifier;pcr_identifier;seqlib_identifier;barcode;pcrproductadded_vol_ul;sample_type
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035661;DR101;;PCMM068_A1;SLMM057_A1;barcode01;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035641;DR102;;PCMM068_B1;SLMM057_B1;barcode02;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035627;DR103;;PCMM068_C1;SLMM057_C1;barcode03;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035660;DR104;;PCMM068_D1;SLMM057_D1;barcode04;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035695;DR105;;PCMM068_E1;SLMM057_E1;barcode05;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035690;DR106;;PCMM068_F1;SLMM057_F1;barcode06;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035652;DR107;;PCMM068_G1;SLMM057_G1;barcode07;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035684;DR108;;PCMM068_H1;SLMM057_H1;barcode08;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035662;DR109;;PCMM068_A2;SLMM057_A2;barcode09;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035622;DR110;;PCMM068_B2;SLMM057_B2;barcode10;10;field
