n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
71464,68573,65815,2309,449,2891,barcode01,8035661
113681,109131,105491,2769,871,4550,barcode02,8035641
90327,86432,83580,2306,546,3895,barcode03,8035627
98689,96928,93899,2598,431,1761,barcode04,8035660
84636,82825,80406,1782,637,1811,barcode05,8035695
98622,97243,94044,2422,777,1379,barcode06,8035690
76564,73275,70127,2813,335,3289,barcode07,8035652
56006,52158,49304,2701,153,3848,barcode08,8035684
73724,70094,65534,4069,491,3630,barcode09,8035662
36671,35531,34109,1059,363,1140,barcode10,8035622
76345,74259,71464,1956,839,2086,barcode11,8035659
41419,39845,38397,1209,239,1574,barcode12,8035643
75761,72813,69085,3148,580,2948,barcode13,8035677
115642,112994,108299,3613,1082,2648,barcode14,8035630
5736,1204,1117,85,2,4532,barcode15,8035678
50294,47672,44682,2734,256,2622,barcode16,8035639
51421,49513,48088,1145,280,1908,barcode17,8035628
51586,50195,48433,1525,237,1391,barcode18,8035644
77499,72432,70195,1668,569,5067,barcode19,8035617
27870,26295,26075,91,129,1575,barcode20,8035616
66821,63192,61203,1577,412,3629,barcode21,8035612
64637,60560,58521,1604,435,4077,barcode22,8035607
51613,50037,48484,1248,305,1576,barcode23,8035606
79175,75818,72954,2211,653,3357,barcode24,8035608
40543,38176,36830,931,415,2367,barcode25,8035613
42358,40493,38800,1376,317,1865,barcode26,8035605
39105,36721,35263,1053,405,2384,barcode27,8035698
46425,44183,43784,226,173,2242,barcode28,8035611
78840,76303,73986,1661,656,2537,barcode29,8035629
102978,100821,97048,2861,912,2157,barcode30,8035640
75709,73980,72022,1527,431,1729,barcode31,8035621
63761,61434,58915,1155,1364,2327,barcode32,8035663
49247,48265,46668,986,611,982,barcode33,8036007
10544,436,412,23,1,10108,barcode34,8035687
69935,68188,65749,1824,615,1747,barcode35,8035642
65868,63883,61306,1868,709,1985,barcode36,8035666
41380,39435,38075,1023,337,1945,barcode37,8035665
84647,82168,79179,2389,600,2479,barcode38,8035674
58598,56514,54741,954,819,2084,barcode39,8035664
88959,86645,83933,1920,792,2314,barcode40,8035689
84973,79750,76732,2354,664,5223,barcode41,8035667
57434,54494,52135,1839,520,2940,barcode42,8035668
31762,21,12,9,0,31741,barcode43,8035615
104211,97605,95351,1403,851,6606,barcode44,3D7_MP1
94671,91125,88664,1356,1105,3546,barcode45,3D7
90414,81820,79851,1126,843,8594,barcode46,Dd2
79724,73475,71947,965,563,6249,barcode47,HB3
17317,35,15,18,2,17282,barcode48,Human
1391,10,10,0,0,1381,barcode49,NTC_a
1942,10,10,0,0,1932,barcode50,NTC
232547,216933,209978,4842,2113,15614,unclassified,unclassified
