n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
53260,50258,48688,917,653,3002,barcode01,3D7_mpi
70970,69605,67092,1328,1185,1365,barcode02,3D7
49860,45677,43614,1420,643,4183,barcode03,Dd2
59893,55219,53657,981,581,4674,barcode04,HB3
13961,7,6,1,0,13954,barcode05,human
639,14,13,1,0,625,barcode06,NTC
77106,75465,72697,2037,731,1641,barcode07,8032583
62390,61218,59356,1148,714,1172,barcode08,8032034
72000,69365,66251,2567,547,2635,barcode09,8031772
38167,37362,35436,1738,188,805,barcode10,8032335
57428,55432,53159,1909,364,1996,barcode11,8032594
40093,37612,35627,1832,153,2481,barcode12,8010560
55797,53591,50693,2649,249,2206,barcode13,8032005
68463,66987,63128,3175,684,1476,barcode14,8032527
46354,44093,42059,1759,275,2261,barcode15,8010527
42457,40938,38823,1949,166,1519,barcode16,8032350
38916,37628,36125,1304,199,1288,barcode17,8032006
47165,45361,43091,2080,190,1804,barcode18,8010538
13285,10859,10060,768,31,2426,barcode19,8032052
44665,43629,42035,1355,239,1036,barcode20,8032526
46920,45429,43411,1781,237,1491,barcode21,8010554
41514,39777,38261,1310,206,1737,barcode22,8031764
33865,32053,29988,1889,176,1812,barcode23,8010571
28207,26991,25184,1693,114,1216,barcode24,8032043
11097,17,7,9,1,11080,barcode25,8032571
52763,49221,46169,2739,313,3542,barcode26,8032593
32460,30995,29180,1603,212,1465,barcode27,8010509
47800,46685,43100,3386,199,1115,barcode28,8031773
49115,48432,46854,1333,245,683,barcode29,8031762
33687,31548,30106,1337,105,2139,barcode30,8032324
31764,31260,29566,1508,186,504,barcode31,8031767
3,3,2,0,1,0,barcode32,8031766
24660,22710,21531,1068,111,1950,barcode33,8032026
25635,24327,22878,1367,82,1308,barcode34,8032055
36196,34508,32829,1496,183,1688,barcode35,8032541
28751,26914,25488,1315,111,1837,barcode36,8032265
15640,14237,13650,547,40,1403,barcode37,8010529
34223,29933,28416,1330,187,4290,barcode38,8032347
25658,21456,20498,883,75,4202,barcode39,8032558
16576,15079,14280,764,35,1497,barcode40,8032001
7540,178,178,0,0,7362,barcode41,8010537
14846,13227,12470,726,31,1619,barcode42,8010533
32213,28967,27018,1863,86,3246,barcode43,8032320
38387,31439,29265,2072,102,6948,barcode44,8032309
35321,29539,27837,1579,123,5782,barcode45,8010561
28252,23477,21739,1679,59,4775,barcode46,8032313
25435,15993,14630,1333,30,9442,barcode47,8031811
42667,37394,34766,2485,143,5273,barcode48,8033071
5055,2218,2137,77,4,2837,barcode49,8032014
17275,13879,12968,881,30,3396,barcode50,8010549
4622,1133,1063,70,0,3489,barcode51,8032305
20203,15427,13866,1551,10,4776,barcode52,8010517
15493,9660,8692,944,24,5833,barcode53,8031792
9515,6401,5974,416,11,3114,barcode54,8010508
48866,36155,33587,2498,70,12711,barcode55,8032579
9220,5773,5416,348,9,3447,barcode56,8031806
17778,9930,9607,303,20,7848,barcode57,8031765
16234,13290,12301,963,26,2944,barcode58,8032277
36258,31513,29962,1479,72,4745,barcode59,8032580
6853,1016,985,28,3,5837,barcode60,8032017
2939,5,5,0,0,2934,barcode61,8010558
4519,1118,1047,69,2,3401,barcode62,8032292
7540,3881,3686,192,3,3659,barcode63,8031795
4890,8,4,4,0,4882,barcode64,8032041
11759,3672,3172,498,2,8087,barcode65,8032585
18721,11876,10903,960,13,6845,barcode66,8032503
713,6,6,0,0,707,barcode73,PCR-NTC_a
800,3,2,0,1,797,barcode74,PCR-NTC_b
182542,159973,152735,6018,1220,22569,unclassified,unclassified
