expt_id;expt_date;expt_user;expt_type;expt_sub-type;expt_version;expt_notes;expt_summary;expt_rxns;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;sample_type;sample_id;extraction_id;swga_identifier;pcr_identifier;seqlib_identifier;barcode;pcrproductadded_vol_ul
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;pos;3D7;3D7;;PCMM072_A1;SLMM062_A1;barcode01;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;pos;Dd2;Dd2;;PCMM072_B1;SLMM062_B1;barcode02;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;pos;HB3;HB3;;PCMM072_C1;SLMM062_C1;barcode03;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;neg;human;human;;PCMM072_D1;SLMM062_D1;barcode04;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;neg;NTC-a;NTC-a;;PCMM072_E1;SLMM062_E1;barcode05;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012025;DV460;;PCMM072_F1;SLMM062_F1;barcode06;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012028;DV462;;PCMM072_G1;SLMM062_G1;barcode07;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012034;DV463;;PCMM072_H1;SLMM062_H1;barcode08;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012037;DV465;;PCMM072_A2;SLMM062_A2;barcode09;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012038;DV466;;PCMM072_B2;SLMM062_B2;barcode10;10
