barcode,n_processed_fastq,sample_id
barcode49,123,3D7
barcode50,123,Dd2
barcode51,123,HB3
barcode52,123,human
barcode53,123,NTC-c
barcode54,123,8031086
barcode55,123,8031087
barcode56,123,8031088
barcode57,123,8031091
barcode58,123,8031092
barcode59,123,8031094
barcode60,123,8031261
barcode61,123,8031264
barcode62,123,8031265
barcode63,123,8031271
barcode64,123,8031277
barcode65,123,8031285
barcode66,123,8031287
barcode67,123,8031290
barcode68,123,8031291
barcode69,123,8031294
barcode70,123,8031297
barcode71,123,8031300
barcode72,123,8031307
barcode73,123,8031308
barcode74,123,8031311
barcode75,123,8031314
barcode76,123,8031315
barcode77,123,8031316
barcode78,123,8031317
barcode79,123,8031318
barcode80,123,8031319
barcode81,123,8031321
barcode82,123,8031322
barcode83,123,8031323
barcode84,123,8031324
barcode85,123,8031507
barcode86,123,8031508
barcode87,123,8031512
barcode88,123,8031522
barcode89,123,8031523
barcode90,123,8031524
barcode91,123,8031527
barcode92,123,8031529
barcode93,123,8031536
barcode94,123,8031537
barcode95,123,8031546
barcode96,122,NTC-d
unclassified,123,unclassified
