barcode,n_processed_fastq,sample_id
barcode49,433,3D7
barcode50,433,Dd2
barcode51,433,HB3
barcode52,428,human
barcode53,204,NTC-c
barcode54,433,8021935
barcode55,433,8021937
barcode56,418,8021938
barcode57,428,8021939
barcode58,433,8021940
barcode59,433,8021941
barcode60,433,8021945
barcode61,433,8021946
barcode62,433,8021947
barcode63,432,8021948
barcode64,418,8021949
barcode65,433,8021950
barcode66,433,8021951
barcode67,433,8021952
barcode68,433,8021953
barcode69,433,8021954
barcode70,433,8021944
barcode71,433,8021943
barcode72,433,8021942
barcode73,433,01046675
barcode74,433,01046734
barcode75,433,01046726
barcode76,433,01046725
barcode77,433,01046720
barcode78,433,01046719
barcode79,432,01046678
barcode80,433,01046680
barcode81,433,01046677
barcode82,433,01046676
barcode83,433,01046674
barcode84,390,01046670
barcode85,433,01046681
barcode86,433,01046687
barcode87,433,01046703
barcode88,433,01046705
barcode89,433,01046689
barcode90,433,01046699
barcode91,433,01046718
barcode92,430,01046713
barcode93,433,01046717
barcode94,433,01046728
barcode95,416,01046739
barcode96,176,NTC
unclassified,433,unclassified
