expt_id;expt_date;expt_user;expt_type;expt_sub-type;expt_version;expt_notes;expt_summary;expt_rxns;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;sample_type;sample_id;extraction_id;swga_identifier;pcr_identifier;seqlib_identifier;barcode;pcrproductadded_vol_ul
SLMM066;06.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence PET-PCR positve MIS2024 samples from PCBM040 A1 to H6;MIS2024_Batch8;48;200;10;158;Mk1b;800;12;;R10.4.1;New;1421;;;pos;3D7;3D7;;PCBM040_A1;SLMM066_A1;barcode01;10
SLMM066;06.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence PET-PCR positve MIS2024 samples from PCBM040 A1 to H6;MIS2024_Batch8;48;200;10;158;Mk1b;800;12;;R10.4.1;New;1421;;;pos;Dd2;Dd2;;PCBM040_B1;SLMM066_B1;barcode02;10
SLMM066;06.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence PET-PCR positve MIS2024 samples from PCBM040 A1 to H6;MIS2024_Batch8;48;200;10;158;Mk1b;800;12;;R10.4.1;New;1421;;;pos;HB3;HB3;;PCBM040_C1;SLMM066_C1;barcode03;10
SLMM066;06.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence PET-PCR positve MIS2024 samples from PCBM040 A1 to H6;MIS2024_Batch8;48;200;10;158;Mk1b;800;12;;R10.4.1;New;1421;;;neg;human;human;;PCBM040_D1;SLMM066_D1;barcode04;10
SLMM066;06.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence PET-PCR positve MIS2024 samples from PCBM040 A1 to H6;MIS2024_Batch8;48;200;10;158;Mk1b;800;12;;R10.4.1;New;1421;;;neg;NTC-a;NTC-a;;PCBM040_E1;SLMM066_E1;barcode05;10
SLMM066;06.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence PET-PCR positve MIS2024 samples from PCBM040 A1 to H6;MIS2024_Batch8;48;200;10;158;Mk1b;800;12;;R10.4.1;New;1421;;;field;8010765;DV432;;PCBM040_F1;SLMM066_F1;barcode06;10
SLMM066;06.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence PET-PCR positve MIS2024 samples from PCBM040 A1 to H6;MIS2024_Batch8;48;200;10;158;Mk1b;800;12;;R10.4.1;New;1421;;;field;8010771;DV435;;PCBM040_G1;SLMM066_G1;barcode07;10
SLMM066;06.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence PET-PCR positve MIS2024 samples from PCBM040 A1 to H6;MIS2024_Batch8;48;200;10;158;Mk1b;800;12;;R10.4.1;New;1421;;;field;8010772;DV436;;PCBM040_H1;SLMM066_H1;barcode08;10
SLMM066;06.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence PET-PCR positve MIS2024 samples from PCBM040 A1 to H6;MIS2024_Batch8;48;200;10;158;Mk1b;800;12;;R10.4.1;New;1421;;;field;8011502;DV443;;PCBM040_A2;SLMM066_A2;barcode09;10
SLMM066;06.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence PET-PCR positve MIS2024 samples from PCBM040 A1 to H6;MIS2024_Batch8;48;200;10;158;Mk1b;800;12;;R10.4.1;New;1421;;;field;8011505;DV445;;PCBM040_B2;SLMM066_B2;barcode10;10
