barcode,n_processed_fastq,sample_id
barcode01,129,3D7
barcode02,129,Dd2
barcode03,129,HB3
barcode04,129,human
barcode05,129,NTC-a
barcode06,129,8010765
barcode07,129,8010771
barcode08,129,8010772
barcode09,129,8011502
barcode10,129,8011505
barcode11,129,8011548
barcode12,129,8011756
barcode13,129,8011762
barcode14,129,8011764
barcode15,129,8031547
barcode16,129,8031549
barcode17,129,8031555
barcode18,129,8031556
barcode19,129,8031558
barcode20,129,8031561
barcode21,129,8031565
barcode22,129,8031566
barcode23,129,8031567
barcode24,129,8031569
barcode25,129,8031572
barcode26,129,8031575
barcode27,129,8031576
barcode28,129,8031577
barcode29,129,8021912
barcode30,129,8021913
barcode31,129,8021914
barcode32,129,8021915
barcode33,129,8021918
barcode34,129,8021919
barcode35,129,8021920
barcode36,129,8021922
barcode37,129,8021923
barcode38,129,8021956
barcode39,129,8021955
barcode40,129,8021925
barcode41,129,8021926
barcode42,129,8021927
barcode43,129,8021930
barcode44,129,8021931
barcode45,129,8021932
barcode46,129,8021933
barcode47,129,8021934
barcode48,129,8021936
unclassified,129,unclassified
