n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
71701,68946,67550,556,840,2755,barcode01,3D7
91008,87419,84749,712,1958,3589,barcode02,Dd2
81041,77573,75194,576,1803,3468,barcode03,HB3
6433,17,9,6,2,6416,barcode04,human
463,3,3,0,0,460,barcode05,NTC-a
20652,19736,19032,630,74,916,barcode06,8010765
41553,39100,38111,724,265,2453,barcode07,8010771
27058,26353,25258,884,211,705,barcode08,8010772
127377,125439,123274,1589,576,1938,barcode09,8011502
123675,122061,117835,2193,2033,1614,barcode10,8011505
110394,109022,104916,2563,1543,1372,barcode11,8011548
16803,16294,16139,117,38,509,barcode12,8011756
79329,77834,76161,1146,527,1495,barcode13,8011762
7709,7158,6981,152,25,551,barcode14,8011764
69998,68252,66338,1150,764,1746,barcode15,8031547
87492,86392,84143,1241,1008,1100,barcode16,8031549
90219,89185,86096,1348,1741,1034,barcode17,8031555
31919,28902,28012,797,93,3017,barcode18,8031556
38289,35839,35063,591,185,2450,barcode19,8031558
21485,20053,19478,503,72,1432,barcode20,8031561
75437,73964,71758,937,1269,1473,barcode21,8031565
56697,55037,53716,720,601,1660,barcode22,8031566
88121,86769,84467,1385,917,1352,barcode23,8031567
22796,5712,5666,33,13,17084,barcode24,8031569
124972,122144,119143,1728,1273,2828,barcode25,8031572
109895,107834,104671,2100,1063,2061,barcode26,8031575
9980,4800,4592,196,12,5180,barcode27,8031576
94298,92783,89458,1982,1343,1515,barcode28,8031577
62464,61099,59884,933,282,1365,barcode29,8021912
33154,30329,29527,726,76,2825,barcode30,8021913
83961,82503,81074,235,1194,1458,barcode31,8021914
92504,90939,88966,966,1007,1565,barcode32,8021915
87271,85721,82799,2092,830,1550,barcode33,8021918
19584,18416,18221,97,98,1168,barcode34,8021919
47309,45962,45374,267,321,1347,barcode35,8021920
65261,63901,62334,621,946,1360,barcode36,8021922
29821,29216,28674,340,202,605,barcode37,8021923
75278,74112,72276,635,1201,1166,barcode38,8021956
66000,63999,63044,166,789,2001,barcode39,8021955
106484,105447,101093,3102,1252,1037,barcode40,8021925
68640,67345,64881,1040,1424,1295,barcode41,8021926
119205,116607,112454,1997,2156,2598,barcode42,8021927
43844,42585,40895,1493,197,1259,barcode43,8021930
61130,59815,57896,694,1225,1315,barcode44,8021931
53899,52544,50816,735,993,1355,barcode45,8021932
41877,39550,36340,2548,662,2327,barcode46,8021933
73142,71707,69197,1461,1049,1435,barcode47,8021934
35462,34147,33144,645,358,1315,barcode48,8021936
250736,240358,233514,3281,3563,10378,unclassified,unclassified
