expt_id_PCR;expt_date_PCR;expt_user_PCR;expt_version_PCR;expt_assay;expt_notes_PCR;expt_summary_PCR;expt_rxns_PCR;pcr_primers;pcr_primersource;pcr_targetpanel;pcr_enzyme;pcr_product_ngul;expt_id_seqlib;expt_date_seqlib;expt_user_seqlib;expt_sub-type;expt_version_seqlib;expt_notes_seqlib;expt_summary_seqlib;expt_rxns_seqlib;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;seqlib_identifier;barcode;pcrproductadded_vol_ul;sample_id;extraction_id;pcr_identifier;swga_identifier;sample_type
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;16. Apr;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_A1;barcode01;10;3D7;3D7;PCBM044_A1;;pos
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;43.6;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_B1;barcode02;10;Dd2;Dd2;PCBM044_B1;;pos
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;40.2;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_C1;barcode03;10;HB3;HB3;PCBM044_C1;;pos
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;0.0774;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_D1;barcode04;10;Human;Human;PCBM044_D1;;neg
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;0.0908;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_E1;barcode05;10;NTC;NTC;PCBM044_E1;;neg
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;08. Aug;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_F1;barcode06;10;8021912;DR146;PCBM044_F1;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;07. Dec;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_G1;barcode07;10;8021913;DR147;PCBM044_G1;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;36.8;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_H1;barcode08;10;8021914;DR148;PCBM044_H1;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;26. Aug;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_A2;barcode09;10;8021915;DR149;PCBM044_A2;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;51.2;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_B2;barcode10;10;8021918;DR151;PCBM044_B2;;field
