barcode,n_processed_fastq,sample_id
barcode01,432,3D7
barcode02,432,Dd2
barcode03,432,HB3
barcode04,303,Human
barcode05,183,NTC
barcode06,426,8021912
barcode07,407,8021913
barcode08,431,8021914
barcode09,432,8021915
barcode10,431,8021918
barcode11,424,8021919
barcode12,405,8021920
barcode13,432,8021922
barcode14,420,8021923
barcode15,429,8021956
barcode16,430,8021955
barcode17,432,8021925
barcode18,432,8021926
barcode19,432,8021927
barcode20,418,8021930
barcode21,428,8021931
barcode22,432,8021932
barcode23,4,8021933
barcode24,432,8021934
barcode25,414,8021936
barcode26,429,8021935
barcode27,431,8021937
barcode28,365,8021938
barcode29,409,8021939
barcode30,424,8021940
barcode31,431,8021941
barcode32,427,8021945
barcode33,417,8021946
barcode34,432,8021947
barcode35,424,8021948
barcode36,409,8021949
barcode37,410,8021950
barcode38,431,8021951
barcode39,432,8021952
barcode40,432,8021953
barcode41,430,8021954
barcode42,406,8021944
barcode43,432,8021943
barcode44,412,8021942
barcode45,430,01046675
barcode46,262,NTC_1
barcode47,200,NTC_2
barcode48,168,NTC_3
barcode49,421,3D7_a
barcode50,430,Dd2_a
barcode51,431,HB3_a
barcode52,309,Human_a
barcode53,202,NTC_a
barcode54,429,01046734
barcode55,432,01046726
barcode56,432,01046725
barcode57,432,01046720
barcode58,423,01046719
barcode59,432,01046678
barcode60,432,01046680
barcode61,432,01046677
barcode62,427,01046676
barcode63,5,01046674
barcode64,4,01046670
barcode65,432,01046681
barcode66,426,01046687
barcode67,419,01046703
barcode68,417,01046705
barcode69,432,01046689
barcode70,432,01046699
barcode71,432,01046718
barcode72,424,01046713
barcode73,432,01046717
barcode74,404,01046728
barcode75,409,01046739
barcode76,426,01046738
barcode77,418,01046700
barcode78,417,01046692
barcode79,430,01046736
barcode80,431,01046696
barcode81,431,5872988
barcode82,406,5874303
barcode83,420,5872615
barcode84,432,5874366
barcode85,432,5874276
barcode86,424,5873039
barcode87,416,5873127
barcode88,432,5874340
barcode89,414,5874559
barcode90,313,5872848
barcode91,432,5873140
barcode92,411,5874004
barcode93,432,5874241
barcode94,302,5872196
barcode95,263,5874164
barcode96,283,5874231
unclassified,433,unclassified
