n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
49376,44458,43601,496,361,4918,barcode01,3D7
75043,71292,69215,1440,637,3751,barcode02,Dd2
79517,75614,73305,1414,895,3903,barcode03,HB3
1574,713,579,0,134,861,barcode04,Human
218,6,6,0,0,212,barcode05,NTC
45822,44776,41938,2724,114,1046,barcode06,8021912
13996,10888,10393,470,25,3108,barcode07,8021913
55270,54187,53413,557,217,1083,barcode08,8021914
96323,93194,90079,2581,534,3129,barcode09,8021915
58866,57181,55005,1702,474,1685,barcode10,8021918
29573,27905,26914,891,100,1668,barcode11,8021919
17435,16521,15980,493,48,914,barcode12,8021920
74361,72479,69484,2593,402,1882,barcode13,8021922
31164,29931,27404,2367,160,1233,barcode14,8021923
57431,55477,53558,1594,325,1954,barcode15,8021956
55440,53577,52451,706,420,1863,barcode16,8021955
85169,83133,80307,2047,779,2036,barcode17,8021925
73943,72698,69799,2356,543,1245,barcode18,8021926
100102,97070,93433,2772,865,3032,barcode19,8021927
34786,33751,30690,2941,120,1035,barcode20,8021930
40218,38246,36849,1146,251,1972,barcode21,8021931
69637,67169,64972,1478,719,2468,barcode22,8021932
4,4,4,0,0,0,barcode23,8021933
96832,93992,90477,1773,1742,2840,barcode24,8021934
33445,31208,28672,2255,281,2237,barcode25,8021936
76355,74569,71195,2622,752,1786,barcode26,8021935
45124,44315,42178,1592,545,809,barcode27,8021937
8052,3646,3387,253,6,4406,barcode28,8021938
16569,14013,13251,730,32,2556,barcode29,8021939
34982,33446,31143,2171,132,1536,barcode30,8021940
67219,64494,60268,3718,508,2725,barcode31,8021941
43939,38445,31317,6040,1088,5494,barcode32,8021945
30092,25784,23519,1975,290,4308,barcode33,8021946
109358,107025,102081,3677,1267,2333,barcode34,8021947
34937,29303,27493,1735,75,5634,barcode35,8021948
15774,7679,7137,535,7,8095,barcode36,8021949
14144,11184,10568,565,51,2960,barcode37,8021950
70180,66157,62939,2706,512,4023,barcode38,8021951
82492,81009,77730,2630,649,1483,barcode39,8021952
104782,102095,97467,3464,1164,2687,barcode40,8021953
67263,64675,61180,2867,628,2588,barcode41,8021954
16154,13145,11786,1323,36,3009,barcode42,8021944
67894,66795,64379,1895,521,1099,barcode43,8021943
25750,19703,18197,1410,96,6047,barcode44,8021942
65347,63904,61014,2249,641,1443,barcode45,01046675
505,8,8,0,0,497,barcode46,NTC_1
285,9,8,0,1,276,barcode47,NTC_2
184,2,2,0,0,182,barcode48,NTC_3
25377,23725,23015,522,188,1652,barcode49,3D7_a
63421,58942,56672,1913,357,4479,barcode50,Dd2_a
74341,70101,67910,1585,606,4240,barcode51,HB3_a
1911,496,496,0,0,1415,barcode52,Human_a
311,19,19,0,0,292,barcode53,NTC_a
41446,38298,36873,1189,236,3148,barcode54,01046734
110541,103005,96493,5777,735,7536,barcode55,01046726
79461,74543,70420,3723,400,4918,barcode56,01046725
68538,61430,57808,3209,413,7108,barcode57,01046720
30620,29152,27451,1554,147,1468,barcode58,01046719
82553,80986,76670,3905,411,1567,barcode59,01046678
64407,63166,60622,2130,414,1241,barcode60,01046680
73225,71196,68350,2220,626,2029,barcode61,01046677
34025,33293,32031,967,295,732,barcode62,01046676
5,5,5,0,0,0,barcode63,01046674
4,4,4,0,0,0,barcode64,01046670
93354,91698,88058,2603,1037,1656,barcode65,01046681
43540,42675,41213,1077,385,865,barcode66,01046687
23280,21852,21024,754,74,1428,barcode67,01046703
34180,32306,30660,1498,148,1874,barcode68,01046705
62195,60654,58420,1563,671,1541,barcode69,01046689
52632,51147,49076,1834,237,1485,barcode70,01046699
87558,84604,81366,2646,592,2954,barcode71,01046718
31252,29626,28731,714,181,1626,barcode72,01046713
67191,64156,61965,1332,859,3035,barcode73,01046717
16379,14845,14092,685,68,1534,barcode74,01046728
15723,14130,13554,526,50,1593,barcode75,01046739
37750,35435,34290,975,170,2315,barcode76,01046738
23300,22536,21597,844,95,764,barcode77,01046700
38165,36871,35056,1642,173,1294,barcode78,01046692
45826,42090,39468,2382,240,3736,barcode79,01046736
54898,53562,51412,1771,379,1336,barcode80,01046696
35480,31930,30567,1231,132,3550,barcode81,5872988
18660,15888,14824,1031,33,2772,barcode82,5874303
47890,45395,40514,4732,149,2495,barcode83,5872615
59830,58271,55419,2396,456,1559,barcode84,5874366
95830,92491,88412,3372,707,3339,barcode85,5874276
36282,33429,32047,1177,205,2853,barcode86,5873039
21720,11709,10170,1536,3,10011,barcode87,5873127
150538,148684,142912,4710,1062,1854,barcode88,5874340
21691,19565,18268,1185,112,2126,barcode89,5874559
1631,819,806,11,2,812,barcode90,5872848
42602,40554,38194,2087,273,2048,barcode91,5873140
27603,23825,22587,1192,46,3778,barcode92,5874004
84582,82715,78788,3273,654,1867,barcode93,5874241
1155,9,9,0,0,1146,barcode94,5872196
600,3,3,0,0,597,barcode95,5874164
708,5,5,0,0,703,barcode96,5874231
302529,284801,273615,8705,2481,17728,unclassified,unclassified
