expt_id_PCR,expt_date_PCR,expt_user_PCR,expt_version_PCR,expt_assay,expt_notes_PCR,expt_summary_PCR,expt_rxns_PCR,pcr_primers,pcr_primersource,pcr_targetpanel,template_vol,pcr_enzyme,pcr_product_ngul,expt_id_seqlib,expt_date_seqlib,expt_user_seqlib,expt_sub-type,expt_version_seqlib,expt_notes_seqlib,expt_summary_seqlib,expt_rxns_seqlib,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,seqlib_identifier,barcode,pcrproductadded_vol_ul,sample_id,extraction_id,pcr_identifier,swga_identifier,sample_type
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,42.0,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_A1,barcode01,10,3D7,3D7,PCMM077_A1,,Positive
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,20.4,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_B1,barcode02,10,Dd2,Dd2,PCMM077_B1,,Positive
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,28.0,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_C1,barcode03,10,HB3,HB3,PCMM077_C1,,Positive
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,1.82,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_D1,barcode04,10,Human,Human,PCMM077_D1,,Negative
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0.000616,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_E1,barcode05,10,NTC1,NTC1,PCMM077_E1,,Negative
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0.00866,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_F1,barcode06,10,NTC2,NTC2,PCMM077_F1,,Negative
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0.0258,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_G1,barcode07,10,NTC3,NTC3,PCMM077_G1,,Negative
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0.0183,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_H1,barcode08,10,NTC4,NTC4,PCMM077_H1,,Negative
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,67.2,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_A2,barcode09,10,01046791,DR246,PCMM077_A2,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,20.0,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_B2,barcode10,10,01046797,DR248,PCMM077_B2,,Field
