expt_id_PCR,expt_date_PCR,expt_user_PCR,expt_version_PCR,expt_assay,expt_notes_PCR,expt_summary_PCR,expt_rxns_PCR,pcr_primers,pcr_primersource,pcr_targetpanel,pcr_template_vol,pcr_enzyme,pcr_product_ngul,expt_id_seqlib,expt_date_seqlib,expt_user_seqlib,expt_sub-type,expt_version_seqlib,expt_notes_seqlib,expt_summary_seqlib,expt_rxns_seqlib,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,seqlib_identifier,barcode,pcrproductadded_vol_ul,sample_id,extraction_id,pcr_identifier,swga_identifier,sample_type
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_A1,barcode01,10,3D7,3D7,PCBM046_A1,No sWGA,Positive
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_B1,barcode02,10,Dd2,Dd2,PCBM046_B1,No sWGA,Positive
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_C1,barcode03,10,HB3,HB3,PCBM046_C1,No sWGA,Positive
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_D1,barcode04,10,Human,Human,PCBM046_D1,No sWGA,Negative
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_E1,barcode05,10,NTC1,NTC1,PCBM046_E1,No sWGA,Negative
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_F1,barcode06,10,NTC2,NTC2,PCBM046_F1,No sWGA,Negative
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_G1,barcode07,10,NTC3,NTC3,PCBM046_G1,No sWGA,Negative
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_H1,barcode08,10,NTC4,NTC4,PCBM046_H1,No sWGA,Negative
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_A2,barcode09,10,5053734,DR375,PCBM046_A2,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_B2,barcode10,10,5053711,DR376,PCBM046_B2,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_C2,barcode11,10,5053743,DR377,PCBM046_C2,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_D2,barcode12,10,5053727,DR380,PCBM046_D2,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_E2,barcode13,10,5053767,DR381,PCBM046_E2,No sWGA,Field
