expt_id_PCR,expt_date_PCR,expt_user_PCR,expt_version_PCR,expt_assay,expt_notes_PCR,expt_summary_PCR,expt_rxns_PCR,pcr_primers,pcr_primersource,pcr_targetpanel,template_vol,pcr_enzyme,pcr_product_ngul,expt_id_seqlib,expt_date_seqlib,expt_user_seqlib,expt_sub-type,expt_version_seqlib,expt_notes_seqlib,expt_summary_seqlib,expt_rxns_seqlib,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,seqlib_identifier,barcode,pcrproductadded_vol_ul,sample_id,extraction_id,pcr_identifier,swga_identifier,sample_type
PCMM078,2025-05-02,Mulenga Mwenda,9,NOMADS_MVP,To perform PCR on 90 samples collected during the HRP2 survey in 2024. PET-PCR positive samples from DR651 to DR773 .,HRP2 2024_Batch6,90,N004,,Pf-03-9,,KAPA HiFi ReadyMix,2.26,SLMM073,2025-05-06,Mulenga Mwenda,rapid,2,"To sequence samples from PCMM078, samples IDS DR651 to DR773",HRP22024_Batch6,96,200,10,,,800,12,,,,,,,SLMM073_A1,barcode01,10.0,3D7,3D7,PCMM078_A1,,Positive
PCMM078,2025-05-02,Mulenga Mwenda,9,NOMADS_MVP,To perform PCR on 90 samples collected during the HRP2 survey in 2024. PET-PCR positive samples from DR651 to DR773 .,HRP2 2024_Batch6,90,N004,,Pf-03-9,,KAPA HiFi ReadyMix,10.5,SLMM073,2025-05-06,Mulenga Mwenda,rapid,2,"To sequence samples from PCMM078, samples IDS DR651 to DR773",HRP22024_Batch6,96,200,10,,,800,12,,,,,,,SLMM073_B1,barcode02,10.0,Dd2,Dd2,PCMM078_B1,,Positive
PCMM078,2025-05-02,Mulenga Mwenda,9,NOMADS_MVP,To perform PCR on 90 samples collected during the HRP2 survey in 2024. PET-PCR positive samples from DR651 to DR773 .,HRP2 2024_Batch6,90,N004,,Pf-03-9,,KAPA HiFi ReadyMix,3.16,SLMM073,2025-05-06,Mulenga Mwenda,rapid,2,"To sequence samples from PCMM078, samples IDS DR651 to DR773",HRP22024_Batch6,96,200,10,,,800,12,,,,,,,SLMM073_C1,barcode03,10.0,HB3,HB3,PCMM078_C1,,Positive
PCMM078,2025-05-02,Mulenga Mwenda,9,NOMADS_MVP,To perform PCR on 90 samples collected during the HRP2 survey in 2024. PET-PCR positive samples from DR651 to DR773 .,HRP2 2024_Batch6,90,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0.252,SLMM073,2025-05-06,Mulenga Mwenda,rapid,2,"To sequence samples from PCMM078, samples IDS DR651 to DR773",HRP22024_Batch6,96,200,10,,,800,12,,,,,,,SLMM073_D1,barcode04,10.0,Human,Human,PCMM078_D1,,Negative
PCMM078,2025-05-02,Mulenga Mwenda,9,NOMADS_MVP,To perform PCR on 90 samples collected during the HRP2 survey in 2024. PET-PCR positive samples from DR651 to DR773 .,HRP2 2024_Batch6,90,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0.0418,SLMM073,2025-05-06,Mulenga Mwenda,rapid,2,"To sequence samples from PCMM078, samples IDS DR651 to DR773",HRP22024_Batch6,96,200,10,,,800,12,,,,,,,SLMM073_E1,barcode05,10.0,NTC,NTC,PCMM078_E1,,Negative
PCMM078,2025-05-02,Mulenga Mwenda,9,NOMADS_MVP,To perform PCR on 90 samples collected during the HRP2 survey in 2024. PET-PCR positive samples from DR651 to DR773 .,HRP2 2024_Batch6,90,N004,,Pf-03-9,,KAPA HiFi ReadyMix,1.54,SLMM073,2025-05-06,Mulenga Mwenda,rapid,2,"To sequence samples from PCMM078, samples IDS DR651 to DR773",HRP22024_Batch6,96,200,10,,,800,12,,,,,,,SLMM073_F1,barcode06,10.0,1012422,DR651,PCMM078_F1,,Field
PCMM078,2025-05-02,Mulenga Mwenda,9,NOMADS_MVP,To perform PCR on 90 samples collected during the HRP2 survey in 2024. PET-PCR positive samples from DR651 to DR773 .,HRP2 2024_Batch6,90,N004,,Pf-03-9,,KAPA HiFi ReadyMix,44.4,SLMM073,2025-05-06,Mulenga Mwenda,rapid,2,"To sequence samples from PCMM078, samples IDS DR651 to DR773",HRP22024_Batch6,96,200,10,,,800,12,,,,,,,SLMM073_G1,barcode07,10.0,1012415,DR652,PCMM078_G1,,Field
PCMM078,2025-05-02,Mulenga Mwenda,9,NOMADS_MVP,To perform PCR on 90 samples collected during the HRP2 survey in 2024. PET-PCR positive samples from DR651 to DR773 .,HRP2 2024_Batch6,90,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0.131,SLMM073,2025-05-06,Mulenga Mwenda,rapid,2,"To sequence samples from PCMM078, samples IDS DR651 to DR773",HRP22024_Batch6,96,200,10,,,800,12,,,,,,,SLMM073_H1,barcode08,10.0,1012446,DR653,PCMM078_H1,,Field
PCMM078,2025-05-02,Mulenga Mwenda,9,NOMADS_MVP,To perform PCR on 90 samples collected during the HRP2 survey in 2024. PET-PCR positive samples from DR651 to DR773 .,HRP2 2024_Batch6,90,N004,,Pf-03-9,,KAPA HiFi ReadyMix,21.8,SLMM073,2025-05-06,Mulenga Mwenda,rapid,2,"To sequence samples from PCMM078, samples IDS DR651 to DR773",HRP22024_Batch6,96,200,10,,,800,12,,,,,,,SLMM073_A2,barcode09,10.0,1012416,DR656,PCMM078_A2,,Field
PCMM078,2025-05-02,Mulenga Mwenda,9,NOMADS_MVP,To perform PCR on 90 samples collected during the HRP2 survey in 2024. PET-PCR positive samples from DR651 to DR773 .,HRP2 2024_Batch6,90,N004,,Pf-03-9,,KAPA HiFi ReadyMix,23.2,SLMM073,2025-05-06,Mulenga Mwenda,rapid,2,"To sequence samples from PCMM078, samples IDS DR651 to DR773",HRP22024_Batch6,96,200,10,,,800,12,,,,,,,SLMM073_B2,barcode10,10.0,1012440,DR657,PCMM078_B2,,Field
