expt_id_PCR;expt_date_PCR;expt_user_PCR;expt_version_PCR;expt_assay;expt_notes_PCR;expt_summary_PCR;expt_rxns_PCR;pcr_primers;pcr_primersource;pcr_targetpanel;template_vol;pcr_enzyme;pcr_product_ngul;expt_id_seqlib;expt_date_seqlib;expt_user_seqlib;expt_sub-type;expt_version_seqlib;expt_notes_seqlib;expt_summary_seqlib;expt_rxns_seqlib;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;seqlib_identifier;barcode;pcrproductadded_vol_ul;sample_id;extraction_id;pcr_identifier;swga_identifier;sample_type
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_A1;barcode01;10;3D7;3D7;PCBM048_A1;No sWGA;Positive
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_B1;barcode02;10;Dd2;Dd2;PCBM048_B1;No sWGA;Positive
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_C1;barcode03;10;HB3;HB3;PCBM048_C1;No sWGA;Positive
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_D1;barcode04;10;human;human;PCBM048_D1;No sWGA;Negative
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_E1;barcode05;10;NTC-a;NTC-a;PCBM048_E1;No sWGA;Negative
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_F1;barcode06;10;8013549;DV662;PCBM048_F1;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_G1;barcode07;10;8013554;DV665;PCBM048_G1;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_H1;barcode08;10;8013555;DV666;PCBM048_H1;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_A2;barcode09;10;8013557;DV668;PCBM048_A2;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_B2;barcode10;10;8013558;DV669;PCBM048_B2;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_C2;barcode11;10;8013559;DV670;PCBM048_C2;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_D2;barcode12;10;8013561;DV672;PCBM048_D2;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_E2;barcode13;10;8013565;DV674;PCBM048_E2;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_F2;barcode14;10;8013759;DV677;PCBM048_F2;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_G2;barcode15;10;8013778;DV678;PCBM048_G2;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_H2;barcode16;10;8013809;DV681;PCBM048_H2;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_A3;barcode17;10;8013813;DV684;PCBM048_A3;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_B3;barcode18;10;8013814;DV685;PCBM048_B3;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_C3;barcode19;10;8013833;DV687;PCBM048_C3;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_D3;barcode20;10;8013836;DV689;PCBM048_D3;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_E3;barcode21;10;8013837;DV690;PCBM048_E3;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_F3;barcode22;10;8013839;DV691;PCBM048_F3;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_G3;barcode23;10;8022228;DV694;PCBM048_G3;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_H3;barcode24;10;8022255;DV702;PCBM048_H3;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_A4;barcode25;10;8022258;DV703;PCBM048_A4;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_B4;barcode26;10;8022268;DV707;PCBM048_B4;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_C4;barcode27;10;8022270;DV709;PCBM048_C4;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_D4;barcode28;10;8022272;DV710;PCBM048_D4;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_E4;barcode29;10;8022274;DV711;PCBM048_E4;No sWGA;Field
PCBM048;22.04.25;Brenda Mambwe;9;NOMADS_MVP;To test MIS samples with Mvp primer panel. The samples are positive for PET-PCR starting from DV662-DV831;MIS2024_Batch6;88;N004;;Pf-03-9;;KAPA HiFi ReadyMix;0;SLMM074;08.05.25;Mulenga Mwenda;rapid;2;Sequence samples from PCBM048, a repeat of PCMM073;MIS2024_Batch6;96;200;10;30;Mk1b;800;12;;R10.4.1;New;1187;;0;SLMM074_F4;barcode30;10;8022279;DV715;PCBM048_F4;No sWGA;Field
