barcode,n_processed_fastq,sample_id
barcode01,432,3D7
barcode02,433,Dd2
barcode03,432,HB3
barcode04,431,humanDNA
barcode05,360,PCR_NTC1
barcode06,433,01039149
barcode07,433,01039197
barcode08,432,01039154
barcode09,432,01039190
barcode10,431,01039177
barcode11,432,4043605
barcode12,432,4043610
barcode13,430,4043678
barcode14,433,4043679
barcode15,432,4043674
barcode16,432,4043612
barcode17,423,4043629
barcode18,432,4043630
barcode19,432,4043609
barcode20,429,4043667
barcode21,433,4043681
barcode22,431,4043664
barcode23,433,4043677
barcode24,431,4043673
barcode25,433,4043683
barcode26,432,4043669
barcode27,432,4043675
barcode28,432,4043670
barcode29,433,4043666
barcode30,432,4043668
barcode31,430,4043631
barcode32,432,4043616
barcode33,432,4043623
barcode34,432,4043619
barcode35,432,4043628
barcode36,432,4043613
barcode37,432,4043608
barcode38,433,4043626
barcode39,432,4043617
barcode40,432,4043627
barcode41,430,4043625
barcode42,432,01038996
barcode43,433,8035520
barcode44,432,01038998
barcode45,432,01039023
barcode46,432,01038992
barcode47,433,01038993
barcode48,432,01039028
barcode49,432,01039031
barcode50,432,01039024
barcode51,432,01038997
barcode52,433,01039033
barcode53,430,01039027
barcode54,421,01039025
barcode55,431,01039022
barcode56,433,01039021
barcode57,432,8035511
barcode58,432,01039029
barcode59,433,01039037
barcode60,433,01039032
barcode61,432,4043515
barcode62,429,4043512
barcode63,433,4043509
barcode64,432,4043506
barcode65,432,4043511
barcode66,432,4043510
barcode67,432,4043505
barcode68,432,4043502
barcode69,433,4043508
barcode70,433,4043507
barcode71,429,4043504
barcode72,432,4043568
barcode73,432,01038995
barcode74,433,8035506
barcode75,433,8035515
barcode76,428,8035504
barcode77,432,4043513
barcode78,412,01039086
barcode79,432,01039050
barcode80,432,5053818
barcode81,433,01039066
barcode82,433,01039081
barcode83,433,01039103
barcode84,432,01039065
barcode85,433,01039089
barcode86,433,01039043
barcode87,432,01039041
barcode88,430,01039045
barcode89,433,01039116
barcode90,432,01039140
barcode91,433,01039084
barcode92,432,01039100
barcode93,433,01039110
barcode94,432,01039057
barcode95,433,01039120
barcode96,303,PCR_NTC2
unclassified,433,unclassified
