n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
29146,27985,27300,485,200,1161,barcode01,3D7
22654,20803,20592,108,103,1851,barcode02,Dd2
28332,26311,25961,179,171,2021,barcode03,HB3
21855,21107,20622,232,253,748,barcode04,IPC3445
23709,22859,22042,529,288,850,barcode05,IPC3663
3255,9,8,0,1,3246,barcode06,Human
72,7,7,0,0,65,barcode07,NTC1
89,3,3,0,0,86,barcode08,NTC
53600,52303,50283,1656,364,1297,barcode09,8012743
20397,19003,18606,271,126,1394,barcode10,8012744
43177,42266,41114,796,356,911,barcode11,8012745
23226,22715,21966,651,98,511,barcode12,8012746
27366,26337,25599,588,150,1029,barcode13,8012748
14171,13301,12873,370,58,870,barcode14,8012749
36870,35964,35016,742,206,906,barcode15,8012912
25133,24521,23918,470,133,612,barcode16,8012915
15762,15091,14675,364,52,671,barcode17,8012916
26286,25614,24955,504,155,672,barcode18,8012917
40903,39988,38869,809,310,915,barcode19,8012919
20419,19901,19429,331,141,518,barcode20,8012921
1670,1030,1029,0,1,640,barcode21,8012922
36433,35301,34593,446,262,1132,barcode22,8012923
32382,31650,30971,432,247,732,barcode23,8012929
4875,4527,4463,41,23,348,barcode24,8012930
3802,3174,3138,31,5,628,barcode25,8012931
18496,17791,17038,700,53,705,barcode26,8012932
79,17,17,0,0,62,barcode27,8012935
40372,39564,38684,630,250,808,barcode28,8013577
853,462,421,40,1,391,barcode29,8013578
50013,49312,47875,1148,289,701,barcode30,8013579
32806,32251,31504,565,182,555,barcode31,8013580
4155,4005,3956,40,9,150,barcode32,8013585
14055,13430,13080,297,53,625,barcode33,8013589
25315,24520,23669,760,91,795,barcode34,8013590
16382,15834,15109,669,56,548,barcode35,8013597
7231,6243,6056,157,30,988,barcode36,8013598
10659,10338,10143,154,41,321,barcode37,8013601
716,181,181,0,0,535,barcode38,8013602
47519,46871,45513,913,445,648,barcode39,8013604
37145,36453,35493,757,203,692,barcode40,8013606
25211,24662,23982,518,162,549,barcode41,8013608
18234,17806,17342,375,89,428,barcode42,8013609
10623,10301,9835,435,31,322,barcode43,8013611
44462,43599,42511,829,259,863,barcode44,8013612
50620,49405,47715,1327,363,1215,barcode45,8013613
39397,38366,37145,1032,189,1031,barcode46,8013614
30872,30026,28956,930,140,846,barcode47,8013616
13373,12937,12755,122,60,436,barcode48,8013620
410,1,1,0,0,409,barcode49,8013623
36654,35777,35071,544,162,877,barcode50,8013624
36065,35050,33944,918,188,1015,barcode51,8013625
34467,33609,32314,1153,142,858,barcode52,8013629
28436,27617,26948,567,102,819,barcode53,8013630
33647,32993,32133,669,191,654,barcode54,8013632
31209,30485,29226,1134,125,724,barcode55,8013633
15041,14369,13838,477,54,672,barcode56,8013635
7037,6773,6535,204,34,264,barcode57,8013638
293,3,3,0,0,290,barcode58,8013643
29991,29128,26978,1985,165,863,barcode59,8013644
18565,17794,16941,760,93,771,barcode60,8013645
36586,35324,33929,1151,244,1262,barcode61,8013647
21994,21593,20921,533,139,401,barcode62,8013648
45695,44937,43070,1629,238,758,barcode63,8013649
46657,45468,44265,878,325,1189,barcode64,8013650
32193,31486,30879,442,165,707,barcode65,8013651
24635,24232,23745,370,117,403,barcode66,8013656
34118,33258,32441,576,241,860,barcode67,8013658
6516,5778,5509,251,18,738,barcode68,8013662
33589,32643,32045,362,236,946,barcode69,8013665
11196,10770,10498,226,46,426,barcode70,8013666
31844,31172,30527,371,274,672,barcode71,8013667
30585,30065,29214,595,256,520,barcode72,8013670
28280,27334,26417,761,156,946,barcode73,8013671
6801,6187,5955,213,19,614,barcode74,8013674
37285,36208,34794,1158,256,1077,barcode75,8013078
44282,43466,41395,1699,372,816,barcode76,8013081
39322,38740,37848,622,270,582,barcode77,8013082
19048,18403,17808,499,96,645,barcode78,8013085
1406,587,587,0,0,819,barcode79,8013086
27314,26497,25826,519,152,817,barcode80,8013088
27950,27338,26781,345,212,612,barcode81,8013089
34743,33854,33171,534,149,889,barcode82,8013090
29239,28506,27619,723,164,733,barcode83,8013104
30543,29740,28382,1144,214,803,barcode84,8013106
18860,17813,17299,421,93,1047,barcode85,8013114
35596,34713,33899,633,181,883,barcode86,8013117
69222,68271,66377,1375,519,951,barcode87,8013121
39486,38321,37703,424,194,1165,barcode88,8013124
29527,28614,28073,343,198,913,barcode89,8013127
16805,15879,15625,185,69,926,barcode90,8013134
8418,7965,7821,108,36,453,barcode91,8013136
26729,25967,25137,753,77,762,barcode92,8013151
16420,15766,15426,249,91,654,barcode93,8013152
17338,15848,15467,329,52,1490,barcode94,EE736
5246,3455,3356,90,9,1791,barcode95,EE737
551,2,2,0,0,549,barcode96,EE738
134957,129672,126047,2628,997,5285,unclassified,unclassified
