expt_id_PCR,expt_date_PCR,expt_user_PCR,expt_version_PCR,expt_assay,expt_notes_PCR,expt_summary_PCR,expt_rxns_PCR,pcr_primers,pcr_primersource,pcr_targetpanel,pcr_template_vol,pcr_enzyme,pcr_product_ngul,expt_id_seqlib,expt_date_seqlib,expt_user_seqlib,expt_sub-type,expt_version_seqlib,expt_notes_seqlib,expt_summary_seqlib,expt_rxns_seqlib,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_massloaded_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,seqlib_identifier,barcode,pcrproductadded_vol_ul,sample_id,extraction_id,pcr_identifier,swga_identifier,sample_type
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,129.0,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_A1,barcode01,10.0,3D7,3D7,PCBM054_A1,,Positive
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,55.6,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_B1,barcode02,10.0,Dd2,Dd2,PCBM054_B1,,Positive
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,90.2,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_C1,barcode03,10.0,HB3,HB3,PCBM054_C1,,Positive
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,124.0,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_D1,barcode04,10.0,IPC3445,IPC3445,PCBM054_D1,,Positive
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,108.0,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_E1,barcode05,10.0,IPC3663,IPC3663,PCBM054_E1,,Positive
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,15.1,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_F1,barcode06,10.0,Human,Human,PCBM054_F1,,Negative
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,0.0602,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_G1,barcode07,10.0,NTC1,NTC1,PCBM054_G1,,Negative
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,0.193,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_H1,barcode08,10.0,NTC,NTC,PCBM054_H1,,Negative
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,78.8,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_A2,barcode09,10.0,5053711,DR376,PCBM054_A2,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,24.8,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_B2,barcode10,10.0,5053727,DR380,PCBM054_B2,,Field
