barcode,n_processed_fastq,sample_id
barcode01,255,3D7
barcode02,253,Dd2
barcode03,241,HB3
barcode04,262,IPC3445
barcode05,249,IPC3663
barcode06,251,Human
barcode07,136,NTC1
barcode08,138,NTC
barcode09,249,5053711
barcode10,232,5053727
barcode11,242,5053767
barcode12,245,5053713
barcode13,266,5053715
barcode14,250,5053695
barcode15,219,5053699
barcode16,238,5053705
barcode17,226,5053710
barcode18,225,5053742
barcode19,230,1036151
barcode20,227,1036153
barcode21,232,1036152
barcode22,229,1036154
barcode23,241,1036155
barcode24,266,1036156
barcode25,226,1036157
barcode26,250,1036158
barcode27,229,5053930
barcode28,264,5053929
barcode29,247,5053891
barcode30,256,5053937
barcode31,244,5053933
barcode32,212,5053931
barcode33,240,5053903
barcode34,244,5053898
barcode35,258,5053906
barcode36,244,5053934
barcode37,236,5053936
barcode38,224,8021909
barcode39,266,5053935
barcode40,247,5053907
barcode41,264,5053905
barcode42,264,5053904
barcode43,260,5053932
barcode44,246,5053897
barcode45,268,8021027
barcode46,268,8021010
barcode47,264,8023974
barcode48,255,8023992
barcode49,237,8021039
barcode50,249,8023994
barcode51,263,8021020
barcode52,255,8019450
barcode53,248,8019451
barcode54,235,8019456
barcode55,312,8023245
barcode56,259,8023230
barcode57,232,8023299
barcode58,238,8023302
barcode59,257,8023313
barcode60,243,8023307
barcode61,247,8023304
barcode62,241,8023305
barcode63,245,8023314
barcode64,232,8023296
barcode65,216,8023300
barcode66,220,5053837
barcode67,234,5053831
barcode68,262,5053842
barcode69,226,1012544
barcode70,227,1012412
barcode71,235,1012542
barcode72,241,1012540
barcode73,225,1012559
barcode74,235,1012556
barcode75,254,1012574
barcode76,244,1012543
barcode77,253,1012546
barcode78,233,1012577
barcode79,250,1012538
barcode80,248,1012512
barcode81,246,1012552
barcode82,232,1012579
barcode83,253,1012413
barcode84,236,1012521
barcode85,246,8023340
barcode86,246,8023349
barcode87,277,8023336
barcode88,276,8023334
barcode89,230,8023330
barcode90,221,8023337
barcode91,241,8023332
barcode92,249,8023320
barcode93,244,8023319
barcode94,266,8023323
barcode95,238,8023326
barcode96,166,8023328
unclassified,379,unclassified
