n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
31163,26843,26331,292,220,4320,barcode01,3D7
30487,25458,25085,225,148,5029,barcode02,Dd2
16397,12020,11841,125,54,4377,barcode03,HB3
23467,21389,20891,214,284,2078,barcode04,IPC3445
22298,19793,19138,377,278,2505,barcode05,IPC3663
2721,21,5,10,6,2700,barcode06,Human
4852,11,11,0,0,4841,barcode07,NTC1
154,4,4,0,0,150,barcode08,NTC
33633,29397,28638,531,228,4236,barcode09,8023335
20005,18357,17960,264,133,1648,barcode10,8023345
12626,8888,8659,152,77,3738,barcode11,8023346
18045,16817,16374,289,154,1228,barcode12,8023322
19924,17291,16735,440,116,2633,barcode13,8023338
30416,27655,26958,507,190,2761,barcode14,8023348
19151,16097,15723,297,77,3054,barcode15,8023321
24427,21992,21638,223,131,2435,barcode16,8023347
39343,35500,34732,548,220,3843,barcode17,1040820
23652,20528,20034,367,127,3124,barcode18,8023342
16667,7765,7658,77,30,8902,barcode19,8023285
16535,14710,14346,206,158,1825,barcode20,1012270
49210,46996,46407,317,272,2214,barcode21,8023250
15740,54,14,32,8,15686,barcode22,8023260
15668,6403,6190,157,56,9265,barcode23,1012320
39456,32612,31730,549,333,6844,barcode24,8023251
9355,6294,6219,47,28,3061,barcode25,8023249
26979,23637,23130,323,184,3342,barcode26,8023417
15457,13315,12889,364,62,2142,barcode27,8023441
22992,20178,19664,423,91,2814,barcode28,8023430
22292,19085,18668,303,114,3207,barcode29,8023434
26659,23712,23190,403,119,2947,barcode30,8023421
8973,7423,7285,99,39,1550,barcode31,8023438
18136,17024,16782,135,107,1112,barcode32,8023442
12217,11089,10841,177,71,1128,barcode33,8023427
4719,3200,3149,42,9,1519,barcode34,8023420
25143,23441,22556,695,190,1702,barcode35,8023436
11650,9212,9059,115,38,2438,barcode36,8023351
17784,16183,15769,316,98,1601,barcode37,8023419
19750,16554,16058,347,149,3196,barcode38,8023437
23119,21316,20603,564,149,1803,barcode39,8023432
5,2,2,0,0,3,barcode40,8023426
31318,28157,27328,624,205,3161,barcode41,8023440
32300,30780,29776,780,224,1520,barcode42,1012421
26494,23519,22822,554,143,2975,barcode43,1012435
40668,37736,36545,854,337,2932,barcode44,1012434
20684,16346,16047,245,54,4338,barcode45,1012422
30613,27869,27118,539,212,2744,barcode46,1012415
30994,28047,27308,615,124,2947,barcode47,1012416
10107,7705,7518,140,47,2402,barcode48,1012440
15190,13390,13032,261,97,1800,barcode49,1012424
23753,21537,21037,364,136,2216,barcode50,1012419
24309,21602,21047,396,159,2707,barcode51,1012447
19129,16330,15934,323,73,2799,barcode52,1012431
19732,16519,16009,367,143,3213,barcode53,1012449
20127,16916,16575,175,166,3211,barcode54,1012428
19556,17191,16879,212,100,2365,barcode55,1012427
28032,25855,25105,554,196,2177,barcode56,1012426
19100,17072,16419,590,63,2028,barcode57,1012430
16326,15239,14602,521,116,1087,barcode58,1012450
15832,13205,12895,253,57,2627,barcode59,1012423
19145,16922,16541,317,64,2223,barcode60,1012425
17708,13167,12875,202,90,4541,barcode61,1012420
8823,7844,7634,151,59,979,barcode62,1012443
23641,20726,20095,450,181,2915,barcode63,1012438
15741,12520,12100,319,101,3221,barcode64,1012433
17068,14443,14167,209,67,2625,barcode65,1012444
13446,11930,11671,186,73,1516,barcode66,1012436
44619,42509,41718,522,269,2110,barcode67,1012418
26211,23343,22809,331,203,2868,barcode68,1012374
13486,9254,9129,94,31,4232,barcode69,1012383
26474,22881,22394,318,169,3593,barcode70,1012385
32448,28823,27986,533,304,3625,barcode71,1012394
19993,18023,17575,305,143,1970,barcode72,1012382
25034,22454,21791,518,145,2580,barcode73,1012386
12921,11522,11080,387,55,1399,barcode74,1012353
11591,8433,8241,145,47,3158,barcode75,1012375
15953,13361,12986,299,76,2592,barcode76,1012346
12012,10229,9991,186,52,1783,barcode77,1012349
6066,4641,4561,37,43,1425,barcode78,1012342
21783,19519,19044,321,154,2264,barcode79,1012402
3540,2821,2759,46,16,719,barcode80,1012343
17544,16159,15757,274,128,1385,barcode81,1012368
23025,20276,19819,280,177,2749,barcode82,1012407
15820,14678,14292,301,85,1142,barcode83,1012358
18695,17038,16565,350,123,1657,barcode84,1012381
17627,12144,11976,80,88,5483,barcode85,1012362
18560,15590,15173,260,157,2970,barcode86,1012364
20664,17463,17278,108,77,3201,barcode87,1012387
34112,30897,30281,379,237,3215,barcode88,1012363
28422,25625,24846,590,189,2797,barcode89,8021832
14521,11139,10931,167,41,3382,barcode90,8021848
13982,10845,10656,155,34,3137,barcode91,8021849
16743,14177,13821,283,73,2566,barcode92,8021863
19619,16768,16325,366,77,2851,barcode93,8021866
36872,33926,32621,1014,291,2946,barcode94,8021867
20103,18523,18143,278,102,1580,barcode95,8021884
28593,26959,26155,553,251,1634,barcode96,8021899
127246,104944,102318,1721,905,22302,unclassified,unclassified
