expt_id_PCR,expt_date_PCR,expt_user_PCR,expt_version_PCR,expt_assay,expt_notes_PCR,expt_summary_PCR,expt_rxns_PCR,pcr_primers,pcr_primersource,pcr_targetpanel,pcr_template_vol,pcr_enzyme,pcr_product_ngul,expt_id_seqlib,expt_date_seqlib,expt_user_seqlib,expt_sub-type,expt_version_seqlib,expt_notes_seqlib,expt_summary_seqlib,expt_rxns_seqlib,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_massloaded_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,seqlib_identifier,barcode,pcrproductadded_vol_ul,sample_id,extraction_id,pcr_identifier,swga_identifier,sample_type
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,57.0,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_A1,barcode01,10,3D7a,3D7,PCBM056_A1,,Positive
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,22.6,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_B1,barcode02,10,Dd2a,Dd2,PCBM056_B1,,Positive
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,28.2,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_C1,barcode03,10,HB3a,HB3,PCBM056_C1,,Positive
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,49.2,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_D1,barcode04,10,IPC3445a,IPC3445,PCBM056_D1,,Positive
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,53.6,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_E1,barcode05,10,IPC3663a,IPC3663,PCBM056_E1,,Positive
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,1.72,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_F1,barcode06,10,Humana,Human,PCBM056_F1,,Negative
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,0.0348,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_G1,barcode07,10,NTCa,NTC,PCBM056_G1,,Negative
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,0.0272,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_H1,barcode08,10,NTCb,NTC,PCBM056_H1,,Negative
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,39.0,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_A2,barcode09,10,01039196,DR738,PCBM056_A2,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,20.8,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_B2,barcode10,10,01039181,DR739,PCBM056_B2,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,28.2,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_C2,barcode11,10,01039198,DR741,PCBM056_C2,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,0.0692,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_D2,barcode12,10,1039183,DR740,PCBM056_D2,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,29.8,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_E2,barcode13,10,01039151,DR742,PCBM056_E2,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,31.2,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_F2,barcode14,10,01039172,DR743,PCBM056_F2,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,14.2,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_G2,barcode15,10,01039157,DR744,PCBM056_G2,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,41.8,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_H2,barcode16,10,01039153,DR745,PCBM056_H2,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,34.8,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_A3,barcode17,10,8021793,DR747,PCBM056_A3,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,15.0,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_B3,barcode18,10,8021802,DR748,PCBM056_B3,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,22.0,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_C3,barcode19,10,01039191,DR749,PCBM056_C3,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,55.6,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_D3,barcode20,10,8021801,DR751,PCBM056_D3,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,22.6,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_E3,barcode21,10,8021795,DR752,PCBM056_E3,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,5.58,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_F3,barcode22,10,8021792,DR753,PCBM056_F3,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,44.0,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_G3,barcode23,10,8021789,DR754,PCBM056_G3,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,19.9,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_H3,barcode24,10,8021803,DR755,PCBM056_H3,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,6.36,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_A4,barcode25,10,01039178,DR758,PCBM056_A4,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,9.98,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_B4,barcode26,10,8021798,DR759,PCBM056_B4,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,5.78,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_C4,barcode27,10,01039179,DR760,PCBM056_C4,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,3.58,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_D4,barcode28,10,8021796,DR762,PCBM056_D4,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,27.6,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_E4,barcode29,10,8021800,DR763,PCBM056_E4,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,20.4,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_F4,barcode30,10,8021799,DR764,PCBM056_F4,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,37.0,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_G4,barcode31,10,8021790,DR767,PCBM056_G4,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,18.3,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_H4,barcode32,10,01039147,DR768,PCBM056_H4,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,38.2,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_A5,barcode33,10,8021788,DR769,PCBM056_A5,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,14.9,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_B5,barcode34,10,01039149,DR773,PCBM056_B5,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,25.6,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_C5,barcode35,10,01039197,DR774,PCBM056_C5,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,24.8,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_D5,barcode36,10,01039190,DR776,PCBM056_D5,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,0.0602,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_E5,barcode37,10,01039177,DR778,PCBM056_E5,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,2.92,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_F5,barcode38,10,4043605,DR779,PCBM056_F5,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,10.2,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_G5,barcode39,10,4043679,DR788,PCBM056_G5,,Field
PCBM056,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey in 2024 Sample Ids DR738- DR867. Repeated with new primer pool,HRP2/3_Batch12,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,19.0,SLBM008,2025-07-03,Brenda Mambwe,rapid,3,,HRP22024_Batch12,96,200,10,,,800,,11,,R10.4.1,,,,,SLBM008_H5,barcode40,10,4043674,DR789,PCBM056_H5,,Field
