barcode,n_processed_fastq,sample_id
barcode01,433,3D7a
barcode02,432,Dd2a
barcode03,425,HB3a
barcode04,432,IPC3445a
barcode05,426,IPC3663a
barcode06,356,Humana
barcode07,252,NTCa
barcode08,263,NTCb
barcode09,432,1039196
barcode10,431,1039181
barcode11,432,1039198
barcode12,203,1039183
barcode13,432,1039151
barcode14,432,1039172
barcode15,425,1039157
barcode16,433,1039153
barcode17,433,8021793
barcode18,432,8021802
barcode19,432,1039191
barcode20,433,8021801
barcode21,433,8021795
barcode22,428,8021792
barcode23,432,8021789
barcode24,431,8021803
barcode25,427,1039178
barcode26,426,8021798
barcode27,421,1039179
barcode28,423,8021796
barcode29,432,8021800
barcode30,432,8021799
barcode31,432,8021790
barcode32,427,1039147
barcode33,429,8021788
barcode34,432,1039149
barcode35,431,1039197
barcode36,432,1039190
barcode37,223,1039177
barcode38,427,4043605
barcode39,429,4043679
barcode40,433,4043674
barcode41,428,4043612
barcode42,432,4043630
barcode43,428,4043609
barcode44,432,4043681
barcode45,432,4043677
barcode46,427,4043673
barcode47,432,4043683
barcode48,432,4043669
barcode49,432,3D7
barcode50,433,Dd2
barcode51,432,HB3
barcode52,432,IPC3445
barcode53,432,IPC3663
barcode54,270,Human
barcode55,251,NTC1
barcode56,244,NTC2
barcode57,432,4043675
barcode58,432,4043666
barcode59,433,4043668
barcode60,432,4043616
barcode61,431,4043623
barcode62,428,4043619
barcode63,432,4043628
barcode64,432,4043613
barcode65,418,4043608
barcode66,387,4043626
barcode67,432,4043617
barcode68,433,4043627
barcode69,415,4043625
barcode70,307,1038996
barcode71,412,8035520
barcode72,423,1038998
barcode73,397,1039023
barcode74,407,1038993
barcode75,428,1039024
barcode76,428,1038997
barcode77,432,1039033
barcode78,423,1039027
barcode79,432,1039025
barcode80,428,1039022
barcode81,432,1039021
barcode82,431,8035511
barcode83,429,1039029
barcode84,431,1039037
barcode85,432,1039032
barcode86,432,4043515
barcode87,432,4043509
barcode88,432,4043506
barcode89,318,4043511
barcode90,431,4043510
barcode91,408,4043505
barcode92,433,4043502
barcode93,432,4043508
barcode94,432,4043568
barcode95,426,8035515
barcode96,432,8035504
unclassified,433,unclassified
