expt_id_PCR,expt_date_PCR,expt_user_PCR,expt_version_PCR,expt_assay,expt_notes_PCR,expt_summary_PCR,expt_rxns_PCR,pcr_primers,pcr_primersource,pcr_targetpanel,pcr_template_vol,pcr_enzyme,pcr_product_ngul,expt_id_seqlib,expt_date_seqlib,expt_user_seqlib,expt_sub-type,expt_version_seqlib,expt_notes_seqlib,expt_summary_seqlib,expt_rxns_seqlib,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_massloaded_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,seqlib_identifier,barcode,pcrproductadded_vol_ul,sample_id,extraction_id,pcr_identifier,swga_identifier,sample_type
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,47.2,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_A1,barcode01,10,3D7,3D7,PCBM057_A1,,Positive
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,20.6,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_B1,barcode02,10,Dd2,Dd2,PCBM057_B1,,Positive
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,14.6,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_C1,barcode03,10,HB3,HB3,PCBM057_C1,,Positive
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,35.0,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_D1,barcode04,10,IPC3445,IPC3445,PCBM057_D1,,Positive
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,43.6,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_E1,barcode05,10,IPC3663,IPC3663,PCBM057_E1,,Positive
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,0.656,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_F1,barcode06,10,Human,Human,PCBM057_F1,,Negative
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,0.0252,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_G1,barcode07,10,NTC1,NTC2,PCBM057_G1,,Negative
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,0.0808,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_H1,barcode08,10,NTC,NTC3,PCBM057_H1,,Negative
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,43.0,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_A2,barcode09,10,4043513,DR868,PCBM057_A2,,Field
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,18.2,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_B2,barcode10,10,01039086,DR869,PCBM057_B2,,Field
