barcode,sample_id,extraction_id,sample_type
barcode01,3D7,3D7,Positive
barcode02,Dd2,Dd2,Positive
barcode03,HB3,HB3,Positive
barcode04,IPC3445,IPC3445,Positive
barcode05,Human,Human,Negative
barcode06,NTC,NTC,Negative
barcode07,8032905,EE720,Field
barcode08,8032906,EE721,Field
barcode09,8032908,EE722,Field
barcode10,8032910,EE723,Field
barcode11,8032911,EE724,Field
barcode12,8032913,EE725,Field
barcode13,8032915,EE726,Field
barcode14,8032916,EE727,Field
barcode15,8032917,EE728,Field
barcode16,8032918,EE729,Field
barcode17,8032920,EE730,Field
barcode18,8032921,EE731,Field
barcode19,8032922,EE732,Field
barcode20,8032926,EE733,Field
barcode21,8032931,EE734,Field
barcode22,8032932,EE735,Field
barcode23,8011172,EE847,Field
barcode24,8011174,EE848,Field
barcode25,8011175,EE849,Field
barcode26,8011176,EE850,Field
barcode27,8011177,EE851,Field
barcode28,8011178,EE852,Field
barcode29,8011478,EE853,Field
barcode30,8011479,EE854,Field
barcode31,8011485,EE855,Field
barcode32,8011486,EE856,Field
barcode33,8011487,EE857,Field
barcode34,8022910,EE859,Field
barcode35,8022911,EE860,Field
barcode36,8022912,EE861,Field
barcode37,8022913,EE862,Field
barcode38,8022914,EE863,Field
barcode39,8022916,EE864,Field
barcode40,8022938,EE865,Field
barcode41,8022941,EE866,Field
barcode42,8022943,EE868,Field
barcode43,8022944,EE869,Field
barcode44,8022946,EE870,Field
barcode45,8022947,EE871,Field
barcode46,8022955,EE873,Field
barcode47,8022961,EE874,Field
barcode48,8022963,EE875,Field
barcode49,8031225,EE876,Field
barcode50,8031227,EE877,Field
barcode51,8031230,EE878,Field
barcode52,8031231,EE879,Field
barcode53,8031233,EE880,Field
barcode54,8031238,EE881,Field
barcode55,8031239,EE882,Field
barcode56,8031240,EE883,Field
barcode57,8031241,EE884,Field
barcode58,8031242,EE885,Field
barcode59,8031243,EE886,Field
barcode60,8031244,EE887,Field
barcode61,8031245,EE888,Field
barcode62,8031246,EE889,Field
barcode63,8031247,EE890,Field
barcode64,8031248,EE891,Field
barcode65,8031249,EE892,Field
barcode66,8011800,EE893,Field
barcode67,8011801,EE894,Field
barcode68,8011802,EE895,Field
barcode69,8011803,EE896,Field
barcode70,8011804,EE897,Field
barcode71,8011809,EE898,Field
barcode72,8011810,EE899,Field
barcode73,8011813,EE900,Field
barcode74,8011814,EE901,Field
barcode75,8011815,EE902,Field
barcode76,8011818,EE904,Field
barcode77,8011819,EE905,Field
barcode78,8011821,EE906,Field
barcode79,8011823,EE908,Field
barcode80,8011826,EE909,Field
barcode81,8011827,EE910,Field
barcode82,8011828,EE911,Field
barcode83,8011832,EE913,Field
barcode84,8011833,EE914,Field
barcode85,8011835,EE916,Field
barcode86,8011837,EE917,Field
barcode87,8011839,EE919,Field
barcode88,8011840,EE921,Field
barcode89,8011844,EE922,Field
barcode90,8011851,EE925,Field
barcode91,8011854,EE926,Field
barcode92,8011855,EE927,Field
barcode93,8011861,EE929,Field
barcode94,8011862,EE930,Field
barcode95,8011863,EE931,Field
barcode96,8011864,EE932,Field
