barcode,n_processed_fastq,sample_id
barcode01,433,3D7
barcode02,432,Dd2
barcode03,433,HB3
barcode04,433,IPC3445
barcode05,432,Human
barcode06,433,NTC
barcode07,433,8032905
barcode08,433,8032906
barcode09,433,8032908
barcode10,433,8032910
barcode11,433,8032911
barcode12,433,8032913
barcode13,433,8032915
barcode14,433,8032916
barcode15,433,8032917
barcode16,433,8032918
barcode17,433,8032920
barcode18,433,8032921
barcode19,433,8032922
barcode20,433,8032926
barcode21,433,8032931
barcode22,433,8032932
barcode23,433,8011172
barcode24,433,8011174
barcode25,433,8011175
barcode26,432,8011176
barcode27,433,8011177
barcode28,433,8011178
barcode29,433,8011478
barcode30,433,8011479
barcode31,433,8011485
barcode32,432,8011486
barcode33,433,8011487
barcode34,433,8022910
barcode35,432,8022911
barcode36,433,8022912
barcode37,433,8022913
barcode38,432,8022914
barcode39,432,8022916
barcode40,395,8022938
barcode41,433,8022941
barcode42,433,8022943
barcode43,433,8022944
barcode44,433,8022946
barcode45,433,8022947
barcode46,432,8022955
barcode47,433,8022961
barcode48,433,8022963
barcode49,433,8031225
barcode50,433,8031227
barcode51,433,8031230
barcode52,433,8031231
barcode53,432,8031233
barcode54,433,8031238
barcode55,433,8031239
barcode56,433,8031240
barcode57,433,8031241
barcode58,432,8031242
barcode59,433,8031243
barcode60,433,8031244
barcode61,433,8031245
barcode62,433,8031246
barcode63,433,8031247
barcode64,433,8031248
barcode65,433,8031249
barcode66,432,8011800
barcode67,433,8011801
barcode68,432,8011802
barcode69,433,8011803
barcode70,433,8011804
barcode71,433,8011809
barcode72,433,8011810
barcode73,433,8011813
barcode74,433,8011814
barcode75,433,8011815
barcode76,433,8011818
barcode77,433,8011819
barcode78,433,8011821
barcode79,433,8011823
barcode80,432,8011826
barcode81,433,8011827
barcode82,432,8011828
barcode83,433,8011832
barcode84,433,8011833
barcode85,433,8011835
barcode86,433,8011837
barcode87,433,8011839
barcode88,433,8011840
barcode89,431,8011844
barcode90,432,8011851
barcode91,433,8011854
barcode92,433,8011855
barcode93,432,8011861
barcode94,433,8011862
barcode95,433,8011863
barcode96,433,8011864
unclassified,433,unclassified
