n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
81247,71466,69569,1695,202,9781,barcode01,3D7
24113,20695,20058,527,110,3418,barcode02,Dd2
44661,37758,36499,1105,154,6903,barcode03,HB3
84811,82359,80212,1092,1055,2452,barcode04,IPC3445
29424,57,21,27,9,29367,barcode05,Human
3675,29,28,1,0,3646,barcode06,NTC
71114,67005,63783,2902,320,4109,barcode07,8032905
69048,67627,65244,2064,319,1421,barcode08,8032906
57648,54733,52025,2499,209,2915,barcode09,8032908
24785,23010,21859,1076,75,1775,barcode10,8032910
55748,53559,50772,2448,339,2189,barcode11,8032911
23528,22640,20728,1849,63,888,barcode12,8032913
78889,77218,74942,1861,415,1671,barcode13,8032915
67867,66098,63695,1948,455,1769,barcode14,8032916
75032,73550,70953,2200,397,1482,barcode15,8032917
84522,82825,79098,3414,313,1697,barcode16,8032918
42566,39639,37613,1836,190,2927,barcode17,8032920
46876,45430,43788,1412,230,1446,barcode18,8032921
46480,43627,42037,1334,256,2853,barcode19,8032922
51853,50774,49018,1384,372,1079,barcode20,8032926
39713,37374,36114,1041,219,2339,barcode21,8032931
44695,41857,40307,1321,229,2838,barcode22,8032932
56157,54198,51977,1800,421,1959,barcode23,8011172
56241,54170,51837,1924,409,2071,barcode24,8011174
79583,77919,76018,1423,478,1664,barcode25,8011175
76919,74416,72142,1885,389,2503,barcode26,8011176
54148,53064,51308,1553,203,1084,barcode27,8011177
69366,68139,65912,1828,399,1227,barcode28,8011178
75519,73630,71262,2054,314,1889,barcode29,8011478
72604,70387,68233,1853,301,2217,barcode30,8011479
65732,64153,62260,1587,306,1579,barcode31,8011485
67108,65636,63715,1527,394,1472,barcode32,8011486
40682,39416,37938,1325,153,1266,barcode33,8011487
54949,53978,52171,1517,290,971,barcode34,8022910
45152,44426,42755,1316,355,726,barcode35,8022911
47536,45051,43559,1222,270,2485,barcode36,8022912
28298,26757,25647,995,115,1541,barcode37,8022913
11592,6757,6523,202,32,4835,barcode38,8022914
26599,24297,22851,1284,162,2302,barcode39,8022916
1405,608,575,32,1,797,barcode40,8022938
33863,30733,29266,1346,121,3130,barcode41,8022941
50019,46960,43880,2898,182,3059,barcode42,8022943
31896,29786,27581,2132,73,2110,barcode43,8022944
86438,84278,81256,2544,478,2160,barcode44,8022946
78058,75516,72550,2586,380,2542,barcode45,8022947
9459,21,14,7,0,9438,barcode46,8022955
47353,45865,44070,1586,209,1488,barcode47,8022961
49672,46720,44966,1584,170,2952,barcode48,8022963
33381,30925,28753,1349,823,2456,barcode49,8031225
44922,40604,38211,1934,459,4318,barcode50,8031227
60424,58326,56413,1145,768,2098,barcode51,8031230
22887,17997,16918,1022,57,4890,barcode52,8031231
40447,38582,36664,1278,640,1865,barcode53,8031233
50163,48424,46119,1247,1058,1739,barcode54,8031238
124108,121567,116472,3582,1513,2541,barcode55,8031239
94561,92354,87562,2814,1978,2207,barcode56,8031240
66015,63961,60648,2105,1208,2054,barcode57,8031241
30781,29381,27609,1001,771,1400,barcode58,8031242
37374,35316,32993,1270,1053,2058,barcode59,8031243
48729,46412,44074,1462,876,2317,barcode60,8031244
41383,39378,37313,1226,839,2005,barcode61,8031245
30416,29262,27843,739,680,1154,barcode62,8031246
74749,72245,68236,2733,1276,2504,barcode63,8031247
80243,77018,73041,2309,1668,3225,barcode64,8031248
52642,50200,47787,1458,955,2442,barcode65,8031249
33921,33158,31696,768,694,763,barcode66,8011800
44522,42814,40852,1126,836,1708,barcode67,8011801
61568,58963,55920,2042,1001,2605,barcode68,8011802
43248,40707,38394,1831,482,2541,barcode69,8011803
59875,58066,54854,1806,1406,1809,barcode70,8011804
46470,44606,42397,1477,732,1864,barcode71,8011809
70685,69153,65369,2395,1389,1532,barcode72,8011810
65960,63201,58839,2730,1632,2759,barcode73,8011813
64625,63608,60568,1878,1162,1017,barcode74,8011814
20729,16427,14986,1060,381,4302,barcode75,8011815
46303,44646,42656,1379,611,1657,barcode76,8011818
39481,37463,35705,1115,643,2018,barcode77,8011819
33499,31766,30418,898,450,1733,barcode78,8011821
51949,51029,48445,1734,850,920,barcode79,8011823
32578,31062,29646,939,477,1516,barcode80,8011826
75040,73432,70433,1372,1627,1608,barcode81,8011827
31163,26789,24930,1655,204,4374,barcode82,8011828
64765,62295,58959,1441,1895,2470,barcode83,8011832
63757,62350,60039,1225,1086,1407,barcode84,8011833
84533,82052,79231,1631,1190,2481,barcode85,8011835
4655,2772,2577,190,5,1883,barcode86,8011837
21706,13624,12375,1229,20,8082,barcode87,8011839
71425,69306,66160,1998,1148,2119,barcode88,8011840
3300,335,335,0,0,2965,barcode89,8011844
61951,59200,57052,1088,1060,2751,barcode90,8011851
19075,14424,13646,680,98,4651,barcode91,8011854
88628,86255,82592,2360,1303,2373,barcode92,8011855
10914,6830,6017,796,17,4084,barcode93,8011861
65263,62955,58698,2767,1490,2308,barcode94,8011862
55813,54761,52726,1162,873,1052,barcode95,8011863
44026,42907,40944,833,1130,1119,barcode96,8011864
306092,279464,268340,7394,3730,26628,unclassified,unclassified
