n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
64376,61759,59795,683,1281,2617,barcode01,3D7
42003,38916,37649,421,846,3087,barcode02,Dd2
64221,63548,61998,515,1035,673,barcode03,HB3
34476,33846,32734,380,732,630,barcode04,IPC3445
28393,27886,26485,653,748,507,barcode05,IPC3663
11912,22,8,11,3,11890,barcode06,Human
136,13,13,0,0,123,barcode07,NTC
676,3,3,0,0,673,barcode08,8030860
10266,8109,7711,343,55,2157,barcode09,8030861
12144,10411,10095,223,93,1733,barcode10,8030874
2968,651,639,10,2,2317,barcode11,8030875
3307,13,6,6,1,3294,barcode12,8030883
22252,20829,19747,917,165,1423,barcode13,8030884
31876,30883,29382,593,908,993,barcode14,8030885
2044,13,9,4,0,2031,barcode15,8030887
20162,19804,18884,474,446,358,barcode16,8030892
815,17,16,1,0,798,barcode17,8030893
4781,657,656,1,0,4124,barcode18,8030896
2473,1027,953,70,4,1446,barcode19,8030904
2328,257,256,0,1,2071,barcode20,8030905
1351,11,9,1,1,1340,barcode21,8030907
21692,20213,19535,465,213,1479,barcode22,8030910
25926,25318,24456,361,501,608,barcode23,8011159
21278,20333,19741,344,248,945,barcode24,8011162
33720,32052,31072,540,440,1668,barcode25,8011164
39033,37879,36170,1270,439,1154,barcode26,8011166
29015,28643,27614,470,559,372,barcode27,8011167
51107,50424,48422,1155,847,683,barcode28,8031937
21308,20396,19618,551,227,912,barcode29,8031944
32308,31706,30653,606,447,602,barcode30,8031945
22749,22426,21691,443,292,323,barcode31,8031946
16481,16014,15378,400,236,467,barcode32,8031947
27861,27230,26363,477,390,631,barcode33,8031948
40061,39271,37710,962,599,790,barcode34,8031949
29263,28674,27182,549,943,589,barcode35,8031959
3488,648,646,2,0,2840,barcode36,8031960
37128,36477,35598,352,527,651,barcode37,8031961
38741,37695,36386,685,624,1046,barcode38,8031962
8506,375,375,0,0,8131,barcode39,8031963
40076,39166,37759,744,663,910,barcode40,8031964
21885,20364,19600,631,133,1521,barcode41,8031965
34679,33761,32417,821,523,918,barcode42,8031966
19134,14193,13427,744,22,4941,barcode43,8031967
53412,52262,50380,947,935,1150,barcode44,8031973
49712,48220,46551,1028,641,1492,barcode45,8031975
39937,39152,37430,608,1114,785,barcode46,8031977
2228,10,10,0,0,2218,barcode47,8031979
1181,67,67,0,0,1114,barcode48,8031980
35959,35073,33646,578,849,886,barcode49,8031981
47389,46302,44543,894,865,1087,barcode50,8031982
53364,52081,49996,1107,978,1283,barcode51,8010682
23541,21161,20399,682,80,2380,barcode52,8010683
30308,28201,26676,1150,375,2107,barcode53,8010684
4060,1469,1448,11,10,2591,barcode54,8010689
2983,1044,1038,0,6,1939,barcode55,8010691
48904,48121,46275,1010,836,783,barcode56,8010692
38680,38021,36827,594,600,659,barcode57,8010694
21423,21033,20239,502,292,390,barcode58,8010695
35691,34549,32685,936,928,1142,barcode59,8010699
35840,35123,33626,1034,463,717,barcode60,8010700
36954,35801,34518,833,450,1153,barcode61,8010702
18208,17773,17175,262,336,435,barcode62,8010703
39908,38983,37602,787,594,925,barcode63,8010705
45260,43933,42226,915,792,1327,barcode64,8010706
38676,38032,36792,509,731,644,barcode65,8010707
23288,22807,22000,518,289,481,barcode66,8010708
2109,1455,1407,47,1,654,barcode67,8010709
49290,48174,46077,1256,841,1116,barcode68,8010711
38595,37612,36296,793,523,983,barcode69,8010715
27158,26227,25167,607,453,931,barcode70,8010717
30592,29991,28906,647,438,601,barcode71,8010938
31143,30541,29652,401,488,602,barcode72,8010940
41047,39922,38750,594,578,1125,barcode73,8010942
32556,31985,30886,464,635,571,barcode74,8010943
36096,34712,33407,577,728,1384,barcode75,8010944
35926,35282,34117,702,463,644,barcode76,8010957
32049,31512,30351,860,301,537,barcode77,8010960
28561,28064,27114,502,448,497,barcode78,8010961
26264,25679,24948,493,238,585,barcode79,8010965
23840,23417,22622,461,334,423,barcode80,8010966
31970,31496,30256,557,683,474,barcode81,8010967
2193,1224,1195,27,2,969,barcode82,8010968
36649,35916,34862,557,497,733,barcode83,8010969
33928,33034,31899,580,555,894,barcode84,8010970
18291,16555,16099,340,116,1736,barcode85,8010973
24594,23555,22649,540,366,1039,barcode86,8010974
52564,51771,49879,1197,695,793,barcode87,8010975
235,9,9,0,0,226,barcode88,8010976
601,195,195,0,0,406,barcode89,8010978
430,135,134,1,0,295,barcode90,8010979
34098,33012,31785,759,468,1086,barcode91,8010983
37660,36800,35701,616,483,860,barcode92,8010984
33041,31977,30881,609,487,1064,barcode93,8010985
18149,16901,16614,220,67,1248,barcode94,8010988
28944,28205,27399,520,286,739,barcode95,8010990
29955,29640,28789,484,367,315,barcode96,8010992
145126,134450,129474,2455,2521,10676,unclassified,unclassified
