barcode,n_processed_fastq,sample_id
barcode01,24,3D7
barcode02,24,Dd2
barcode03,24,HB3
barcode04,24,IPC3445
barcode05,24,Human
barcode06,24,NTC
barcode07,24,8010994
barcode08,24,8010995
barcode09,24,8010996
barcode10,24,8010997
barcode11,24,8011866
barcode12,24,8011875
barcode13,24,8011877
barcode14,24,8011886
barcode15,24,8011887
barcode16,24,8011888
barcode17,24,8011891
barcode18,24,8011895
barcode19,24,8011897
barcode20,24,8011898
barcode21,24,8011902
barcode22,24,8011904
barcode23,24,8011932
barcode24,6,8011938
barcode25,24,8011940
barcode26,24,8011950
barcode27,24,8011962
barcode28,24,8012421
barcode29,24,8012422
barcode30,24,8012423
barcode31,24,8012427
barcode32,24,8012433
barcode33,24,8012434
barcode34,24,8012435
barcode35,24,8012436
barcode36,24,8012437
barcode37,24,8012438
barcode38,24,8012442
barcode39,24,8012443
barcode40,24,8012445
barcode41,24,8012446
barcode42,24,8012447
barcode43,24,8012448
barcode44,24,8012449
barcode45,24,8012451
barcode46,24,8012452
barcode47,24,8012453
barcode48,24,8012454
barcode49,24,8012455
barcode50,24,8012456
barcode51,24,8012458
barcode52,24,8012460
barcode53,24,8012463
barcode54,24,8012464
barcode55,24,8012466
barcode56,24,8012467
barcode57,24,8012468
barcode58,24,8012469
barcode59,24,8012470
barcode60,24,8012471
barcode61,24,8012472
barcode62,24,8012473
barcode63,24,8012476
barcode64,24,8012477
barcode65,24,8012478
barcode66,24,8012480
barcode67,24,8012481
barcode68,24,8012482
barcode69,24,8012483
barcode70,24,8012484
barcode71,24,8012485
barcode72,24,8012487
barcode73,24,8012489
barcode74,24,8012491
barcode75,24,8012492
barcode76,24,8012493
barcode77,24,8012497
barcode78,24,8012499
barcode79,24,8012500
barcode80,24,8013936
barcode81,24,8013937
barcode82,24,8013938
barcode83,24,8013940
barcode84,24,8013941
barcode85,24,8013942
barcode86,24,8013943
barcode87,24,8013944
barcode88,24,8013945
barcode89,24,8013946
barcode90,24,8013948
barcode91,24,8013950
barcode92,24,8013952
barcode93,24,8013425
barcode94,24,8013428
barcode95,24,8013429
barcode96,24,8013430
unclassified,24,unclassified
