barcode,sample_id,extraction_id,sample_type
barcode01,3D7,3D7,Positive
barcode02,Dd2,Dd2,Positive
barcode03,HB3,HB3,Positive
barcode04,IPC3445,IPC3445,Positive
barcode05,Human,Human,Negative
barcode06,NTC,NTC,Negative
barcode07,8022840,EF469,Field
barcode08,8022841,EF470,Field
barcode09,8022843,EF471,Field
barcode10,8022846,EF472,Field
barcode11,8022851,EF474,Field
barcode12,8022854,EF476,Field
barcode13,8022859,EF478,Field
barcode14,8022861,EF480,Field
barcode15,8022862,EF481,Field
barcode16,8022863,EF482,Field
barcode17,8022865,EF483,Field
barcode18,8022866,EF484,Field
barcode19,8022868,EF485,Field
barcode20,8022869,EF486,Field
barcode21,8022872,EF487,Field
barcode22,8022873,EF488,Field
barcode23,8022874,EF489,Field
barcode24,8022875,EF490,Field
barcode25,8022876,EF491,Field
barcode26,8022877,EF492,Field
barcode27,8022878,EF493,Field
barcode28,8022879,EF494,Field
barcode29,8022880,EF495,Field
barcode30,8022881,EF496,Field
barcode31,8022882,EF497,Field
barcode32,8022883,EF498,Field
barcode33,8022885,EF499,Field
barcode34,8022887,EF500,Field
barcode35,8022889,EF501,Field
barcode36,8022890,EF502,Field
barcode37,8022891,EF503,Field
barcode38,8023650,EF510,Field
barcode39,8023655,EF512,Field
barcode40,8023660,EF515,Field
barcode41,8023663,EF516,Field
barcode42,8023671,EF520,Field
barcode43,8023679,EF524,Field
barcode44,8023680,EF525,Field
barcode45,8023683,EF527,Field
barcode46,8023687,EF528,Field
barcode47,8023689,EF529,Field
barcode48,8023690,EF530,Field
barcode49,8023698,EF533,Field
barcode50,8023700,EF535,Field
barcode51,8023701,EF536,Field
barcode52,8023713,EF538,Field
barcode53,8030695,EF540,Field
barcode54,8033086,EF542,Field
barcode55,8033087,EF543,Field
barcode56,8033089,EF544,Field
barcode57,8033091,EF545,Field
barcode58,8033093,EF546,Field
barcode59,8033094,EF547,Field
barcode60,8033100,EF548,Field
barcode61,8033101,EF549,Field
barcode62,8033105,EF551,Field
barcode63,8033113,EF554,Field
barcode64,8033114,EF555,Field
barcode65,8033115,EF556,Field
barcode66,8033116,EF557,Field
barcode67,8033117,EF558,Field
barcode68,8033118,EF559,Field
barcode69,8033119,EF560,Field
barcode70,8033121,EF561,Field
barcode71,8033123,EF562,Field
barcode72,8033125,EF563,Field
barcode73,8033126,EF564,Field
barcode74,8033127,EF565,Field
barcode75,8033128,EF566,Field
barcode76,8033143,EF574,Field
barcode77,8033144,EF575,Field
barcode78,8033146,EF576,Field
barcode79,8033147,EF577,Field
barcode80,8033138,EF578,Field
barcode81,8033148,EF579,Field
barcode82,8033149,EF580,Field
barcode83,8033150,EF581,Field
barcode84,8033155,EF582,Field
barcode85,8033156,EF583,Field
barcode86,8033157,EF584,Field
barcode87,8033158,EF585,Field
barcode88,8033160,EF586,Field
barcode89,8033162,EF587,Field
barcode90,8033164,EF588,Field
barcode91,8033165,EF589,Field
barcode92,8033167,EF590,Field
barcode93,8033168,EF591,Field
barcode94,8033169,EF592,Field
barcode95,8033170,EF593,Field
barcode96,8033171,EF594,Field
