n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
79551,75811,72173,1270,2368,3740,barcode01,3D7
27148,24263,22572,421,1270,2885,barcode02,Dd2
37038,36502,35021,345,1136,536,barcode03,HB3
55122,54078,50422,1528,2128,1044,barcode04,IPC3663
7689,22,11,5,6,7667,barcode05,Human
225,5,5,0,0,220,barcode06,NTC
33291,30917,29266,1063,588,2374,barcode07,1023530
21795,20722,20051,464,207,1073,barcode08,1023529
28348,26802,25465,779,558,1546,barcode09,1023531
47657,46125,43711,1488,926,1532,barcode10,1023532
1729,1147,1106,23,18,582,barcode11,1023580
38451,37528,35564,1218,746,923,barcode12,1023581
20215,18196,16808,926,462,2019,barcode13,1023585
61595,59930,56744,1933,1253,1665,barcode14,1023584
27891,26614,24992,921,701,1277,barcode15,1023555
5681,21,9,6,6,5660,barcode16,1023509
16439,15691,14832,334,525,748,barcode17,1023564
23676,22566,21524,674,368,1110,barcode18,1023569
11490,11098,10575,193,330,392,barcode19,1023568
25329,24454,23256,596,602,875,barcode20,1023583
34826,33587,32185,737,665,1239,barcode21,1023553
2050,844,807,18,19,1206,barcode22,3031049
4849,3951,3649,196,106,898,barcode23,3031048
30501,28242,26310,1091,841,2259,barcode24,1023595
3134,2369,2254,83,32,765,barcode25,1023597
14832,14127,13435,389,303,705,barcode26,1023598
25793,25192,24033,574,585,601,barcode27,1023599
37219,36063,34335,1036,692,1156,barcode28,1023544
3442,233,222,10,1,3209,barcode29,1023547
40945,39432,37725,1141,566,1513,barcode30,1023550
1597,161,153,5,3,1436,barcode31,1023548
28487,27482,26239,560,683,1005,barcode32,1023549
11117,10260,8674,1324,262,857,barcode33,1021432
8075,7068,6712,199,157,1007,barcode34,1021372
37052,36002,34334,899,769,1050,barcode35,1021367
39332,38110,36266,1139,705,1222,barcode36,1021365
41622,40770,38666,1443,661,852,barcode37,1021364
43176,40718,38831,1324,563,2458,barcode38,1021444
22487,20449,19159,984,306,2038,barcode39,1021446
38331,36297,34016,1458,823,2034,barcode40,1021437
19142,18020,17019,624,377,1122,barcode41,1021436
24020,23371,22224,666,481,649,barcode42,3031046
6659,2385,2268,94,23,4274,barcode43,3031037
57305,55863,53126,1853,884,1442,barcode44,3031040
6384,5686,5502,128,56,698,barcode45,3031042
14654,13528,12750,526,252,1126,barcode46,3031045
7753,6443,6105,214,124,1310,barcode47,3030994
18607,16490,15564,611,315,2117,barcode48,3030995
30091,28845,27537,795,513,1246,barcode49,3030996
3917,2996,2836,103,57,921,barcode50,3030997
30031,28610,27254,896,460,1421,barcode51,3030999
40364,39388,37911,949,528,976,barcode52,3030980
34137,33052,31449,899,704,1085,barcode53,3030988
31264,30311,29063,671,577,953,barcode54,3030987
4217,947,890,50,7,3270,barcode55,3031002
13808,12155,11382,413,360,1653,barcode56,3030964
53455,52136,49194,2074,868,1319,barcode57,3031008
33542,32658,30874,1147,637,884,barcode58,3031012
2214,1217,1187,18,12,997,barcode59,3031011
17974,17189,15766,992,431,785,barcode60,3031014
34964,33815,32192,1055,568,1149,barcode61,3030982
3126,514,487,22,5,2612,barcode62,3030984
3382,2113,1985,115,13,1269,barcode63,3030968
9251,7081,6531,525,25,2170,barcode64,3030966
1265,443,425,16,2,822,barcode65,3031031
28678,27967,26665,752,550,711,barcode66,3030991
20789,19645,18594,531,520,1144,barcode67,3030990
23746,22748,21554,843,351,998,barcode68,3031033
19442,17933,17112,550,271,1509,barcode69,3031032
15804,14400,13624,461,315,1404,barcode70,3031023
3071,2287,2194,68,25,784,barcode71,3030951
1193,777,741,16,20,416,barcode72,3030952
54539,52408,48770,2389,1249,2131,barcode73,3030963
11923,10452,9542,801,109,1471,barcode74,3030961
23960,22136,20646,1118,372,1824,barcode75,3031017
1365,1000,946,45,9,365,barcode76,3031020
153604,142605,134185,4768,3652,10999,unclassified,unclassified
