n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
83607,80120,78214,1072,834,3487,barcode01,3D7
71997,64965,62639,1581,745,7032,barcode02,Dd2
89324,88244,86553,784,907,1080,barcode03,HB3
56279,54982,51993,1774,1215,1297,barcode04,IPC3663
13035,36,24,8,4,12999,barcode05,Human
434,25,24,0,1,409,barcode06,NTC
70882,69509,67456,1424,629,1373,barcode07,1039399
73603,72542,70349,1559,634,1061,barcode08,1041440
70051,67766,64752,2438,576,2285,barcode09,1041441
46718,45359,43112,1940,307,1359,barcode10,1041438
69776,68712,65859,2389,464,1064,barcode11,1039398
39560,38999,37605,1132,262,561,barcode12,1041449
71021,69606,67269,1675,662,1415,barcode13,1041452
67244,65747,63632,1350,765,1497,barcode14,1041453
48168,46975,45461,1065,449,1193,barcode15,1041454
77401,76234,73677,1816,741,1167,barcode16,1041455
30605,29926,28649,912,365,679,barcode17,1041457
33640,33041,32008,791,242,599,barcode18,1041459
57966,55666,53832,1410,424,2300,barcode19,1041462
42651,41831,40626,850,355,820,barcode20,1041471
65849,64226,62609,1081,536,1623,barcode21,1041469
57228,55993,54558,989,446,1235,barcode22,1041475
53461,51592,50208,921,463,1869,barcode23,1041476
43625,41812,40211,1180,421,1813,barcode24,1041470
34616,32839,31640,906,293,1777,barcode25,1041472
42630,41524,39976,1135,413,1106,barcode26,1041473
11934,10923,10489,400,34,1011,barcode27,1041576
72686,71322,69065,1845,412,1364,barcode28,1041578
2337,648,637,10,1,1689,barcode29,1041575
52297,51090,49299,1461,330,1207,barcode30,1041627
51080,49725,48053,1250,422,1355,barcode31,1041622
49673,48851,46823,1582,446,822,barcode32,1041623
31767,31097,30095,802,200,670,barcode33,1041630
18340,17569,17072,226,271,771,barcode34,1041437
40702,39934,38244,1294,396,768,barcode35,1041443
32937,32227,31111,804,312,710,barcode36,1041447
36546,35883,34332,1254,297,663,barcode37,1041448
30509,29578,28763,626,189,931,barcode38,1041464
17806,17129,16406,616,107,677,barcode39,1041465
43382,42583,41584,641,358,799,barcode40,1041477
44408,43405,41749,967,689,1003,barcode41,1041478
24772,24343,23419,698,226,429,barcode42,1041479
52769,51814,49971,1416,427,955,barcode43,1041481
48377,46848,44675,1729,444,1529,barcode44,1041483
6792,5360,5124,210,26,1432,barcode45,1041484
3418,54,50,4,0,3364,barcode46,1041487
42129,41396,40078,1017,301,733,barcode47,1041491
53492,52754,51334,869,551,738,barcode48,1041494
54590,53447,51919,1088,440,1143,barcode49,1041496
34775,33841,32833,759,249,934,barcode50,1041497
77359,75939,73614,1602,723,1420,barcode51,1041499
84312,83172,80282,2195,695,1140,barcode52,1041500
78222,76792,74159,1951,682,1430,barcode53,1041503
37648,36634,35508,867,259,1014,barcode54,1041505
131173,129371,125294,3042,1035,1802,barcode55,1041507
103428,101924,98142,2692,1090,1504,barcode56,1041506
45073,44543,43347,685,511,530,barcode57,1041509
19253,18990,18450,383,157,263,barcode58,1041515
41876,41286,39886,1109,291,590,barcode59,1041517
33582,32958,32157,595,206,624,barcode60,1041521
41936,39964,38230,1396,338,1972,barcode61,1041527
23423,22346,21504,656,186,1077,barcode62,1041528
68100,66794,64359,1887,548,1306,barcode63,1041529
63374,61913,59873,1539,501,1461,barcode64,1041533
3673,39,34,5,0,3634,barcode65,1041540
10219,9599,9044,506,49,620,barcode66,1041541
70564,69465,67689,1178,598,1099,barcode67,1041543
41856,40451,38396,1800,255,1405,barcode68,1041544
57071,55302,53311,831,1160,1769,barcode69,1041545
69767,68860,66748,1309,803,907,barcode70,1041546
17213,16679,16317,259,103,534,barcode71,1041555
65330,64347,62534,1125,688,983,barcode72,1041554
67236,65775,63173,1942,660,1461,barcode73,1041547
54075,52711,50293,2089,329,1364,barcode74,1041557
64023,62153,60124,1525,504,1870,barcode75,1039395
54598,53423,51729,1327,367,1175,barcode76,1041560
47138,45963,44258,1426,279,1175,barcode77,1041561
35898,34829,33671,927,231,1069,barcode78,1041564
66606,65141,62663,1964,514,1465,barcode79,1041568
44065,43221,42139,797,285,844,barcode80,1041562
61093,60262,58246,1508,508,831,barcode81,1041569
59830,58677,56822,1273,582,1153,barcode82,1041570
47386,45905,43657,1860,388,1481,barcode83,1041571
20970,20041,19163,693,185,929,barcode84,1041572
66948,65150,62738,1939,473,1798,barcode85,1041573
38295,37140,35726,1138,276,1155,barcode86,1041574
100046,98487,95036,2671,780,1559,barcode87,1041579
4120,29,21,6,2,4091,barcode88,1041580
53474,51982,50241,1041,700,1492,barcode89,1041581
23058,21582,20708,751,123,1476,barcode90,1041582
17997,16829,16228,514,87,1168,barcode91,1041583
108230,106687,103372,2469,846,1543,barcode92,1041584
38297,36645,35007,1387,251,1652,barcode93,1041585
40440,38321,36485,1581,255,2119,barcode94,1041586
35310,34475,32936,1232,307,835,barcode95,1041587
50671,49703,47942,1313,448,968,barcode96,1041588
350546,337106,322265,9102,5739,13440,unclassified,unclassified
