barcode,n_processed_fastq,sample_id
barcode01,17,3D7
barcode02,17,Dd2
barcode03,17,HB3
barcode04,17,IPC3663
barcode05,17,Human
barcode06,17,NTC
barcode07,17,01045795
barcode08,17,01045803
barcode09,17,01045804
barcode10,17,01045811
barcode11,17,01045816
barcode12,17,01045817
barcode13,17,01045819
barcode14,17,8021370
barcode15,17,8021373
barcode16,17,8021375
barcode17,17,8021377
barcode18,17,8021378
barcode19,17,8021381
barcode20,17,8021387
barcode21,17,8021390
barcode22,17,8021393
barcode23,17,8021396
barcode24,17,8021397
barcode25,17,8021399
barcode26,17,8021401
barcode27,17,8021402
barcode28,17,8021403
barcode29,17,8021404
barcode30,17,8021405
barcode31,17,8021406
barcode32,17,8021408
barcode33,17,8021409
barcode34,17,8021410
barcode35,17,8021412
barcode36,17,8021413
barcode37,17,8021455
barcode38,17,8021456
barcode39,17,8021460
barcode40,17,8021461
barcode41,17,8021462
barcode42,17,8021465
barcode43,17,8021466
barcode44,17,8021468
barcode45,17,8021469
barcode46,17,8021472
barcode47,17,8021434
barcode48,17,8021433
barcode49,17,8021431
barcode50,17,8021430
barcode51,17,8021427
barcode52,17,8021424
barcode53,17,8021422
barcode54,17,8021421
barcode55,17,8021420
barcode56,17,8021414
barcode57,17,8021435
barcode58,17,8021436
barcode59,17,8021439
barcode60,17,8021442
barcode61,17,8021443
barcode62,17,8021445
barcode63,17,8021446
barcode64,17,8021448
barcode65,17,8021449
barcode66,17,8021450
barcode67,17,8021473
barcode68,17,8021474
barcode69,17,8021478
barcode70,17,8021480
barcode71,17,8021488
barcode72,17,8021492
barcode73,17,8021496
barcode74,17,8021503
barcode75,17,8021506
barcode76,17,8021510
barcode77,17,8021511
barcode78,17,8021512
barcode79,17,8021513
barcode80,17,8021514
barcode81,17,8021515
barcode82,17,8021521
barcode83,17,8021520
barcode84,17,8021522
barcode85,17,8021526
barcode86,17,8021531
barcode87,17,8021536
barcode88,17,8021540
barcode89,17,8021541
barcode90,17,8021547
barcode91,17,8021549
barcode92,17,8021550
barcode93,17,8021557
barcode94,17,8021558
barcode95,17,8021560
barcode96,17,8021563
unclassified,17,unclassified
