sample_id,sample_type,barcode,post_pcr_dna_conc_ngul
3D7,Positive,barcode01,86.4
Dd2,Positive,barcode02,52.8
HB3,Positive,barcode03,113
IPC3663,Positive,barcode04,76.8
Human,Negative,barcode05,8.2
NTC,Negative,barcode06,0.0316
8011116,Field,barcode07,53
8011117,Field,barcode08,4.82
8011120,Field,barcode09,95.6
8011121,Field,barcode10,1.36
8011132,Field,barcode11,75
8011134,Field,barcode12,68.2
8011139,Field,barcode13,50.6
8011140,Field,barcode14,31.4
8011143,Field,barcode15,61.6
8011144,Field,barcode16,103
8011154,Field,barcode17,127
8011155,Field,barcode18,1.39
8011158,Field,barcode19,44
8012065,Field,barcode20,73
8012066,Field,barcode21,101
8012067,Field,barcode22,45.6
8012068,Field,barcode23,56.8
8012069,Field,barcode24,49.2
8012072,Field,barcode25,43.2
8012081,Field,barcode26,5.32
8012083,Field,barcode27,38.8
8012084,Field,barcode28,92.8
8012085,Field,barcode29,65
8012088,Field,barcode30,54.4
8012091,Field,barcode31,107
8012092,Field,barcode32,88.8
8012093,Field,barcode33,69
8012095,Field,barcode34,5.08
8012099,Field,barcode35,14.2
8012101,Field,barcode36,43.8
8012102,Field,barcode37,98.2
8012103,Field,barcode38,76.6
8012111,Field,barcode39,51
8012112,Field,barcode40,7.04
8012114,Field,barcode41,6.22
8012123,Field,barcode42,0.0538
8012125,Field,barcode43,15.2
8012126,Field,barcode44,24.4
8012130,Field,barcode45,1.72
8012136,Field,barcode46,0.642
8012138,Field,barcode47,55
8012139,Field,barcode48,65.8
8012140,Field,barcode49,0.466
8012144,Field,barcode50,64.4
8012147,Field,barcode51,36.8
8012149,Field,barcode52,4.24
8012150,Field,barcode53,66.4
8012157,Field,barcode54,76
8012159,Field,barcode55,17.7
8012160,Field,barcode56,3.42
8012163,Field,barcode57,3.26
8012164,Field,barcode58,15.7
8012165,Field,barcode59,24.6
8012166,Field,barcode60,50
8012167,Field,barcode61,1.56
8012168,Field,barcode62,44
8012169,Field,barcode63,24.8
8012170,Field,barcode64,52.2
8012171,Field,barcode65,0.374
8012172,Field,barcode66,0.782
8012173,Field,barcode67,3.36
8012174,Field,barcode68,3.26
8012175,Field,barcode69,2.72
8012176,Field,barcode70,0.702
8012177,Field,barcode71,74.4
8012178,Field,barcode72,68
8012179,Field,barcode73,19.3
8012180,Field,barcode74,37.6
8012181,Field,barcode75,9.54
8012182,Field,barcode76,85
8012183,Field,barcode77,19
8012184,Field,barcode78,0.0204
8012185,Field,barcode79,13.2
8012186,Field,barcode80,21.4
8012187,Field,barcode81,0.73
8012188,Field,barcode82,23
8012189,Field,barcode83,11.5
8012190,Field,barcode84,8.58
8012191,Field,barcode85,18
8012192,Field,barcode86,16.7
8012195,Field,barcode87,0.362
8012196,Field,barcode88,0.254
8012197,Field,barcode89,0.0104
8012198,Field,barcode90,0.0206
8012199,Field,barcode91,0.102
8012200,Field,barcode92,0.139
8012203,Field,barcode93,2.96
8012204,Field,barcode94,8.78
8012206,Field,barcode95,0.546
8012207,Field,barcode96,0.0041
