barcode,n_processed_fastq,sample_id
barcode01,20,3D7
barcode02,20,Dd2
barcode03,20,HB3
barcode04,20,IPC3663
barcode05,20,Human
barcode06,19,NTC
barcode07,20,DR990
barcode08,20,DR991
barcode09,20,DR994
barcode10,20,DR995
barcode11,20,EE007
barcode12,20,EE009
barcode13,20,EE014
barcode14,20,EE015
barcode15,20,EE018
barcode16,20,EE019
barcode17,20,EE029
barcode18,20,EE030
barcode19,20,EE033
barcode20,20,EE039
barcode21,20,EE040
barcode22,20,EE041
barcode23,20,EE042
barcode24,20,EE043
barcode25,20,EE046
barcode26,20,EE055
barcode27,20,EE057
barcode28,20,EE058
barcode29,20,EE059
barcode30,20,EE062
barcode31,20,EE065
barcode32,20,EE066
barcode33,20,EE067
barcode34,20,EE069
barcode35,20,EE073
barcode36,20,EE075
barcode37,20,EE076
barcode38,20,EE077
barcode39,20,EE085
barcode40,20,EE086
barcode41,20,EE088
barcode42,19,EE097
barcode43,20,EE099
barcode44,20,EE100
barcode45,20,EE104
barcode46,20,EE110
barcode47,20,EE112
barcode48,20,EE113
barcode49,20,EE114
barcode50,20,EE118
barcode51,20,EE121
barcode52,20,EE123
barcode53,20,EE124
barcode54,20,EE131
barcode55,20,EE133
barcode56,20,EE134
barcode57,20,EE137
barcode58,20,EE138
barcode59,20,EE139
barcode60,20,EE140
barcode61,20,EE141
barcode62,20,EE142
barcode63,20,EE143
barcode64,20,EE144
barcode65,20,EE145
barcode66,20,EE146
barcode67,20,EE147
barcode68,20,EE148
barcode69,20,EE149
barcode70,20,EE150
barcode71,20,EE151
barcode72,20,EE152
barcode73,20,EE153
barcode74,20,EE154
barcode75,20,EE155
barcode76,20,EE156
barcode77,20,EE157
barcode78,20,EE158
barcode79,20,EE159
barcode80,20,EE160
barcode81,20,EE161
barcode82,20,EE162
barcode83,20,EE163
barcode84,20,EE164
barcode85,20,EE165
barcode86,20,EE166
barcode87,20,EE169
barcode88,20,EE170
barcode89,20,EE171
barcode90,20,EE172
barcode91,20,EE173
barcode92,20,EE174
barcode93,20,EE177
barcode94,20,EE178
barcode95,20,EE179
barcode96,20,EE180
unclassified,20,unclassified
