n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
37966,34742,33618,480,644,3224,barcode01,3D7
51046,43210,40950,1724,536,7836,barcode02,Dd2
70405,68709,66618,1036,1055,1696,barcode03,HB3
69891,66711,62262,2522,1927,3180,barcode04,IPC3663
26402,22,9,13,0,26380,barcode05,Human
120,12,12,0,0,108,barcode06,NTC
68667,64861,61893,2097,871,3806,barcode07,DR990
11266,2943,2836,91,16,8323,barcode08,DR991
79385,74570,71073,2864,633,4815,barcode09,DR994
15328,5338,4992,321,25,9990,barcode10,DR995
65902,63498,61113,1887,498,2404,barcode11,EE007
26730,25164,24157,780,227,1566,barcode12,EE009
39156,36406,35346,624,436,2750,barcode13,EE014
37247,31478,29234,1681,563,5769,barcode14,EE015
32691,29288,27829,1030,429,3403,barcode15,EE018
58260,56111,54146,1413,552,2149,barcode16,EE019
45846,43043,41249,1305,489,2803,barcode17,EE029
3391,1614,1477,130,7,1777,barcode18,EE030
57745,54520,52441,1575,504,3225,barcode19,EE033
40981,39641,38308,930,403,1340,barcode20,EE039
52409,50385,48537,1070,778,2024,barcode21,EE040
39523,36737,35372,878,487,2786,barcode22,EE041
43470,41661,40059,931,671,1809,barcode23,EE042
52611,49487,47542,1031,914,3124,barcode24,EE043
57280,53352,51121,1766,465,3928,barcode25,EE046
24884,21428,20344,965,119,3456,barcode26,EE055
49724,48057,46059,1489,509,1667,barcode27,EE057
80314,78442,75668,1896,878,1872,barcode28,EE058
44136,41889,40242,1215,432,2247,barcode29,EE059
64017,61838,59568,1383,887,2179,barcode30,EE062
69354,67966,65525,1774,667,1388,barcode31,EE065
63657,62375,60319,1361,695,1282,barcode32,EE066
38921,37321,35622,1387,312,1600,barcode33,EE067
17610,15606,14892,580,134,2004,barcode34,EE069
35285,32883,30763,1745,375,2402,barcode35,EE073
31702,28877,27675,854,348,2825,barcode36,EE075
52886,50858,49153,973,732,2028,barcode37,EE076
56730,52513,49814,1868,831,4217,barcode38,EE077
58385,56321,54035,1479,807,2064,barcode39,EE085
21503,20174,19250,759,165,1329,barcode40,EE086
25367,22869,21125,1587,157,2498,barcode41,EE088
61,3,3,0,0,58,barcode42,EE097
25747,24145,22789,1125,231,1602,barcode43,EE099
40609,39007,36871,1795,341,1602,barcode44,EE100
5200,4225,4083,131,11,975,barcode45,EE104
4413,2642,2532,107,3,1771,barcode46,EE110
57392,55733,53348,1849,536,1659,barcode47,EE112
63677,61899,59934,1423,542,1778,barcode48,EE113
2660,1242,1136,103,3,1418,barcode49,EE114
79025,76379,73499,2246,634,2646,barcode50,EE118
50236,47187,45370,1359,458,3049,barcode51,EE121
16967,14434,13942,413,79,2533,barcode52,EE123
49876,47067,45149,1506,412,2809,barcode53,EE124
56442,54450,52946,1076,428,1992,barcode54,EE131
58671,56859,54147,2329,383,1812,barcode55,EE133
19611,17976,17470,381,125,1635,barcode56,EE134
10255,9655,9282,326,47,600,barcode57,EE137
15163,14200,13445,516,239,963,barcode58,EE138
41898,39257,37025,1888,344,2641,barcode59,EE139
56732,54068,51287,2246,535,2664,barcode60,EE140
8084,5995,5780,146,69,2089,barcode61,EE141
29316,27945,26649,913,383,1371,barcode62,EE142
56707,54374,52464,1389,521,2333,barcode63,EE143
59323,56618,54823,1019,776,2705,barcode64,EE144
813,99,92,6,1,714,barcode65,EE145
2327,1810,1764,44,2,517,barcode66,EE146
12368,11164,10641,448,75,1204,barcode67,EE147
9144,8038,7873,144,21,1106,barcode68,EE148
12879,10485,9956,483,46,2394,barcode69,EE149
1770,1040,962,74,4,730,barcode70,EE150
60666,58738,56759,1444,535,1928,barcode71,EE151
63092,61135,58642,1805,688,1957,barcode72,EE152
37861,34495,32860,1358,277,3366,barcode73,EE153
37242,36078,34587,1213,278,1164,barcode74,EE154
33785,30454,28710,1248,496,3331,barcode75,EE155
50170,46893,44959,1509,425,3277,barcode76,EE156
45583,43811,42445,972,394,1772,barcode77,EE157
686,13,13,0,0,673,barcode78,EE158
42493,40847,39664,796,387,1646,barcode79,EE159
36326,34591,33467,676,448,1735,barcode80,EE160
1697,1049,982,59,8,648,barcode81,EE161
42497,39887,37953,1460,474,2610,barcode82,EE162
46129,43751,40967,2404,380,2378,barcode83,EE163
19124,17870,17022,676,172,1254,barcode84,EE164
52173,46095,43685,1896,514,6078,barcode85,EE165
26946,24611,23443,852,316,2335,barcode86,EE166
2364,1153,1094,58,1,1211,barcode87,EE169
975,675,619,54,2,300,barcode88,EE170
595,9,9,0,0,586,barcode89,EE171
517,11,11,0,0,506,barcode90,EE172
697,100,100,0,0,597,barcode91,EE173
105,35,35,0,0,70,barcode92,EE174
9920,8395,8140,221,34,1525,barcode93,EE177
31539,29830,28313,1308,209,1709,barcode94,EE178
4650,2647,2583,58,6,2003,barcode95,EE179
879,96,96,0,0,783,barcode96,EE180
264335,239941,228706,7823,3412,24394,unclassified,unclassified
