sample_id,sample_type,barcode,post_pcr_dna_conc_ngul
3D7,Positive,barcode01,58.4
Dd2,Positive,barcode02,23.4
HB3,Positive,barcode03,98.2
IPC3665,Positive,barcode04,37.4
Human,Negative,barcode05,1.07
NTC,Negative,barcode06,0.025
8010581,Field,barcode07,1.59
8010583,Field,barcode08,1.44
8010584,Field,barcode09,26.0
8010585,Field,barcode10,0.918
8010586,Field,barcode11,16.1
8010589,Field,barcode12,0.636
8010591,Field,barcode13,55.2
8010592,Field,barcode14,0.498
8010594,Field,barcode15,62.6
8010595,Field,barcode16,33.2
8010596,Field,barcode17,0.348
8010598,Field,barcode18,9.62
8010599,Field,barcode19,2.24
8010600,Field,barcode20,32.6
8010601,Field,barcode21,12.2
8010605,Field,barcode22,0.5
8010606,Field,barcode23,0.46
8010608,Field,barcode24,2.32
8010609,Field,barcode25,7.06
8010610,Field,barcode26,9.0
8010614,Field,barcode27,12.4
8010620,Field,barcode28,59.6
8010621,Field,barcode29,0.672
8010623,Field,barcode30,40.6
8010626,Field,barcode31,32.6
8010628,Field,barcode32,50.8
8010666,Field,barcode33,29.6
8010658,Field,barcode34,8.68
8010656,Field,barcode35,14.5
8010654,Field,barcode36,0.116
8010653,Field,barcode37,33.0
8010652,Field,barcode38,16.2
8010649,Field,barcode39,75.0
8010648,Field,barcode40,2.42
8010680,Field,barcode41,27.8
8010679,Field,barcode42,34.8
8010678,Field,barcode43,2.3
8010675,Field,barcode44,33.6
8010673,Field,barcode45,7.92
8010671,Field,barcode46,0.724
8010670,Field,barcode47,0.932
8010667,Field,barcode48,1.28
8010646,Field,barcode49,13.1
8010645,Field,barcode50,7.06
8010642,Field,barcode51,18.8
8010641,Field,barcode52,50.4
8010640,Field,barcode53,33.2
8010639,Field,barcode54,0.922
8010637,Field,barcode55,2.18
8010636,Field,barcode56,0.52
8010635,Field,barcode57,0.348
8010634,Field,barcode58,19.0
8010632,Field,barcode59,8.86
8010631,Field,barcode60,32.6
8010630,Field,barcode61,36.2
8010629,Field,barcode62,50.8
8021913,Field,barcode63,0.758
8021914,Field,barcode64,17.0
8021915,Field,barcode65,13.2
8021919,Field,barcode66,0.628
8021920,Field,barcode67,3.32
8021922,Field,barcode68,26.8
8021923,Field,barcode69,3.36
8021956,Field,barcode70,23.4
8021955,Field,barcode71,4.78
8021931,Field,barcode72,29.2
8021933,Field,barcode73,4.36
8021938,Field,barcode74,1.31
8021949,Field,barcode75,0.848
8011062,Field,barcode76,53.8
8011063,Field,barcode77,0.768
8011064,Field,barcode78,0.568
8011069,Field,barcode79,31.4
8011072,Field,barcode80,27.8
8011074,Field,barcode81,10.2
8011077,Field,barcode82,0.826
8011078,Field,barcode83,1.86
8011080,Field,barcode84,16.8
8011083,Field,barcode85,2.6
8011086,Field,barcode86,58.2
8011088,Field,barcode87,45.8
8011091,Field,barcode88,1.41
8011102,Field,barcode89,32.8
8011103,Field,barcode90,20.2
8011108,Field,barcode91,3.58
8011109,Field,barcode92,90.0
8011110,Field,barcode93,0.492
8011111,Field,barcode94,1.09
8011112,Field,barcode95,31.0
8011115,Field,barcode96,38.6
