barcode,n_processed_fastq,sample_id
barcode01,18,3D7
barcode02,18,Dd2
barcode03,18,HB3
barcode04,18,IPC3665
barcode05,18,Human
barcode06,18,NTC
barcode07,18,8010581
barcode08,18,8010583
barcode09,18,8010584
barcode10,18,8010585
barcode11,18,8010586
barcode12,18,8010589
barcode13,18,8010591
barcode14,18,8010592
barcode15,18,8010594
barcode16,18,8010595
barcode17,18,8010596
barcode18,18,8010598
barcode19,18,8010599
barcode20,18,8010600
barcode21,18,8010601
barcode22,18,8010605
barcode23,18,8010606
barcode24,18,8010608
barcode25,18,8010609
barcode26,18,8010610
barcode27,18,8010614
barcode28,18,8010620
barcode29,18,8010621
barcode30,18,8010623
barcode31,18,8010626
barcode32,18,8010628
barcode33,18,8010666
barcode34,18,8010658
barcode35,18,8010656
barcode36,18,8010654
barcode37,18,8010653
barcode38,18,8010652
barcode39,18,8010649
barcode40,18,8010648
barcode41,18,8010680
barcode42,18,8010679
barcode43,18,8010678
barcode44,18,8010675
barcode45,18,8010673
barcode46,18,8010671
barcode47,18,8010670
barcode48,18,8010667
barcode49,18,8010646
barcode50,18,8010645
barcode51,18,8010642
barcode52,18,8010641
barcode53,18,8010640
barcode54,18,8010639
barcode55,18,8010637
barcode56,18,8010636
barcode57,18,8010635
barcode58,18,8010634
barcode59,18,8010632
barcode60,18,8010631
barcode61,18,8010630
barcode62,18,8010629
barcode63,18,8021913
barcode64,18,8021914
barcode65,18,8021915
barcode66,18,8021919
barcode67,18,8021920
barcode68,18,8021922
barcode69,18,8021923
barcode70,18,8021956
barcode71,18,8021955
barcode72,18,8021931
barcode73,18,8021933
barcode74,18,8021938
barcode75,18,8021949
barcode76,18,8011062
barcode77,18,8011063
barcode78,18,8011064
barcode79,18,8011069
barcode80,18,8011072
barcode81,18,8011074
barcode82,18,8011077
barcode83,18,8011078
barcode84,18,8011080
barcode85,18,8011083
barcode86,18,8011086
barcode87,18,8011088
barcode88,18,8011091
barcode89,18,8011102
barcode90,18,8011103
barcode91,18,8011108
barcode92,18,8011109
barcode93,18,8011110
barcode94,18,8011111
barcode95,18,8011112
barcode96,18,8011115
unclassified,18,unclassified
