n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
98654,93822,91520,1204,1098,4832,barcode01,3D7
67324,61585,59109,1810,666,5739,barcode02,Dd2
115246,113740,111189,1128,1423,1506,barcode03,HB3
82900,81388,76697,2848,1843,1512,barcode04,IPC3665
6148,39,30,8,1,6109,barcode05,Human
571,21,20,0,1,550,barcode06,NTC
3257,2480,2369,95,16,777,barcode07,8010581
3560,3086,3040,33,13,474,barcode08,8010583
57316,53557,51328,1842,387,3759,barcode09,8010584
2562,2068,1987,72,9,494,barcode10,8010585
79716,77654,74139,2904,611,2062,barcode11,8010586
5993,4938,4459,470,9,1055,barcode12,8010589
124006,121488,117484,3035,969,2518,barcode13,8010591
6238,4246,3799,440,7,1992,barcode14,8010592
76561,74049,71528,1888,633,2512,barcode15,8010594
111916,110252,107365,2132,755,1664,barcode16,8010595
657,220,217,2,1,437,barcode17,8010596
51656,49996,47236,1878,882,1660,barcode18,8010598
7626,6407,6140,207,60,1219,barcode19,8010599
66382,65297,62844,1917,536,1085,barcode20,8010600
29458,28196,26977,944,275,1262,barcode21,8010601
9907,5411,5111,287,13,4496,barcode22,8010605
10758,8456,7710,718,28,2302,barcode23,8010606
8316,7261,6950,245,66,1055,barcode24,8010608
28983,27096,25398,1489,209,1887,barcode25,8010609
43755,42335,40239,1779,317,1420,barcode26,8010610
35917,35179,33680,1217,282,738,barcode27,8010614
125805,123524,116834,5825,865,2281,barcode28,8010620
15198,7485,6364,1107,14,7713,barcode29,8010621
107777,105206,100827,3637,742,2571,barcode30,8010623
74729,73735,71053,2075,607,994,barcode31,8010626
83938,82798,80356,1304,1138,1140,barcode32,8010628
83844,82083,79457,1626,1000,1761,barcode33,8010666
72893,70874,67287,2898,689,2019,barcode34,8010658
85957,83600,77852,4687,1061,2357,barcode35,8010656
8474,70,53,16,1,8404,barcode36,8010654
108121,105322,101851,2747,724,2799,barcode37,8010653
123126,117483,111798,4344,1341,5643,barcode38,8010652
114310,112560,108131,3041,1388,1750,barcode39,8010649
21191,19717,19021,594,102,1474,barcode40,8010648
80591,79102,75952,1944,1206,1489,barcode41,8010680
83434,81819,78361,2545,913,1615,barcode42,8010679
18889,17581,16721,691,169,1308,barcode43,8010678
122890,120629,115560,2891,2178,2261,barcode44,8010675
38756,37254,35831,1077,346,1502,barcode45,8010673
1780,846,840,3,3,934,barcode46,8010671
1188,844,823,9,12,344,barcode47,8010670
1912,1319,1252,54,13,593,barcode48,8010667
47719,45796,42911,2471,414,1923,barcode49,8010646
37058,35196,32770,2220,206,1862,barcode50,8010645
75426,73650,71402,1816,432,1776,barcode51,8010642
106818,104921,100597,3711,613,1897,barcode52,8010641
85666,83744,80639,2273,832,1922,barcode53,8010640
11756,2378,2255,115,8,9378,barcode54,8010639
24077,21745,20696,959,90,2332,barcode55,8010637
16574,2528,2422,100,6,14046,barcode56,8010636
2354,762,749,10,3,1592,barcode57,8010635
11791,11428,11034,263,131,363,barcode58,8010634
66648,63124,58861,3908,355,3524,barcode59,8010632
72206,69801,66414,2916,471,2405,barcode60,8010631
74431,70847,68228,2154,465,3584,barcode61,8010630
52158,50940,49508,1020,412,1218,barcode62,8010629
19011,12227,11108,1082,37,6784,barcode63,8021913
48264,45543,44641,581,321,2721,barcode64,8021914
62582,60520,57805,2357,358,2062,barcode65,8021915
6736,5783,5306,458,19,953,barcode66,8021919
16914,15063,14591,393,79,1851,barcode67,8021920
88977,86159,82381,3341,437,2818,barcode68,8021922
21730,20266,19040,1134,92,1464,barcode69,8021923
45148,44090,42964,684,442,1058,barcode70,8021956
15583,14346,14084,163,99,1237,barcode71,8021955
60520,58522,55759,2255,508,1998,barcode72,8021931
50686,44324,36409,6948,967,6362,barcode73,8021933
47615,32111,27278,4780,53,15504,barcode74,8021938
6059,49,35,14,0,6010,barcode75,8021949
97821,94946,90978,3402,566,2875,barcode76,8011062
12191,808,798,7,3,11383,barcode77,8011063
2733,1458,1366,88,4,1275,barcode78,8011064
96793,93311,88708,4001,602,3482,barcode79,8011069
55180,53697,51733,1504,460,1483,barcode80,8011072
31311,29723,28240,1323,160,1588,barcode81,8011074
3514,1172,1163,4,5,2342,barcode82,8011077
17166,14199,13029,1096,74,2967,barcode83,8011078
36257,34444,32172,2014,258,1813,barcode84,8011080
19762,16948,15682,1191,75,2814,barcode85,8011083
76106,74796,72022,1995,779,1310,barcode86,8011086
128694,125407,119909,4233,1265,3287,barcode87,8011088
11062,10276,9745,498,33,786,barcode88,8011091
56317,54127,51778,1891,458,2190,barcode89,8011102
93421,91275,86303,4475,497,2146,barcode90,8011103
32216,27078,25388,1589,101,5138,barcode91,8011108
168457,165420,158385,5401,1634,3037,barcode92,8011109
24183,17375,15643,1702,30,6808,barcode93,8011110
7789,5004,4633,352,19,2785,barcode94,8011111
50572,49023,47304,1394,325,1549,barcode95,8011112
52213,49615,47954,1313,348,2598,barcode96,8011115
369111,337957,319488,12626,5843,31154,unclassified,unclassified
