sample_id,sample_type,barcode,post_pcr_dna_conc_ngul
3D7,Positive,barcode01,84.0
Dd2,Positive,barcode02,50.4
HB3,Positive,barcode03,83.4
IPC3663,Positive,barcode04,59.2
Human,Negative,barcode05,4.36
NTC,Negative,barcode06,0.0274
5053815,Field,barcode07,51.8
8012209,Field,barcode08,3.94
8012710,Field,barcode09,6.0
8012713,Field,barcode10,2.12
8012714,Field,barcode11,9.12
8012717,Field,barcode12,58.2
8012718,Field,barcode13,25.6
8012719,Field,barcode14,13.3
8012720,Field,barcode15,9.94
8012721,Field,barcode16,1.9
8012724,Field,barcode17,123.0
8012725,Field,barcode18,66.6
8012728,Field,barcode19,17.4
8012729,Field,barcode20,27.2
8012730,Field,barcode21,101.0
8012731,Field,barcode22,109.0
8012732,Field,barcode23,13.4
8012733,Field,barcode24,2.26
8012736,Field,barcode25,95.6
8012737,Field,barcode26,65.4
8012738,Field,barcode27,65.0
8012739,Field,barcode28,51.0
8012740,Field,barcode29,25.2
8032413,Field,barcode30,0.458
8032484,Field,barcode31,64.2
8036113,Field,barcode32,44.6
8036125,Field,barcode33,0.82
8036126,Field,barcode34,73.6
8036127,Field,barcode35,99.8
8036131,Field,barcode36,56.6
8036133,Field,barcode37,22.8
8036138,Field,barcode38,50.8
8036139,Field,barcode39,87.0
8036141,Field,barcode40,4.12
8036151,Field,barcode41,14.7
8036158,Field,barcode42,98.2
8036160,Field,barcode43,93.2
8036164,Field,barcode44,2.24
8036166,Field,barcode45,2.6
8036182,Field,barcode46,7.76
8036188,Field,barcode47,78.2
8036189,Field,barcode48,2.56
8036190,Field,barcode49,3.68
8036195,Field,barcode50,70.0
8036204,Field,barcode51,71.6
8010859,Field,barcode52,3.12
8010860,Field,barcode53,66.6
8010861,Field,barcode54,55.6
8010862,Field,barcode55,104.0
8010863,Field,barcode56,95.0
8010864,Field,barcode57,6.3
8010866,Field,barcode58,1.27
8010867,Field,barcode59,65.4
8010868,Field,barcode60,83.6
8010869,Field,barcode61,53.0
8010870,Field,barcode62,32.4
8010871,Field,barcode63,9.82
8010872,Field,barcode64,0.00898
